PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß die bisher von Metall construirten und immerhin aus vielen",,,,,
"",,,,,,,"Theilen bestehenden Kafehmaschinen von ihm 1.) aus einem einigen Stücke, nämlich aus einem",,,,,
4849,Darebny,Joseph,,,,,,Kaffeemaschine,Wien,,1847,22.11.1847
"",,,,,,,höchst eleganten Bouloir von Porzellan unter dem Nahmen Mandarin-Kafehmaschine erzeugt,,,,,
"",,,,,,,"werden, ... 2.) ... mit einem Siebe von Metall ... versehen sind ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß: die gefärbte Seide im nassen Zustande mittelst eines durch",,,,,
4850,Planckensteiner,Joseph,,,,,,"Seide, Färben/Seide, Seidenglanz",Wien,,1847,09.12.1847
"",,,,,,,"Dampf erhitzten - dann eines zweiten Cylinders gestreckt, getrocknet und geglänzt wird",,,,,
4851,Bastian,Jakob,,,,,Beschreibung der ... Erfindung und Verbesserung in der Fabrikation der Seife,Seifensiederei,Wien,,1847,02.12.1847
"",,,,,,,"Beschreibung eines neuen telegraphischen Communications-Systems, mittelst dessen sowohl",,,,,
"",,,,,,,,"Sprachrohr, Drucklufttelegraph,",,,,
4852,Roediger,Friedrich,,,,,"Worte und Signale, als auch Depeschen mit der größten Schnelligkeit weiter befördert werden",,Wien,,1847,16.03.1847
"",,,,,,,,Rohrpost,,,,
"",,,,,,,können,,,,,
"",,,,,,,"Beschreibung einer neuen Entdeckung, welche in der Wesenheit in einer neuen Art des Färbens",,,,,
4853,Miller,J.M.,Schmitt,J.M.,Wittmann,Michael,,"Haitiblau, Färben, Stoff",Wien,,1847,17.05.1847
"",,,,,,,von Tücher und Stoffen besteht,,,,,
"",,,,,,,Descrizione della Nuova Scoperta di ... per distillare a freddo il Rosolio Maraschino [Maraschino,,,,,
4854,Luxardo,Bartolommeo,,,,,,Maraschino,Trieste,,1844,29.01.1844
"",,,,,,,auf kaltem Wege herzustellen],,,,,
4855,Kohlhaupt,Johann,Kratochwill,Eduard,,,Beschreibung des neuen verbesserten Spiritus-Dampfbrenn-Apparates,"Spiritus, Destillierapparat",Ustron,,1840,15.09.1840
"",,,,,,,"Beschreibung der von Ferdinand Trinks, Ingenieur Sr.Königl.Hoheit des Erzherzogs Maximilian, in",,,,,
"",,,,,,,"Gmunden, angeblich gemachten Erfindung, ..., daß Mauerziegeln ... mit Löchern versehen sind,",,,,,
4856,Trinks,Ferdinand,,,,,,Hohlziegel,Gmunden,,1842,02.12.1842
"",,,,,,,"erzeugt, und dieselben zur Herstellung von allerhand Mauerwerk verwendet werden, indem man",,,,,
"",,,,,,,sie mit Dippeln verbindet.,,,,,
4857,Hitzler,Johann,,,,,Beschreibung der ... Erfindung in der Construction von Wagenachsen und Achsenbüchsen,"Wagenachse, Schmierbüchse",Wien,,1847,01.12.1847
"",,,,,,,"... Beschreibung einer Verbesserung des Brücken- und Viaductenbaues, wodurch Brücken und",,,,,
