PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung d. Erfindung u. Verbesserung, alte u. neue, Roßhaare, Bettfedern, Abfall, roher Seide",,,,,
"",,,,,,,"leinene, baum u. schafwollene Leib, Betten, Küchen, Tisch- Haus- u. Putzwäsche, Kotzen,","Waschmaschine, Trockenapparat,",,,,
3180,Kurth,Eduard,,,,,,,Wien,,1840,21.03.1840
"",,,,,,,"Matratzen, Betten, jeder Gattung ... vermittelst Wasser-Dampf-Maschinen zu waschen, zu","Wäscherolle, Waschmittel",,,,
"",,,,,,,"reinigen, zu bleichen, ... zu trocknen, zu bügeln, zu glätten, in brauchbaren Zustand herzustellen",,,,,
"",,,,,,,"Beschreibung der Verbesserung einer eisernen Maschine mittelst welcher Börtel, Borten und",,,,,
3181,Arany,Kaspar,,,,,"Gurten, in allen Gattungen Form, Farbe und Stoff mit Kautschuk /: Gummi Elasticum :/ verfertiget","Gummiband, Bandstuhl",Wien,,1841,15.04.1841
"",,,,,,,werden,,,,,
"",,,,,,,,"Klaue, Hornbearbeitung, Knopf, Lack,",,,,
3182,Falta,Johann,Heinemann,Friedrich,,,"Verfahren über Erfindung, in allen Farben Kristal ehnlichen MölirKlauen Knöpf",,Wien,,1842,11.04.1842
"",,,,,,,,"Braun, Grün, Blau",,,,
"",,,,,,,"Erfindung; Gewisse Verbesserungen in Feuerspitzen, Wässerungsmaschinen, um Wasser in die",,,,,
3183,Bonfil,Ralph,Vaucher,Jakob Ulrich,,,,"Feuerspritze, Spritzbutte",Wien,,1840,09.11.1840
"",,,,,,,Höhe zu treiben,,,,,
3184,Bonfil,Ralph,,,,,"Meine Erfindung besteht in einer neuen Art, alle Gattungen von Flüssigkeiten ... zu filtrieren, ...",Filtriertuch,Wien,,1840,09.11.1840
"",,,,,,,Beschreibung: Die Maschine mittelst welcher mit beliebiger Kraft gedoucht werden kann und die,,,,,
3185,Grillo,Joseph Wilhelm,,,,,,Bad,Wr. Neustadt,,1840,20.03.1840
"",,,,,,,ohne Kraftanwendung die einfachste Wasch-Maschine bildet,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung ..., daß sie die sogenannten Preßburgerbeigeln durch eine neue",,,,,
"",,,,,,,,"Mohnbeugel, Nußbeugel, Reisbeugel,",,,,
