PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
2295,Bilharz,Johann Nepomuk,Bilharz,Kandidus,,,Beschreibung der ganz heu erfundenen Cylinder Kerzen mit unverbrennbaren Dochten,"Kerze, Docht",,Wien,,1837,01.05.1837
2296,Hofmann,Ludwig,,,,,Privilegiums-Beschreibung ... auf die Erfindung einer neuen Art Spodium,Knochenkohle,,Wien,,1837,24.07.1837
2297,Ancillo,Giuseppe,,,,,Descrizione del Processo pel Ciocolatte Vegeto-Animale Osmazomico,Schokolade,,Venezia,,1823,01.07.1823
2298,Zugmayer,Severin,,,,,"Beschreibung der ... Erfindung eines neuen Pfluges, ...",Pflug,,Wien,,1827,18.08.1827
"",,,,,,,Beschreibung des von Blasius Mayer angesuchten Privilegi über eine verbesserte,,,,,,
2299,Mayer,Blasius,,,,,,"Nagel, Schneidemaschine",,Wien,,1832,01.07.1832
"",,,,,,,Nägelerzeugungsmaschine,,,,,,
"",,,,,,,Beschreibung der ... Erfindung einer Maschine zur Erzeugung aller Arten von Wachskerzen und,,,,,,
2300,Mastalier,Anton,,,,,,"Kerze, Wachsstock, Docht",,Wien,,1833,04.09.1833
"",,,,,,,"Wachsstöckel, um selbe aus kaltem Wachse ... verfertigen zu können, ...",,,,,,
"",,,,,,,,"Leuchtschirm, Fallschirmrakete,",,,,,
2301,Koelbel,Franz,,,,,Beschreibung meiner neu erfundenen in der Luft schwebenden Leuchtmaschine,,,Wien,,1835,08.08.1835
"",,,,,,,,Feuerwerk,,,,,
2302,Litsch,Wilhelm,,,,,"Beschreibung der ... neuen Verbesserung einer WaterTwistFliege bei Spinnmaschinen, ...","Spinnmaschine, Flügel/Spinnmaschine",,Wien,,1835,28.09.1835
"",,,,,,,Neu gemachte Erfindung einer vollkommenen von den bisherigen abweichenden chemisch,,,,,,
"",,,,,,,,"Fett, Oel, Unschlitt, Seife,",,,,,
2303,Huber,Simon,,,,,praktischen Lauge und Seifenbereitungs-Theorie der fünf neu erfundenen neutralisierten und,,,Wien,,1835,08.10.1835
"",,,,,,,,"Färben/Seife, Neutralisieren",,,,,
"",,,,,,,nicht neutralisierten Seifengattungen,,,,,,
2304,Zang,Franz,,,,,Beschreibung der verbesserten Oehllampe,Lampe,,Wien,,1836,18.08.1836
"",,,,,,,"Privilegiums-Beschreibung der ... Erfindung, die noch nie zur Seifenfabrikation in Anwendung",,,,,,
2305,Schlesinger,Anton Joseph,,,,,"gesetzten vegetabilischen verseifbaren Stoffe mit aller Gattungen thierischer Fettarten, wie auch","Fett, Oel, Seife",,Wien,,1836,31.10.1836
"",,,,,,,"aller Gattungen fetter Oehle in Verbindung ätzender Soda oder Potaschlauge, ...",,,,,,
"",,,,,,,Beschreibung und Darstellung des ... erfundenen neuen Mechanismus für einen Handdruck,,,,,,
"",,,,,,,"mittelst welchen gewebte Stoffe aller Art mit mehreren Farbenbeitzen auf einmal aufgedruckt,",,,,,,
2306,Gottlass,Anton,,,,,,"Zeugdruck, Dessin, Verdickungsmittel",,Wien,,1824,22.12.1824
