PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,"Hornbearbeitung, Knopf, Presse,",,,,,
2494,Eggerth,Joseph,,,,,Beschreibung der Verfahrungsweiße der Knöpferzeigung,,Wien,,1837,22.06.1837
"",,,,,,,Stanze,,,,,
"",,,,,,,"Beschreibung einer neuen Erfindung, wesentlich bestehend: I. In einem Apparate als Behältniß",,,,,
"",,,,,,,"und zum Transport des Erleuchtungsgases, vermög welchem Explosionen und das Zurückfahren",,,,,
2495,Hornberg,Benedikt,Hornberg,Joseph,,,"Gasbehälter, Leuchtgas, Gasregulator",,Wien,,1837,09.11.1837
"",,,,,,,nicht mehr möglich sind; II. In einem neuen Regulator für die Ausströmung des Gases ... [Text,,,,,
"",,,,,,,frz.u.dt.],,,,,
2496,Mendelssohn,E.T.N.,,,,,Beschreibung der Hörröhren und Hörmaschinen mit biegsamen Leitungsröhren Hörapparat,,Wien,,1838,02.05.1838
"",,,,,,,"Beschreibung der verbesserten Maillons zur Erzeugung faconirter Seidenzeuge, durch polirten Maillon, Fadenführung, Seide,",,,,,
2497,Bellon,Alexander,,,,,,,Wien,,1837,07.10.1837
"",,,,,,,Metaldraht Webstuhl,,,,,
"",,,,,,,"Beschreibung: Mittelst einer Walzen-Druck-Maschine, können alle Gattung Tüchel gedruckt",,,,,
2498,Becher,Adalbert,,,,,"Zeugdruck, Druckmaschine, Farbwalze",,Münchengratz,,1834,03.12.1834
"",,,,,,,werden,,,,,
"",,,,,,,"Beschreibung einer Verfahrungsweise, alle wie immer Nahmen habenden Möbel- u. Galanterie-",,,,,
"",,,,,,,"Gegenstände mit gepreßtem und glatten Metall zu überziehen, oder dieselben gleich zu gießen, Möbel, Galanterie, Folienbelegung,",,,,,
2499,Dub,Ignaz,Preshel,Josef,,,,,Wien,,1838,30.05.1838
"",,,,,,,"welche dann porzelainartig lackirt, gemahlt, und vergoldet werden, ferner Pappe auf eben Vergolden, Lackieren, Pappe",,,,,
"",,,,,,,dieselbe Weie zu lackiren,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: daß das rohe Zuckermehl ohne Sud ... mittelst einer Bleiche und",,,,,
2500,Pittroff,Heinrich,,,,,"mit beinahe gänzlicher Ersparung des bey der jetzt üblichen Zucker-Raffinierung erforderlichen Zucker, Raffinade/Zucker",,Wien,,1838,20.05.1838
