PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung ... auf die Erfindung eines Oehles ... durch dessen Anwendung wird das Ausgehen,,,,,
5152,Hofbauer,Franz,Scharuck,Heinrich,,,"der Haare nicht nur vermieden, sondern wodurch auch die Haare wachsen und die grauen Haare","Haaröl, Haarwuchsmittel",Wien,,1847,16.12.1847
"",,,,,,,"wieder ihre frühere Farbe bekommen, und daß man nie graue Haare bekommt",,,,,
5153,Reisner,Siegmund,,,,,Beschreibung des neu erfundenen Brennmateriales,Brikett,Wien,,1848,05.12.1848
"",,,,,,,Busse's Construction von Eisenbahnwagen zu dem Zwecke Achsenbrüche zu verhüten und,"Eisenbahnwagen, Wagenachse,",,,,
5154,Busse,August Friedrich,,,,,,,Leipzig,,1845,06.11.1845
"",,,,,,,unschädlich zu machen,Zweiteilige,,,,
"",,,,,,,Genaueste Beschreibung der ... erfundenen neuen Art von Gebissen unter der Benennung,,,,,
5155,Sachs,Adolph,,,,,,Gebiß/künstliches,Lemberg,,1848,04.02.1848
"",,,,,,,"Mastigadour, mit welchen man selbst die zähesten Speisen als Fleisch etc. zerkauen kann, ...",,,,,
5156,Palkh,Joseph,,,,,"Neueste Erfindung ... goldreiche Säbelkupeln zu erzeugen, ...",Säbelkorb,Wien,,1849,06.06.1849
"",,,,,,,"Zwey Stück Zeichnungen A & B nebst Beschreibung auf eine neue, auf 4 Räder Transportablen","Brennholz, Holzzerkleinerung,",,,,
5157,Gruber,Johann Georg,Rohan,Franz,,,,,Wien,,1845,17.03.1845
"",,,,,,,Brennholz-Verkleinerungs Maschine,Holzsäge,,,,
"",,,,,,,Beschreibung eines neuen Cylinder-Systems mit ununterbrochenen Walzen zur Verminderung der,,,,,
5158,Poitrat,Valentin,,,,,,Wälzlager,Paris,,1848,
"",,,,,,,"Reibung der Spindeln, Pirots und Achsen an Waggons, Fuhrwerken und Maschinen jeder Art",,,,,
"",,,,,,,Beschreibung zu ... die genaue Balancierung des Treibrades mit der Bleielstange ... [bei,"Lokomotive, Wagenrad, Bleuelstange,",,,,
5159,Haswell,John,,,,,,,Wien,,1848,05.02.1848
"",,,,,,,Lokomotiven],Kupplung,,,,
