PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,Beschreibung der von dem Unterzeichneten erfundenen Wasserdichten Glanzwichse und der,,,,,,
191,Pabitzky,Johann Konrad,,,,,,Schuhcreme,,Wien,,1822,28.10.1822
"",,,,,,,damit in Verbindung stehenden öhligten Flüßigkeit,,,,,,
192,Hoffmann,Joseph,,,,,Beschreibung der Verbesserung faconirter Großdetourbänder,"Seidenband, Bandmuster",,Wien,,1824,20.04.1824
"",,,,,,,"Erklärung der Manipulation, des von mir Erfundenen Apparates, mehrere Coulern auf einmahl, auf",,,,,,
193,Schreiber,Johann Benjamin,,,,,,"Banddruck, Irisdruck",,Lieben,,1824,15.11.1824
"",,,,,,,einer jeden Druckmaschine in Bändern zu drucken,,,,,,
"",,,,,,,"Definizione dell'Edificio, o Macchina di nuovo invenzione imaginato ... [Sumach-",,,,,,
194,Caperle,Girolamo,,,,,,"Sumachmühle, Gerberei",,Verona,,1823,14.07.1823
"",,,,,,,Zerkleinerungsmaschine],,,,,,
"",,,,,,,"... zeigt ... an, eine neue Erfindung gemacht zu haben, welche ... darin besteht, daß er ein Ventil zu",,,,,,
195,Braun,Johann,,,,,,Tabakspfeife,,Wien,,1826,06.06.1826
"",,,,,,,"allen Gattungen Tabaks-Pfeiffen aus edlem Metall erfunden habe, ...",,,,,,
"",,,,,,,"Beschreibung der Erfindung ..., welche darin besteht: daß er Seidenfelperhüte mit Hinweglassung",,,,,,
196,Werner,Nikolaus,,,,,,Hut,,Wien,,1821,07.11.1821
"",,,,,,,"von Pappendekkel, Holz, Stroh und Tuch verfertige, ...",,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, daß auf dem verbesserten",,,,,,
197,Matschiner,Karl,,,,,"DistilirApparate, mit einer einfachen Destillation, aus der Maische, nicht allein reiner und starker,","Branntwein, Destillierapparat",,Wien,,1822,22.03.1822
"",,,,,,,sondern auch aromatische Sorten Brandwein erlangt werden können,,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung in der Lithographie, welche ... darin besteht: 1. in einer",,,,,,
"",,,,,,,verbesserten chemischen Kreide ... 2. die Steinplatten ... vorzubereiten und zu ätzen ... 3. die ...,,,,,,
198,Cherszky,Alexander v.,,,,,,Litographie,,Wien,,1826,09.03.1826
"",,,,,,,"Steinplatten ... äußerst rein abzudrucken. 4. In eine Zurichtung der Steinplatten zum graviren, ... 5.",,,,,,
"",,,,,,,"Alle Gattungen Steindrucke mit einem verbesserten Firnisse zu drucken, ...",,,,,,
199,Bovara,Stefan,,,,,Descrizione della Macchina Binattoria [Seiden-Duplir-Maschine],"Seide, Doubliermaschine",,Lecco,,1811,05.08.1811
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, aus Rosoglio-Satz mit Hinzufügung eines",,,,,,
"",,,,,,,"Theils Gersten Malzes, nach Versetzung desselben in ein Gährungsmittel, einen reinen",,,,,,
200,Mandl,Isaak,,,,,,"Branntwein, Rosoglio, Anisgeist",,Wien,,1825,11.03.1825
"",,,,,,,"aromatischen Geist zu erzeugen, der zur Zubereitung des Anisgeistes und Anisrosoglio, ...",,,,,,
"",,,,,,,"anzuwenden ist, weil benannter Geist ... zu 30 Grad ... beim Destilliren erhalten wird",,,,,,
201,Locatelli,Luigi,,,,,Trebbia pei Grani ... [Dreschmaschine],Dreschmaschine,,Milano,,1817,
202,Loisel,Bernardo,,,,,Nuovo metodo per la Cornia delle pelli ... [Ledergärberei],"Leder, Gerberei",,Wien,,1822,31.10.1822
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... in einer einfachen ... in jeden alten wie immer",,,,,,
"",,,,,,,"geformten Branntweinkessel leicht anzubringenden Vorrichtung besteht, wodurch erzweckt wird,",,,,,,
203,Hannl,Johann,,,,,,"Branntwein, Essig",,Wien,,1823,18.07.1823
"",,,,,,,"das 1. aus Maische gleich reiner Spiritus oder Branntwein gewonnen wird, ... 4. kann ... die zu Essig",,,,,,
"",,,,,,,"bestimmte Flüssigkeit zu gleicher Zeit den nötigen Wärmegrad und Geistesgehalt erhalten, ...",,,,,,
"",,,,,,,Problema dato un Mucchio di Panocchie di Grano turco die varia grandezza trovare una Macchina,,,,,,
204,Bon,Andrea,,,,,"che ne separi il grano, senza guastarlo, e che superi in celerità, e sicurezza qualunque altra","Dreschmaschine/Mais, Maisrebbler",,Campo di Pietro,,1823,17.03.1823
"",,,,,,,"Macchina, che per l'oggetto stesso venne inventata fin ora",,,,,,
205,Kramer,Ferdinando,,,,,Metodo per istampare in un sol istante diversi colori con degradazione in guisa di Iride,"Zeugdruck, Irisdruck, Farbe",,Milano,,1824,20.10.1824
206,Locatelli,Luigi,,,,,Cono Idraulico inventato ...,Schöpfwerk,,Milano,,1817,10.03.1817
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: Bastwische und Bastkränze auf eine neue",,,,,,
207,Rupperth,Christoph,,,,,,Bast,,Wien,,1825,21.06.1825
"",,,,,,,Art zum allgemeinen Gebrauch dauerhaft und wohlfeil zu verfertigen,,,,,,
208,Jaeckel,Bernard,,,,,Beschreibung des ausschließenden privilegirten Branntweinbren-Apparats ...,"Branntwein, Destillierapparat",,Wien,,1822,04.02.1822
209,Haunschild,Sebastian,,,,,"Beschreibung der zwey Instrumente zum Ringeln der Weinreben, ...",Weinbau,,Oberhollabrunn,,1821,20.04.1821
"",,,,,,,"Beschreibung einer neuen Erfindung und Verbesserung, auf eine besondere Methode Essig und",,,,,,
210,Ehrenfeld,Anton,Ehrenfeld,Jakob,,,,"Branntwein, Essig",,Wien,,1825,27.05.1825
"",,,,,,,Brandwein zu erzeugen,,,,,,
"",,,,,,,,,,Castello sopra,,,
211,Scandella,Alessandro,Scandella,Giuseppe,,,Descrizione della macchina di pretesa invenzione Bovaro e di altra invenzione,Zwirnen,,,,1817,29.07.1817
"",,,,,,,,,,Lecco,,,
"",,,,,,,"... haben die Erfindung gemacht, Reitpeitschen und Stöcke, aus Fischbein und roßhaar mit einen",,,,,,
212,Gutseel,Lorenz,Ponschab,Karoline,,,,"Peitsche, Stock",,Wien,,1826,01.06.1826
"",,,,,,,"Florentiner Geflechte durchaus überflochten, zu verfertigen",,,,,,
213,Schwarz,Mathias,,,,,Beschreibung der ... neu Erfundenen Strigel-Maschin,Striegel,,Villach,,1821,12.06.1821
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht; Gegenstände mit jeder beliebigen",,,,,,
214,Friedel,Johann,,,,,"Farbe so anzustreichen, daß sie leicht trocknen, an Elastizität, Dauerhaftigkeit und Haltbarkeit","Farbe, Anstrich",,Wien,,1825,24.03.1825
"",,,,,,,"gewinne, und daher mehr der Witterung und anderen äußeren Einwirkungen wiederstehen",,,,,,
"",,,,,,,Descriptions des procédé que ... se propose d'emploijev dans l'Exploitation des terrains tourbeux,,,,,,
216,Morel,Joseph,Morel,Vincent,,,,Torf,,Milan,,1810,08.05.1810
"",,,,,,,"pour Composev, ... [Torfgewinnung]",,,,,,
"",,,,,,,Nro.1: Beschreibung eines Wagens für eine oder zwey Personen. Nro.2: Zeichnung und,,,,,,
217,Rupprecht,Joseph,,,,,Beschreibung eines in der Gestalt der Zeiselwagen für zehn Personen ohne Gespann laufenden,Wagen,,Pisek,,1826,22.01.1826
"",,,,,,,vierrädrigen Wagens.,,,,,,
218,Werz,Giuseppe de,,,,,Segretto Polyantiquografico fatto col inchiostro chimico sopra Pietre e sopra il ferro [Lithographie],Lithographie,,Milano,,1808,11.04.1808
