PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
2035,Brey,Gaetano,,,,,Il nuovo Ossabrodo Economico [Maschine zur Bereitung der Knochengallerte],"Knochen, Siedeofen, Leim, Gallerte",Milano,1831,23.06.1831
"",,,,,,,Beschreibung der ... Verbesserungen ... 1. um die zum Wägen nöthige Zeit zu verkürzen eine,,,,
2036,Rolle,Friedrich,Schwilgue,Jean Bapiste,,,Zunge mit Scala an den Hebel der Brückenwaage ... 2. ... Aenderung der Gewichtsschale ... 3. Eine,"Brückenwaage, Dezimalwaage",Wien,1833,30.03.1833
"",,,,,,,Waage ...,,,,
"",,,,,,,"Beschreibung einer neuen Entdekung, ..., daß die Beheitzung durch Wasser statt den bisher in",,,,
2037,Held,Joseph,,,,,,"Glasrohr, Zentralheizung",Wien,1836,04.02.1836
"",,,,,,,"Anwendung gebrachten Eisen Kupfer oder Zinkröhren mit Röhren aus Glas ausgeführt werde, ...",,,,
"",,,,,,,"Erze und Metalle mit eigens dazu vorbereiteten Braunkohlen zu schmelzen und zu verarbeiten,","Braunkohle, Koks, Brennmaterial,",,,
2038,Schmidt,Anton,,,,,,,Wien,1836,09.03.1836
"",,,,,,,welche bisher zu diesem Behufe unbrauchbar waren,"Hochofen, Verhüttung",,,
"",,,,,,,"Beschreibung nebst Zeichnung der sogenannten Doppelwägen, ..., daß sie sowohl auf",,,,
"",Berchtold-,,,,,,"gewöhnlichen Strassen wie auf Eisenbahnen anwendbar sind, und bey welchen die Last auf 2",,,,
2039,,Karl Graf v.,,,,,,Wagen,Wien,1838,07.02.1838
"",Ungerschuetz,,,,,,"Räder im Gleichgewichte ruht, wodurch die Pferde oder die Dampfkraft zum Zuge allein",,,,
"",,,,,,,verwendbar wird,,,,
"",,,,,,,Beschreibung der ... neuen Verbesserung in der Verfertigung von Preßspähnen und Papier aus,,,,
2040,Heimann,Moses,Heimann,Sophie,,,,"Preßspan, Papier, Schilfrohr",Wien,1834,12.08.1834
"",,,,,,,unserem gewöhnlichen Schilfrohre,,,,
"",,,,,,,"Beschreibung der ... Erfindung ..., daß er an den Schützen /:Schiffen:/ der Bandstühle einen neuen",,,,
"",,,,,,,"Mechanismus angebracht habe, durch welchen man im Stande ist, den Gang derselben wilkürlich",,,,
2041,Haas,Philipp,,,,,,"Bandstuhl, Schützenregulator",Wien,1830,18.08.1830
"",,,,,,,"zu bestimmen, und daher auf jeden Punkt ihres Laufes Stillstehen, oder Weitergehen lassen",,,,
"",,,,,,,"könne, ...",,,,
"",,,,,,,,"Feuerspritze, Pumpe, Stroh,",,,
"",,,,Johann,,,,,,,
2042,Purtscher,Augustin,Reithoffer,,,,Einer Feuer Lösch Vorrichtung in Anwendung zu bringen,"Imprägnierung/Strohdach,",Wien,1832,31.10.1832
"",,,,Nepomuk,,,,,,,
"",,,,,,,,"Feuerschutz, Dach",,,
"",,,,,,,Bitten um die Ertheilung eines Privilegiums auf folgende Entdeckung: Daß wir mittelst,,,,
"",,,,Johann,,,Vorrichtungen und Maschinen Mieder /:Schnürbrüste:/ im Ganzen machen sowie den Kautschuck,,,,
2043,Purtscher,Augustin,Reithoffer,,Reithoffer,Eduard,,"Mieder, Gummiband, Bandstuhl",Wien,1833,30.11.1833
"",,,,Nepomuk,,,"in Fäden bilden, um mittelst dieser Fäden Gewebe jeder Art zu machen: Hosenträger, Mieder,",,,,
"",,,,,,,Schuhe &&,,,,
"",,,,,,,Beschreibung der ... erfundenen elastischen Armbänder /:brace de letes:/ und Leibbinden für,,,,
"",,,,,,,"Damen überhaupt für Frauenzimmer - von Gold, Silber und Bronce, mit oder ohne Edelsteinen und",,,,
2044,Martin,Peter,,,,,,"Armband, Leibbinde, Galanterie",Wien,1837,15.02.1837
"",,,,,,,"Perlen besetzt, glatt, graviert, oder fassionirt, nach jeder beliebigen Form, so daß sie sich nach",,,,
"",,,,,,,"jeder Stärke des Armes u. des Leibes, ohne Nachtheil dehnen, ...",,,,
2045,Lamarche,Michael,,,,,Nouveau procedee pour la perfection des chaises de paille [Strohsessel][Text frz.],"Strohmöbel, Sessel, Färben/Stroh",Wien,1833,17.06.1833
"",,,,,,,Beschreibung der wesentlichen Verbesserungen dieser verengten Claviatur /:Tastatur:/ im,,,,
2046,Obendrauf,Joseph Valentin,,,,,Vergleiche der bisher üblichen oder gewöhnlichen Claviaturen und die daraus hervorgehenden,Klaviatur,Wien,1837,10.08.1837
"",,,,,,,Vortheile für Pianoforte-Spieler ...,,,,
"",,,,,,,Beschreibung der Verbesserung und Veränderung an den k.k.priv. Nadelfeuerwaffen mit glatten,,,,
2047,Mylius,Adolf,Rutte,Adolf,,,,Gewehrschloß,Wien,1836,17.05.1836
"",,,,,,,"Röhren, sowohl für Flinten, Karabiner und Pistolen mit einem oder mehreren Läufen",,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: die Erzeugung des Boraxes vermittelst eines verbeßerten",,,,
2048,Rattler,Joseph,,,,,,Borax,Wien,1835,19.03.1835
"",,,,,,,Verfahrens zu bewerkstelligen ...,,,,
2049,Nagy,Joseph,,,,,Beschreibung der mechanischen Vorrichtung zum Zusammenlegen der Filz und Seidenhüte,Hut/Faltbarer,Wien,1836,26.08.1836
"",,,,,,,"... erstattet ... die treue Angabe und genaue Beschreibung, wie man im Stande ist, ein noch",,,,
2050,Burka,Anton,,,,,vorzüglicheres Bier als daß aller Gattungen im Lande Böhmen bestehende auch in einer anderen,"Malz, Bier, Hopfen",Groß-Enzersdorf,1822,11.11.1822
"",,,,,,,Provinz zu erzeugen,,,,
"",,,,,,,... das Chlorsaure Kali ... so wie auch die darauß erzeugten Producte als Zinthölzel Rauchpapiere,,,,
2051,Siegl,Joseph,,,,,,"Rauchpapier, Zündhölzer",Wien,1829,16.11.1829
"",,,,,,,oder Zintblätter ... erzeugt werden.,,,,
"",,,,,,,Beschreibung und Manipulations Methode der neu erfundenen vervollkommneten,,,,
2052,Siegl,Joseph,,,,,,Zündhütchen,Wien,1830,16.06.1830
"",,,,,,,"Kupferzündhütchen, genannt Siegl's Patentmagazin-Kapsel",,,,
"",,,,,,,Die Beschreibung des Geheimnißes meiner neuen Erfindung und Verbesserung nach beyliegender,,,,
"",,,,,,,,"Horn, Trompete, Posaune,",,,
2053,Uhlmann,Leopold,,,,,"Zeichnung der Klappen und des dazu nöthigen Mechanismus der Messing Blaß Instrumenten, als",,Wien,1830,24.06.1830
"",,,,,,,,Klappe/Blasinstrument,,,
"",,,,,,,"Waldhorn, Trompeten und Posaunen",,,,
"",,,,,,,,"Gummiband, Bett, Polstermöbel,",,,
"",,,,,,,"Das Geheimniß der Verfertigung luftdichter Betten und aller Gattungen Sitz- und anderer Polster,",,,,
2054,Wolffsohn,Sigmund,,,,,,"Sitzpolster, Wasserdicht(er) Stoff,",Wien,1830,17.09.1830
"",,,,,,,so wie der wasser- und luftdichten Stoffe ...,,,,
"",,,,,,,,Luftdicht(er) Stoff,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß alle Gattungen Männer- und Knabenkleider in den Nahten",,,,
2055,Kaeding,Ludwig,,,,,"dauerhafter, in der Facon geschmeidiger und dennoch steifer, dann schöner, haltbarer und","Kleidung, Schneiderei, Steifleinwand",Wien,1832,18.09.1832
"",,,,,,,zugleich schneller als bisher verfertiget werden,,,,
2056,Mueller,Ignaz,,,,,"... zeigt an, eine neue Verbesserung gemacht zu haben (der Pulverhörner) ...",Pulverhorn,Wien,1832,23.07.1832
