PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,... bitten ... um ein ... Privilegium auf die Erfindung HornKlauen Knöpfen dem Codrington und,,,,,
4355,Falta,Johann,Kramel,Joseph,Moser,Stephan,,"Hornbearbeitung, Knopf, Stoffüberzug",Wien,,1844,19.08.1844
"",,,,,,,"andern Stofen ehnlichen überzug zu geben, ... [später zediert an Stephan Moser]",,,,,
"",,,,,,,"Zeichnung u. Beschreibung der Weberkamm-Maschine, nach einer ganz neuen verbesserten",,,,,
"",,,,,,,"Methode, mittelst einer ganz neuen u. einfachen Vorrichtung geschnittene und bereits in Arbeit",,,,,
4356,Bearzi,A.,,,,,,"Weberkamm, Fräsmaschine/Kamm",Wien,,1842,09.04.1842
"",,,,,,,"gewesene Zähne wieder zu binden, was bisher noch nie der Fall war, u. stets für unausführbar",,,,,
"",,,,,,,gehalten wurde,,,,,
4357,Niederhofer,Johann,,,,,"Beschreibung von verschiedenen Verbesserungen an dem Pianoforte, ...","Klavier, Oktavverdopplung",Wien,,1842,16.07.1842
"",,,,,,,... Beschreibung & Zeichnung der ... neuen Erfindung ...: Auf chemisch Mechanischem Wege jede,,,,,
4358,Thonet,Michael,& Co,,,,"Holzgattung, alle nur in der Einbildung liegenden Biegungen zu geben, wodurch das nach dieser","Holzbiegemaschine, Holzschutz",Wien,,1842,14.05.1842
"",,,,,,,Methode Bearbeitete Holz völlig frey vom Wurmfraße wird ...,,,,,
"",,,,,,,Beschreibung meiner Verbesserung in der Erzeugung sechseckiger Deckplatten aus Thon und in,"Dachziegel, Glasierter, Dach,",,,,
4359,Doblhoff - Dier,Anton Frh.v.,,,,,,,Wien,,1842,26.07.1842
"",,,,,,,dem Verfahren bei der Dachdeckung mit denselben ...,"Ziegelpresse, Glasur",,,,
"",,,,,,,"Beschreibung der durch Johan Leemann, Mechanicus und Handlungsgesellschafter der",,,,,
4360,Ganther,,Leemann,Johann,,,"Privilegienwerber Ganther, Leemann & Co in Feldkirch, erfundenen Baumwollspinnmaschine nach","Baumwolle, Spinnmaschine",Feldkirch,,1842,27.05.1842
"",,,,,,,der von gedachtem Leemann entworfenen Zeichnung,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, ..., daß er ... Hartwalzen für Goldarbeiter, Lyonerblättwalzen,",,,,,
4361,Hueber,Franz Anton,,,,,,"Walze, Gießerei",Schwaz,,1843,11.05.1843
"",,,,,,,"Münzämter, Messing-, Kupfer- und Eisenwerke verfertigt, ...",,,,,
"",,,,,,,,"Nagel, Schneidemaschine,",,,,
4362,Doettl,Johann,,,,,Beschreibung über Nägel-Erzeugung mittelst einer neuen Maschine ...,,Hallein,,1844,10.06.1844
"",,,,,,,,Kopfstauchen,,,,
4363,Renell,A.,,,,,Beschreibung der Bereitung der Hanftafeln,"Hanfplatte, Pressen, Werkstoff",Wien,,1844,15.05.1844
"",,,,,,,Beschreibung der von Karl Stretti unter der Firma Ambros Stretti als Chef und L. Loewy gemachten,,,,,
