PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung. Vortheile, Nutzen, Gebrauch und Bequemlichkeit der durch beiliegende",,,,
763,Joachym,Joseph,,,,,,Rasiermesser,Karolinenthal,1826,12.07.1826
"",,,,,,,Zeichnungen mit beygefügten Erklärungen beschriebenen drey Arten von Rasiermessern,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... in der Verfertigung zweyer Arten Emaille bestehet,",,,,
764,Egermann,Friedrich,,,,,,"Email, Dessin, Galanterie",Prag,1824,01.06.1824
"",,,,,,,welche ... der Erfinder nach ihrer Aehnlichkeit Bisquit-Emaille mit Perlmutter-Emaille benennet,,,,
"",,,,,,,Beschreibung der Manipulation und Vorrichtung zur Erzeugung eines Essig der dem Weinessig am,,,,
765,Gruen,Leopold,,,,,"nächsten in Geschmack und Säure kommt, sich von dem bisher bekannten Kunstessig durch",Essig,Wien,1823,09.09.1823
"",,,,,,,"vorzügliche Klarheit, Säure, Wohlfeiligkeit und insbesondere durch Dauerhaftigkeit auszeichnet",,,,
"",,,,,,,"Descrizione dell'invenzione che ... consiste, nell'aver portata la Stadera, o Romana, ad uno stato di",,,,
766,Locatelli,Luigi,,,,,,Waage,Venezia,1825,18.08.1825
"",,,,,,,"vale perfezione da ripuversi Strumento legale punto la Bilancia, ... [Schnellwagen]",,,,
"",,,,,,,"Descrizione della invenzione, che ... consiste in ciò, che col mezzo di una macina a cilindro a lamine",,,,
"",Cappelletto di,,,,,,,,,,
767,,Pietro,,,,,"di ferro, od acciajo si possono frangere, tritturare e finissimamente porfirizzare senza perdita del",Handmühle,Venezia,1824,17.12.1824
"",Pasquale,,,,,,,,,,
"",,,,,,,"genere ed alterazione immaginabile ogni sorta di corpi tanto minerali, ... [Mühle]",,,,
"",,,,,,,Descrizione dell'invenzione di una macchina onde mettere e macchinare in movimento i,,,,
768,Zanetti,Napoleone Cesare,,,,,,"Schiffsantrieb, Getriebe",Venezia,1828,21.08.1828
"",,,,,,,"bastimenti, e le barche ... [Schiffe]",,,,
"",,,,,,,"Das Steinwechsel-Holz, wird auf folgende Art zu Tabackrauchröhren verfertiget, welche sehr",,,,
769,Trenner,Joseph,,,,,,"Tabakspfeife, Weichselholz",Guttenbrunn,1824,09.02.1824
"",,,,,,,"schön, fest und dauerhaft, auch sehr angenehm von Geruche sind, und wohlfeil seyen",,,,
770,Rosenberger,Michael,,,,,"Beschreibung des Models der neuen Verbesserung des Orgelmäßigen Zungenwerks, ...",Orgelpfeife,Wien,1826,03.06.1826
