PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung einer neuen Construction von Eisenbahnwagen, durch welche das Brechen der",,,,,
3622,Busse,August Friedrich,,,,,,"Eisbenbahnwagen, Drehgestell",Wien,,1843,25.11.1843
"",,,,,,,Achsen vermieden wird,,,,,
"",,,,,,,,"Eisenbahnwagen,",,,,
"",,,,,,,"Beschreibung der Zeichnungen, die Aufhängung der Eisenbahnwagen an die Federn mittelst",,,,,
3623,Busse,August Friedrich,,,,,,"Federung/Eisenbahnwagen,",Wien,,1843,25.11.1843
"",,,,,,,Stahlringe betreffend,,,,,
"",,,,,,,,Aufhängevorrichtung,,,,
3624,Singer,Peter,Smzecher,Alois,,,Construction einer durch Gewicht getriebenen neuartigen Mahlmühle,"Mühle, Gewichtsantrieb",Wien,,1843,11.08.1843
"",,,,,,,"Uiber die Anwendung der Hydro Chlorsäure zur Erzeugung von Margarinsäure & Elainsäure,",,,,,
"",,,,,,,"erstere zur Darstellung der Margarinsäure Lichter ..., die Oehlsäure (Elaine) zur Erzeugung von ...","Salzsäure, Margarinsäure, Oelsäure,",,,,
3625,Hellmer,Ignaz,,,,,,,Wien,,1843,28.07.1843
"",,,,,,,harter Seife ... u. die Verwerthung der bei der Zersetzung gewonnene Rückstand auf Chlorsaure,"Kerze, Seife, Chlorat, Chlorid",,,,
"",,,,,,,Salze und Chloride ...,,,,,
"",,,,,,,,"Abziehen/Rasiermesser, Rasiermesser,",,,,
3626,Goldschmidt,Alexander,,,,,Anweisung zur Verfertigung der Goldschmidtschen Streichriemen,,Wien,,1842,15.01.1842
"",,,,,,,,Polieren,,,,
"",,,,,,,"Beschreibung & Zeichnung der rotierenden Wassersäulmaschine, wodurch jedes lebendige",,,,,
3627,Mohr,Joseph jun.,Wetterneck,Joseph,,,,Wasserkraftmaschine,Wien,,1843,07.03.1843
"",,,,,,,Wasser mit einem bis jetzt noch nicht erreichten Nutzefect als Triebkraft verwendet werden kann,,,,,
3628,Ranek,Michael,,,,,Beschreibung einer freitragenden Bogenbrücke ...,"Bogen, Brücke, Holzbau, Fachwerk",Prag,,1842,19.03.1842
3629,Harrison,Thomas,,,,,Neue Verfahrungs-Art das Bleyweiß ... zu erzeugen [Text frz.u.dt.],Bleiweiß,Wien,,1834,08.07.1834
3630,Nagy,Karl v.,,,,,Beschreibung der neuen sich selbst nährenden Oehlgas-Lampe,"Lampe, Vergaser",Wien,,1837,06.11.1837
3631,Hofer,Georg,,,,,Beschreibung der ... tragbaren Dreschmaschine,Dreschmaschine,Wien,,1843,07.07.1843
"",,,,,,,Beschreibung der von Johann Gasteiger ... durch Johann sentmiklosy in Wien angeblich,,,,,
"",,,,,,,"gemachten neuen Erfindung und Verbesserung ...: Alle Gattungen gewebter Wollstoffe, so auch","Wollstoff, Imprägnierung/Stoff,",,,,
3632,Gasteiger,Johann,Sentmiklosy,Johann,,,,,Graz,,1839,26.11.1839
"",,,,,,,alle aus Haar und Werg zusammengesetzte Filzflächen ... durch das Eintauchen in eine eigens,Kunstleder,,,,
"",,,,,,,componirte Masse in einen lederartigen Körper zu verwandeln; ...,,,,,
3633,Wanaxel,Luigi,,,,,Descrizione: La Volante idraulica ... che ore servira di base alla sequenti aggiunto ... [Wasserrad],Wasserrad,Triest,,1843,11.09.1843
3634,Pottje,Johann,,,,,Beschreibung der ... Verbesserung an den Forte-pianos ...,"Klavier, Steg",Wien,,1839,18.03.1839
"",,,,,,,,"Schiefer/Bituminöser, Teer,",,,,
"",Hompesch zu,,,,,,Technische Beschreibung über die Nutzanwendungen des bituminösen Schiffers und alle darin,"Extraktionsapparat, Oel,",,,,
3635,,Theophil Graf v.,,,,,,,Brüssel,,1841,02.05.1841
"",Wisberg,,,,,,enthaltenen Substanzen,"Knochenschwärze, Kunstdünger,",,,,
"",,,,,,,,Dichtungsmasse,,,,
3636,Senger,Louis,,,,,Beschreibung der Verfahrungsweise zur Erzeugung der Universal-Kerzen,Kerze,Wien,,1839,26.09.1839
"",,,,,,,"Eigenschaften und Beschreibung der angegebenen Erfindung, das zum Gebrauche die Wäsche zu",,,,,
3637,Sofka,Joseph,Spody,Karl,,,,Waschblau,Wien,,1844,20.01.1844
"",,,,,,,bleben sogenannte Waschblau,,,,,
"",,,,,,,Beschreibung der Verfertigung der ... neu erfundenen Rasier-Messer in Metallenen Schalen in,,,,,
3638,Palkh,Joseph,,,,,,Rasiermesser,Wien,,1839,23.12.1839
"",,,,,,,"Taschen-Messer Form, ...",,,,,
"",,,,,,,... Vermittelst einer mechanischen Vorrichtung die Papiermasse auf der Papiermaschine mit,,,,,
3639,Ziegler,Benedikt Sohn,,,,,,"Leimen/Papier, Papiermaschine",Wien,,1842,03.06.1842
"",,,,,,,vegetabilischem Leim zu leimen,,,,,
"",,,,,,,"Beschreibung der Verbesserung an den J. Fröhlichischen Aborten, u. der Bereitung von 4",,,,,
3640,Sailler,Anton,,,,,,"Abort, Düngergewinnung",Graz,,1829,16.11.1829
"",,,,,,,vorzüglichen Düngersorten,,,,,
"",,,,,,,Beschreibung der ... Verbesserung der Beleuchtungsapparate aller möglichen Gattungen Luster u.,,,,,
3641,Demuth,Peter,,,,,,"Lampe, Luster, Laterne",Wien,,1838,24.10.1838
"",,,,,,,Lampen ...,,,,,
3642,Loew,Lazar L.,,,,,"Beschreibung des ... erfundenen schwarz rauhen Kalbleders, ...","Leder, Gerberei, Kalbleder",Prag,,1838,02.11.1838
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß durch das Verfahren bei der Kunstessigerzeugung der",,,,,
3643,Gerstenberger,Joseph,,,,,,"Essig, Gärapparat",Olbersdorf,,1838,14.05.1838
"",,,,,,,"Zutritt der frischen Luft zu den Gährungsstoffen befördert wird, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung auf einen wärmeleitenden Apparat, dem er den Nahmen eines",,,,,
3644,Noble,W.,,,,,,"Ofen, Zugregulator",Wien,,1838,21.09.1838
