PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
1334,Mueller,Mathias,& Sohn,,,,Beschreibung und Zeichnung des GabelHarmonPiano Forte,Klavier,,Wien,,1827,14.05.1827
"",,,,,,,"Beschreibung der Neuen Erfindung, welche ... darin besteht, Eine Neue art Mahlerey sowohl auf",,,,,,
"",,,,,,,Holtz-Papier-Seide-Atlas-Samet Orkantin-Musselin sowohl in Oehl als in Tuschfarben ohne,,,,,,
1335,Fleischinger,Franz,,,,,"forkentnissen fon Zeichnen oder Mahlereyen Nothwendig zu haben, Sondern Nehmlich mit",Schablone,,Wien,,1831,03.01.1831
"",,,,,,,"diessen Modellen Von Gefirnisten Pabir, Welches muß Ausgeschnitten werden so wie es die",,,,,,
"",,,,,,,Zeichnungen befordern ...,,,,,,
"",,,,,,,Beschreibung zur Verfertigung der von uns Gefertigten neu Verbesserten Männer Filz- und,,,,,,
1336,Friedrich,Georg Adam,Reitter,Joseph,,,,Hut,,Wien,,1831,04.07.1831
"",,,,,,,"Seidenhüte, ...",,,,,,
"",,,,,,,,"Dekatiermaschine, Rauhmaschine,",,,,,
1337,Kube,Augustin,,,,,Beschreibung einer verbesserten WollwarenRauh-Scher-Preß- und DikadierMaschine,,,Iglau,,1833,17.03.1833
"",,,,,,,,Tuchschere,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, gestampfte Metallwaren mit Spiegelsteinen besetzt, zu",,,,,,
"",,,,,,,"verfertigen, als Schnallen-, Beutel-, Mantel- und Halsschließen, Schlüsselhaken, Ohrgehänge,","Metallwaren, Galanterie, Beschlag,",,,,,
1338,Riesse,Gottfried,,,,,,,,Wien,,1834,03.01.1834
"",,,,,,,"Knöpfe, Fingerringe, Kreuzeln, Colliers, Braceletten, Kämme, Verzierungen zu  Spiegelrahmen,",Gravieren,,,,,
"",,,,,,,"Uhrgehäuse, Schatullen u. Beschläge zu Möbeln",,,,,,
"",,,,,,,"Beschreibung ... a) Die Erfindung, geometrische Männerkleider aus einem Stücke im Ganzen",,,,,,
"",,,,,,,"bestehend /:mit Ausnahme der Aermeln:/ zu verfertigen ... b) Die Verbesserung, Beinkleider zu",,,,,,
1339,Lazarevitsch,Johann,,,,,,"Kleidung, Schneiderei, Zuschneiden",,Wien,,1834,28.07.1834
"",,,,,,,"verfertigen, wodurch man die Hosenträger gänzlich entbehret, ... Gilets auf obige Weise zu",,,,,,
"",,,,,,,"verfertigen, die ebenfalls ... gefällig sich schließen ...",,,,,,
"",,,,,,,"Beschreibung der ganz neu erfundenen Art Möbel von besonderer Eleganz, allgemeiner",,,,,,
1340,Dvorcak,Johann,Weissengruber,Johann,,,,Möbel,,Prag,,1830,06.09.1830
"",,,,,,,Brauchbarkeit zu verfertigen,,,,,,
1341,Lorenz,Kaspar,,,,,"... zeiget hiemit an, eine neue Verbesserung der Querfortepiano gemacht zu haben, ...",Klavier,,Wien,,1834,18.12.1834
"",,,,,,,Beschreibung der ... Entdekung ...: Durch die Zusammensetzung mehrerer Gattungen,,,,,,
"",,,,,,,"Trinkgeschirre für den Gebrauch der k.k. Armee erzeugt werden, welche wohlfeiler, brauchbarer,",,,,,,
1342,Harrer,Martin,,,,,,"Trinkgefäß, Feldflasche, Tonwaren",,Wien,,1833,21.09.1833
"",,,,,,,"dauerhafter und der Gesundheit zuträglicher sind, als die bisherigen blechernen Feldflaschen und",,,,,,
"",,,,,,,hölzernen Csuttera,,,,,,
1343,Jasper,Christian Georg,,,,,Beschreibung der Rastrir-Rubricir- oder Lienirmaschine,Liniermaschine,,Wien,,1824,30.09.1824
"",,,,,,,Beschreibung der ... Erfindung von Eisenbahnrädern oder beweglichen Eisenbahnen oder auch mit,,,,,,
"",Berchtold-,,,,,,"sich führende Eisenbahnwägen, welche ... darin besteht, daß man damit auf jeder Strasse dem",,,,,,
1344,,Karl Graf v.,,,,,,"Raupenfahrzeug, Wagen, Eisenbahn,",,Wien,,1833,02.04.1833
"",Ungerschuetz,,,,,,"Pferde eine größere Last aufladen, leichter und sohin geschwinder bey jeder Witterung fahren",,,,,,
"",,,,,,,"kann, und eine Art der Eisenbahnräder auch an jedem Lastwagen anzubringen ist",,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß solche bei jeder gewöhnlichen Mühle angebracht",,,,,,
"",Berchtold-,,,,,,,,,,,,
1345,,Karl Graf v.,,,,,"werden könne - daß hiedurch das Verhältniß der Körner-Vermahlung nicht gestört, ja selbe sogar",Mühle,,Wien,,1832,20.10.1832
"",Ungerschuetz,,,,,,,,,,,,
"",,,,,,,beschleunigt werden könne ...,,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ...: Eine neue Art Rände an den Seidenhüten aus einem ganz",,,,,,
1346,Auhl,Johann,,,,,"neu erfundenen Stoffe zu machen, welche nie brechen, noch durch die Witterung Schaden leiden",Hut,,Wien,,1833,15.05.1833
"",,,,,,,"kann, ...",,,,,,
"",,,,,,,,"Mauer, Trockenlegung,",,,,,
1347,Ram,Ignaz,,,,,"Beschreibung der neuen Verfahrungsart, naße Wände trocken zu machen",,,Wien,,1830,05.02.1830
"",,,,,,,,"Feuchtigkeitsschutz, Imprägnierung",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung und Erfindung, ..., Auf die Verbesserung bey Erzeugung des",,,,,,
"",,,,,,,"flüssigen Ammoniums /:Salmiakgeist:/ ... ferner auf die neue Erfindung eines Kittes, der .. dem",,,,,,
1348,Weilheim,Karl Ludwig,,,,,,"Salmiakgeist, Kitt, Salpetersäure",,Wien,,1827,07.07.1827
"",,,,,,,"Durchbringen des heißen Ammoniakgases widersteht, und endlich auf die Verbesserung in der",,,,,,
"",,,,,,,Erzeugung der Salpetersäure ... wodurch auch ... ganz reine Säure gewonnen werden kann,,,,,,
"",,,,,,,Beschreibung des verbesserten pneumatisch portativen Erd-Globus (nach der Erfindung von,,,,,,
1349,Cella,Philipp,,,,,,"Erdglobus, Luftballonglobus",,Wien,,1833,11.01.1833
"",,,,,,,"Pocock in England) [Broschüre, abgedruckt zu München im Okt. 1831, liegt bei]",,,,,,
"",,,,,,,,"Flaschenkorkmaschine,",,,,,
1350,Hecht,Joseph August,,,,,Beschreibung der Verkorkungs-Maschine,,,Franzensbad,,1830,15.01.1830
"",,,,,,,,Abfüllapparat/Mineralwasser,,,,,
"",,,,,,,"Beschreibung der ... unter der Firma Johann Uffer [gemachten Erfindung], welche im Wesentlichen",,,,,,
1351,Uffenheimer,Johann Gabriel,Uffer,Johann,,,"darin besteht: zu verfertigen: Gaslicht-Doppelschirme, um die Lichtstrahlen bedeutend zu","Lampe, Scheinwerfer",,Wien,,1835,08.02.1835
"",,,,,,,verstärken,,,,,,
"",,,,,,,Descrizione della Macchina a manubrio per trinciare legni ad uso de tintori in fette sottilissime ed,,,,,,
1352,Lattuda,Luigi,,,,,,Farbholzmühle,,Milano,,1835,06.05.1835
"",,,,,,,altri due ordigni anessi ... [Farbholzzerschneidemaschine],,,,,,
"",,,,,,,Beschreibung der Erfindung: Seifen von verschieden Parfums in allen Formen und vorzüglich in,,,,,,
1353,Nuglisch,Adolph,Treu,Karl,,,"Früchten herzustellen, und diese mit einem Ueberzuge zu versehen, wodurch der Wohlgeruch der",Seife,,Wien,,1834,06.01.1834
"",,,,,,,Seife sich nie verflüchtigen kann,,,,,,
