PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,,"Raffinade/Oel, Oel/Raffinade,",,,,
"",,,,,,,"Oehle Raffinerie Apparat, und Anwendung desselben zur Extraction von Gärbe und Färbestoffen,",,,,,
630,Koenigsbrunn,Alois Frh.v.,Romershausen,Elard,,,,"Fischtran, Destillierapparat,",Graz,,1822,31.10.1822
"",,,,,,,dann Filtrirung von Flüssigkeiten,,,,,
"",,,,,,,,Filtrierapparat,,,,
631,Koenigsbrunn,A.B.v.,Scobl,Johann,,,Beschreibung und Zeichnung des neuen Feuerzeuges oder Zündmaschine,"Feuerzeug, Platinstaub, Wasserstoff",Graz,,1823,01.10.1823
632,Kaiser,Joseph Franz,,,,,Beschreibung zum aromathischen GratzerWasser,Parfüm,Graz,,1824,04.02.1824
"",,,,,,,"Beschreibung der neuen bisher unbekannten Verfahrungsart, mittelst eines eigenen",,,,,
633,Tanzwohl,Ferdinand,,,,,"Zuckerrafinement, Liqeure und Rosoglio, sowie überhaupt alle Gattungen geistiger mit Zucker","Likör, Rosoglio, Raffinade/Zucker",Wien,,1824,30.04.1824
"",,,,,,,versetzten Getränken von höchstem Wohlgeschmack zu erzeugen,,,,,
634,Sailler,Johann,,,,,Beschreibung der Verbesserung einer schwarzen Farbe/Patentschwarz/ ...,Schwarz,Graz,,1823,29.11.1823
"",,,,,,,"Genaue Beschreibung den Rauch jeder Küche, jeden Kamin, ja selbst jenen einzelnen Ofen nebst",,,,,
635,Withalm,Joseph Benedikt,,,,,der Feuersgefahr zu befördern. Ein Gegenstand der Verbesserung. Genaue Beschreibung der,"Abort, Senkgrube, Rauchfang",Graz,,1823,08.08.1823
"",,,,,,,"geruchlosen Abritte, ein Gegenstand der Entdeckung",,,,,
"",,,,,,,"Soda Erzeugung aus Koch, oder Glaubersalz, in Verbindung mit der Bereitung gereinigter",,,,,
636,Sailler,Anton,Sailler,Johann,,,verbesserter thierischer Kohle zu Zucker und Oehlraffinerien. Beschreibung des zur Verkohlung,,,,1823,
"",,,,,,,der Knochen gebrauchten Ofens,,,,,
"",,,,,,,Beschreibung des ... erfundenen DampfDestilationsApparat zur Extrahirung der Geister aus den,,,,,
637,Felber,Jakob,,,,,,"Destillierapparat, Branntwein",Wien,,1824,01.05.1824
"",,,,,,,verschiedenen Produkten des Pflanzen Reichs,,,,,
"",,,,,,,"Beschreibung mit Zeichnung der ... Erfindung, ... daß er ... a) rücksichtlicher der Form unter dem",,,,,
"",,Bonaventura,,,,,"Nahmen FAW-Ziegel oder Dreybünder, Mauerziegel ... erzeuge, ... daß mit selben ebene Decken",,,,,
638,Hoedl,,,,,,,"Ziegel, Tuffziegel, Gewölbeziegel",Graz,,1822,11.03.1822
"",,Konstantin,,,,,"oder ganz flache Gewölbe ... angefertigt werden können, ... b) rücksichtlich der Qualität",,,,,
"",,,,,,,sogenannte Tuffstein- oder Lava-ziegel jeder Form ... verfertige ...,,,,,
"",,,,,,,Auseinandersetzung und Beschreibung der Helicoidischen Diagonal Tuchscher Maschine oder,,,,,
639,Cochelet,Adrian Ludwig R.v.,,,,,,"Tuchschere, Helocoidkraft",Wien,,1821,05.10.1821
"",,,,,,,Anwendung der Helicoidischen Kraft zum Scheren nach der Diagonale,,,,,
"",,,,,,,,"Dekatiermaschine, Kleiderstoff,",,,,
640,Lehmann,Friedrich,,,,,Decatier Apparat,,Wien,,1824,26.05.1824
"",,,,,,,,Appretur,,,,
"",,,,,,,,"Dekatiermaschine, Appretur,",,,,
641,Richter,Augustin,Schenk,Joseph,,,Beschreibung der Decardir Maschine,,Wien,,1826,01.09.1826
"",,,,,,,,Kleiderstoff,,,,
"",,,,,,,"Beschreibung der Erfindung, aus flachen Bändern von Wolle oder Garn, von was immer für Farbe,",,,,,
642,Frenkel,Ignaz,Kremser,Joseph,,,,Docht,Wien,,1830,18.01.1830
"",,,,,,,hohle Dochte zu erzeugen,,,,,
643,Juettner,Joseph,Wilson,John,Wurm,Franz,Beschreibung der neu erfundenen Flachs- und Hanf-Brechmaschine,"Hanf, Flachs, Brechmaschine",Wien,,1825,09.11.1825
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß der Gußstahl von beliebiger Härte",,,,,
644,Obersteiner,Alois,,,,,,"Gußstahl, Härten",Wien,,1826,11.02.1826
"",,,,,,,"/:Härtefähigkeit:/ nach Numern oder Graden bestimmt erzeugt werden kann, ...",,,,,
645,Mayer,Ignaz,,,,,Beschreibung des mechanischen Musikpultes,"Notenpult, Umblättern",Wien,,1822,04.11.1822
646,Galeotti,Maximilian,Sonnleithner,Joseph,,,Beschreibung des hydraulischen Gas-Regulators,Gasregulator,Wien,,1826,18.03.1826
"",,,,,,,... zeigt hiemit an eine neue Erfindung und Verbesserung der privilegirten Pattent PfeiffenKöpfe,,,,,
647,Dillinger,Joseph,,,,,,Tabakspfeife,Wien,,1824,24.11.1824
"",,,,,,,"gemacht zu haben, ...",,,,,
"",,,,,,,"Beschreibung: 1. des Verfahrens, feuchte Mauern, ... vollkommen auszutrocknen, und gegen","Mauer, Trockenlegung,",,,,
648,Germ,Franz,,,,,,,Wien,,1825,16.12.1825
"",,,,,,,ferneres Feuchtwerden zu bewahren ... 2. Ein wasserfester sehr guter Mörtel,Feuchtigkeitsschutz,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ... 1. in der Verfertigung verschiedener Gattungen einer auf naßem",,,,,
"",,,,,,,"Wege bereiteten ... festen Masse, welche der Oberfläche dieser Körper mit ungemeiner",,,,,
"",,Peregrinus,,,,,,"Feuerschutz, Feuchtigkeitsschutz,",,,,
649,Ger,,Prager,Joseph v.,,,"Haltbarkeit anklebet, ... 2. in der Anwendung ..., um die damit übertünchten Körper vor dem Feuer",,Wien,,1823,24.10.1823
"",,[Pseud.],,,,,,Oberflächenschutz,,,,
"",,,,,,,"zu schützen, ... 3. ... zum Stokadoren ... 4. ... Metalle ... vor der Einwirkung der Luft, des Wassers,",,,,,
"",,,,,,,"des Feuers zu schützen, ...",,,,,
"",,,,,,,Beschreibung der neuen Erfindung vertiges Tuch und Wolle mit solche Materialien zu-zurichten im,"Lagerung/Schnittware,",,,,
650,Tuernowsky,Joseph,,,,,,,Wien,,1824,21.07.1824
"",,,,,,,stande bin,Schnittware/Lagerung,,,,
651,Pruckner,Anton,Zwerger,Michael,,,Kurze Geschichte der Erfindung der Noten-Setzmaschine,Notensetzmaschine,Wien,,1825,17.10.1825
"",,,,,,,,"Schnittware/Lagerung,",,,,
652,Egger,Jakob,Tottis,Abraham,,,Beschreibung der neu Verbesserung in aller Gattungen Manifacteur Waaren,,Wien,,1825,30.12.1825
"",,,,,,,,Lagerung/Schnittware,,,,
"",,,,,,,"Darstellung und Erklärung der Vorzüge der neu erfundenen Oehlmühle von Eisen, über die bisher",,St. Martin b.,,,
653,Marx,Peter,,,,,,Oehlmühle,,,1826,28.02.1826
"",,,,,,,"gebräuchlichen Oelmaschinerien, als Stampfen, Steine, und Walzen",,Trier,,,
"",,,,,,,... a obtenu un Privilegè pour une masse propre à monter toutes espreces d'ornamentes pour,,,,,
654,Desfossè,Aimable,,,,,,Stukkatur,Wien,,1826,31.05.1826
"",,,,,,,"servir à la Decoration des appartements, ... [Wohnungschmuck]",,,,,
655,Mazzara,Luigi,,,,,"Beschreibung einer neuen Verfahrungsart, erfunden zur Verfertigung des Gases ...",Leuchtgas,Wien,,1827,08.03.1827
"",,,,,,,Descrizione e pratica che usa ... per ridurre ... le pelle di capre e di pecore in marrochini d'ogni,,,,,
656,Viande,Francesco,,,,,,"Maroquin, Gerberei",Milano,,1821,02.08.1821
"",,,,,,,"colori, ...",,,,,
657,Tettamanzi,Francesco,,,,,Descrizione di un'applicazione di alcuni miglioramenti fatti sul molino da seta [Seidenmühle],Zwirnmaschine,Milano,,1821,16.07.1821
