PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,Erklärung über das Privilegiums-Gesuch auf Verbesserung der Karden-Kratz-Maschinen für,"Baumwolle, Schafwolle, Seide, Flachs,",,,
2591,Reitze,Alois,,,,,,,Wr. Neustadt,1838,08.06.1838
"",,,,,,,"Baumwolle-, Schafwoll-, Seiden-, Flachs- und Hanfspinnerey, ...","Hanf, Krempeln",,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß mittelst einer ... Maschiene runde Absatznägel (Stifteln",,,,
2592,Fruehauf,Georg,,,,,,"Schuhabsatz, Stiefelabsatz, Schuhnagel",Wien,1832,08.08.1832
"",,,,,,,"genannt) von Eisendraht verfertiget werden, ...",,,,
"",,,,,,,"Die Vortheile dieser Dreschmaschine, daß sie eine elastische Tenne besitzt, das Abreissen der",,,,
2593,Biswanger,Franz,,,,,"Getreideähren beseitiget, und dieselben vollkommen ausdreschet, das Stroh in ganzen Zustande",Dreschmaschine,Wien,1837,07.07.1837
"",,,,,,,"aus derselben hervorgeht, und einen kleinen Raum einnimt",,,,
2594,Schuster,Johann Georg,,,,,Beschreibung meiner neu erfundenen Schlingmaschine,"Klöppelmaschine, Docht",Wien,1830,01.05.1830
"",,,,,,,Neue Erfindung ... betreffend die Verbesserung der Bein-Messing- und Eisen-Schneidwerkzeuge,"Horn, Eisen, Messing, Hobeleisen,",,,
2595,Gruber,Anton,,,,,,,Wien,1837,12.07.1837
"",,,,,,,mit besonderer Rüksichtnahme auf die Hobeleisen,"Schneidewerkzeug, Stahl, Härten",,,
"",,,,,,,Beschreinung und Modell-Zeichnung auf die Verbesserung der Erfindung einer Webe-Maschine,,,,
2596,Sottil,Karl,Sottil,Michael,,,,Webstuhl,Wien,1838,24.08.1838
"",,,,,,,zur Erzeugung eines jeden beliebigen Fabricats mit einem einzigen Tritt,,,,
"",,,,,,,,"Hut/Wasserdichter,",,,
2597,Lorch,Peter,,,,,"Beschreibung der Verbesserung der Filzhüte, des priv. Seidenhutmacher Peter Lorch","Imprägnierung/Filz, Färben/Hut,",Brünn,1835,24.06.1835
"",,,,,,,,Schwarz,,,
"",,,,,,,"Beschreibung der ... Erfindung einer Verbesserung der Zigarrenluntenrörchen, deren besondere",,,,
2598,Contriner,Joseph,Contriner,Leopold,,,"Vortheile darin bestehen, daß die zum Anzünden der Zigarren erforderlichen Bestandtheile an",Feuerzeug,Wien,1839,14.05.1839
"",,,,,,,"diesem Luntenrörchen angebracht sind, ...",,,,
"",,,,,,,"Beschreibung der erfundenen Hackstöke, zum Holzzerkleinern, Fleisch ausschrotten - dann Prell",,,,
"",,,,Johann,,,,"Hackstock, Amboßstock,",,,
2599,Hutter,Franz,Kugel,,,,"und Schabeten oder Amboßstäke - für Buchbinder, Goldschläger - Gold - und Silberarbeiter,",,Wien,1839,03.06.1839
"",,,,Nepomuk,,,,Federung/Hackstock,,,
"",,,,,,,"Schmide, Schlosser und Klampferer",,,,
2600,Ochse,P.M.,,,,,Beschreibung meiner Verbesserung und resp.Erfindung [bei den Sonnen- und Regenschirmen],"Sonnenschirm, Regenschirm",Wien,1839,22.06.1839
"",,Johann,,,,,,,,,
2601,Witasek,,,,,,"Beschreibung ... seiner neuen Erfindung und Verbesserung gumyelastischer Waschhosenträger, ...","Gummiband, Bandstuhl, Hosenträger",Wien,1839,11.06.1839
"",,Hieronymus,,,,,,,,,
2602,Gaensbauer,Joseph Heinrich,,,,,"Beschreibung der doppelten Sperre oder Schließen zu Bracelets, Colliers, Ketten und Perlschließen","Armband, Schließe",Wien,1840,10.01.1840
"",,,,,,,Descrizione della nuova macchina motrice cui danno impulso i fluidi combinati Elettrico-,,,,
2603,Schoberlechner,Francesco,Schoberlechner,Giorgio,,,"magnetico, e da sostituirsi con vantaggio alle quà conosciute macchine a vapore tanto per la","Elektromagnet, Batterie",Milano,1838,28.02.1838
"",,,,,,,navigazione che per le manifatture ... [elektro-magnetische Maschine für Schiffahrt und Fabriken],,,,
"",,,,,,,"Beschreibung ... auf die Erfindung ...: Damen- und Männer-Sigelringe von Gold, Silber oder einem",,,,
"",,,,,,,"anderen Metall mit leichter Mühe so zu verfertigen, daß solche, ohne erst selbe graviren lassen zu",,,,
2604,Muellner,Alois,,,,,,"Siegelring, Ohrringe, Armband",Wien,1838,27.02.1838
"",,,,,,,"müssen, nach beliebter Form ... Wappen, Namensbuchstaben oder anderen Figuren ... auf die",,,,
"",,,,,,,"feinste Art versehn zu müssen, ...",,,,
"",,,,,,,,"Aufbereitung, Schlämmapparat,",,,
2605,Hofmann,Philipp,,,,,Beschreibung der neuerfundenen Aufbereitungsmaschine unter dem Namen Hydraulisches Sieb,,Stanislawow,1833,14.04.1833
"",,,,,,,,Siebwerk,,,
2606,Schnaus,Mathias,,,,,"Verbesserung eines sehr leichten zweisitzigen Schwimm-Wagen, ...",Wagen,Wien,1835,23.06.1835
"",,,,,,,Beschreibung der von der Oesterr. Gesellschaft zur Beleuchtung mit Gas gemachten neuen,,,,
2607,Reger,Karl Alois,Wenger,Fridolin,,,"Erfindung, das von so benannte ""vegetabilisch-mineralische Bitumen/Bitumen vegeto-minerale/","Bitumen, Pflaserstein, Rohr",Wien,1838,25.05.1838
"",,,,,,,"zur Straßenpflasterung, und Erzeugung von Röhren zu verwenden",,,,
"",,,,,,,Beschreibung der von uns erfundenen Farbenreibmaschine. Beschreibung einer neuen,,,,
2608,Pulzer,Aaron,Pulzer,Hermann,,,"Vorrichtung und Methode, die Farben in die Blasen einzufüllen, selbe zu verbinden und zu","Farbmühle, Blasenverschluß",Czaslau,1838,22.05.1838
"",,,,,,,verstopfen,,,,
