PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,,,"Kahr, Kreis",,
4134,Hochberger,Johann,,,,,"Beschreibung der ... Verbesserung der Abdampföfen bei Vitriol- und Alaunwerken, ...","Vitriol, Alaun, Verdampfapparat","Elbogen,",1843,13.07.1843
"",,,,,,,,,Böhmen,,
"",,,,,,,Beschreibung der ... Erfindung ...: Eine neue Vorrichtung [Einmaischapparat] in Branntwein-,,,,
4135,Kratochwill,Julius,,,,,,"Kartoffel, Einmaischapparat",Teschen,1843,07.06.1843
"",,,,,,,Brennereyen ...,,,,
"",,,,,,,,"Hochofen, Braunkohle, Feuerung,",,,
4136,Schulze,Wilhelm,,,,,Beschreibung von Verbesserungen in der Eisenfabrikation,,Wien,1844,13.06.1844
"",,,,,,,,"Eisenstein, Ziegel",,,
"",,,,,,,Zeichnung einer gußeisernen Büchse zur Verwendung von Oel zur Verringerung der Friction oder,,,,
4137,Zimpel,CH.F.,,,,,,"Eisenbahnwagen, Schmierbüchse",Wien,1844,14.06.1844
"",,,,,,,Reibung bei Achsen an Eisenbahn Wagen,,,,
"",,,,,,,"Beschreibung der Metallverhältnisse und Schmelzprozesses zur Erzielung eines Friktions Metalles,",,,,
4138,Zimpel,CH.F.,,,,,"welches an andere Metalle, vorzugsweise Messing angegossen werden kann, und dann die","Legierung, Lagermetall",Wien,1844,17.06.1844
"",,,,,,,Reibung bedeutend verringert,,,,
4139,Knaffl - Lenz,Rudolph,,,,,Beschreibung der ... erfundenen Pedal- oder Mutations Guitarre,Gitarre,Wien,1844,05.08.1844
"",,,,,,,Beschreibung der neuen Erfindung: Alle mit geschärften Farben bedruckten Stoffe derart zu,,,,
4140,Hirschler,Joseph,,,,,,"Zeugdruck, Farbe, Neutralisieren",Wien,1845,24.07.1845
"",,,,,,,"neutralisiren, daß die Farben keinen schädlichen Einfluß mehr auf das Gewebe üben können, ...",,,,
"",,,,,,,Das anzuwendende Mittel gegen Bildung des Kesselsteins besteht in (nicht-rectificirten) gemeinen,,,,
4141,Krause,Friedrich,Stopsl,Paul,,,,"Holzessig, Kesselsteinmittel",Wien,1845,26.06.1845
"",,,,,,,"Holzessig, ...",,,,
4142,Trentsensky,Mathias,,,,,Beschreibung der ... erfundenen lithographischen Hebel Schnell[druck]bresse,"Lithographie, Schnelldruckpresse",Wien,1845,08.05.1845
4143,Trentsensky,Mathias,,,,,Beschreibung der ... erfundenen lithographischen Cylinder Schnellpresse,"Lithographie, Schnelldruckpresse",Wien,1845,08.05.1845
4144,Thornton,Karl,,,,,Beschreibung des ... Dampfkoch-Apparates ...,Kochapparat,Wien,1845,09.05.1845
"",,,,,,,"... Privilegium auf die Erzeugung electrochemischer Mollecular Produkte, ..., daß er mit Metallen in",,,,
4145,Reise,Adolph,,,,,Metalloxiden alle ... Gallanterie- und andere Gegenstände ... auf electro chemischem Wege,"Galvanoplastik, Galanterie",Wien,1845,12.06.1845
"",,,,,,,"überzieht, ...",,,,
"",,,,,,,"Beschreibung der ... Verbesserung ...: Ein Metal zu bereiten, welches ... an Schönheit ... dem Fein-",,,,
4146,Datler,Karl,,,,,,"Legierung, Lack, Vergolden",Wien,1845,24.04.1845
"",,,,,,,"Silber gleicht, woraus Verzierungen ... erzeugt werden können",,,,
4147,Glanz,Johann,Schwerdtner,Johann,,,"Beschreibung der mechanischen Seidenfillir- und Spinnmaschine, ...","Seidenhaspel, Spinnmaschine",Wien,1845,29.10.1845
4148,Sirtaine,Mathieu,,,,,"Beschreibung der Erfindung und resp. Verbesserung einer Schafwoll Spinnmaschine, ...","Schafwolle, Spinnmaschine",Wien,1841,27.08.1841
4149,Bierstinger,Jakob,,,,,Beschreibung der ... Erfindung eines Controll Wagens zur Verführung von Brennholz,"Wagen, Brennholz, Transport",Wien,1845,02.09.1845
"",,,,,,,"Beschreibung der --- Erfindung, ..., anstatt der an den Männer-Hals-Cravaten bisher zum",,,,
4150,Barbulowitz,Johann D.,,,,,"Festmachen derselben angebrachte Schnalle, in der Cravate selbst eine elastische Feder",Krawatte,Wien,1845,08.10.1845
"",,,,,,,"anzubringen, wodurch sich die Cravate ganz ... schmiegsam um den Hals legt, ...",,,,
4151,Crouy,Heinrich Graf v.,,,,,Beschreibung ... über die ... Verbesserung in der Anwendung des Gas-Lichtes,"Gasbrenner, Lampe",Wien,1844,10.10.1844
"",,,,,,,"Beschreibung der Bereitung des neu erfundenen Gaslichtes, und der dazu erforderlichen",,,,
4152,Langer,Johann Stephan,Walk,Mathias,,,,"Lampe, Vergaser",Wien,1845,30.12.1845
"",,,,,,,"Leuchtgefäße, ...",,,,
"",,,,,,,Beschreibung einer neuen Erfindung ...: auf Schub- und Mühlstühlen alle Gattung Wagenborten,,,,
4153,Kasperkowitz,Karl,,,,,,"Borte, Bandstuhl",Wien,1842,20.08.1842
"",,,,,,,und alle Gattungen erhobener Schnüre und Bänder zu verfertigen,,,,
"",,,,,,,Beschreibung und Zeichnung zu der den Gebrueder Lauckner nachgesuchten k.k.priv. Erfindung,,,,
4154,Lauckner,Robert,,,,,,"Streichgarn, Spinnmaschine",Wien,1844,06.08.1844
"",,,,,,,"auf eine Cilinder Streich Garn Fein-Spinnmaschine, ...",,,,
