PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung der Erfindung, Zimmer - Möbel- und alle zu Leder-Galanterie-Waaren oder anderen",,,,,
"",,,,,,,,,"Möbel, Galanterie, Pressen, Vergolden,",,,,
4042,Pruetzmann,Daniel,,,,,,"Luxusartikeln verwendbare Gegenstande aus Leder, Sammt, Seide und jeden dehnbaren",,Wien,,1845,05.04.1845
"",,,,,,,,,Versilbern,,,,
"",,,,,,,,Materialien mittelst eigener Stanzen erhaben zu presen ... zu vergolden oder zu versilbern ...,,,,,
4043,Claus,Franz Carl,,,,,,Beschreibung der atmosphärischen Maschine,Luftmotor,Wien,,1845,06.03.1845
"",,,,,,,,Beschreibung der ... Erfindung ...: Nach einem neuen Verfahren unter der Hemmungs,,,,,
4044,Martin,Republicain,,,,,,,"Gewehrschloß, Pistolenschloß",Paris,,1841,25.04.1841
"",,,,,,,,"Kapselträger, Percussions Gewehre und Pistolen zu verfertigen ...",,,,,
"",,,,,,,,Beschreibung gewisser Verbesserungen in der Gas fabrikation und in den anzuwendenden,,,,,
4045,Dixon,Abraham,,,,,,,"Leuchtgas, Gasbeleuchtung",Wien,,1841,14.04.1841
"",,,,,,,,Apparaten zur Consumation des Gases ...,,,,,
"",,,,,,,,Beschreibung und Zeichnung der sogenannten natürlichen Motoren mittelst deren man Schiffe,,,,,
4046,Garthe,Kaspar,,,,,,,"Schiffsantrieb, Getriebe",Köln,,1841,20.04.1841
"",,,,,,,,jeder Art ... zu bewegen vermag,,,,,
"",,,,,,,,"Beschreibung über die Erfindung, welche in einer Mechanik, ""Ausschneiderin"" genannt, besteht,",,,,,
4047,Barthé,Anton,Eymé,August,,,,,"Schal, Tuchschere",Wien,,1835,27.04.1835
"",,,,,,,,um die broschierten Shawls und andere Gewirke auszuschneiden,,,,,
4048,Hassa,Anton,,,,,,Beschreibung der Bereitung der Webestoffe zu verschiedenen Gebrauche besonders der Bücher ...,"Buchbinderei, Leinwand",Wien,,1840,09.05.1840
"",,,,,,,,... Erfindung ganz Neuhe Wasserdichte Feuerlöscheimer aus gewebten Schpachadstofe nach,,,,,
4049,Kohl,August,,,,,,,"Wasserdichter Stoff, Feuerlöscheimer",Wien,,1845,03.05.1845
"",,,,,,,,inhald dieser Beschreibung zu Erzeugen ...,,,,,
4050,Prick,Vinzenz,,,,,,Beschreibung des Bier-Kühl-Apparates,"Bier, Kühlapparat",Wien,,1845,01.04.1845
4051,Suettinger,Friedrich,,,,,,Beschreibung der Caffeemaschine,Kaffeemaschine,Wien,,1844,02.11.1844
"",,Jakob Franz,,,,,,"Beschreibung der neuen Entdeckung und Verbesserung eines neuen Verfahrens, künstlichen",,,,,
4052,Hemberger,,,,,,,,"Kunststein, Kunstedelstein",Wien,,1841,22.03.1841
"",,Heinrich,,,,,,"Marmor, Granit, Agate, Jaspise, Onixe, Lapis-Lazuli, und Porphyr ... zu fabriziren",,,,,
"",,Jakob Franz,,,,,,,,,,,
4053,Hemberger,,,,,,,"Apparat, Gas-Regulator genannt, ...",Gasregulator,Wien,,1841,22.03.1841
"",,Heinrich,,,,,,,,,,,
"",,Jakob Franz,,,,,,"Rotative-Maschinen, welche mittelst Dampf oder anderer elastischer Gase in Thätigkeit gesetzt",,,,,
4054,Hemberger,,,,,,,,"Dampfmaschine, Verbrennungsmotor",Wien,,1841,22.03.1841
"",,Heinrich,,,,,,"wird, ...",,,,,
4055,Caccia,E. Graf,,,,,,"Beschreibung der Fabrikation des flüssigen Wasserstoffs, Erleuchtungs Brennstoff",Leuchtstoff,Wien,,1843,22.02.1843
"",,,,,,,,"Beschreibung der Erfindung einer Vorrichtung an der, ... Streichgarn Vorspinn Crempel zur Stellung",,,,,
4057,Pflieger,Ernst,,,,,,,"Streichgarn, Vorbereitungsmaschine",Bielitz,,1844,17.04.1844
"",,,,,,,,des Peingneuers nach den Wollsorten,,,,,
4058,Kremling,Martin,,,,,,"Genaue Beschreibung der Verbesserung an den grünen wie auch an den blauen Kupfersorten, ...","Bergblau, Berggrün",Wien,,1844,19.03.1844
4059,Ansiaux,J.L,Dewalle,Gebrueder,,,,Beschreibung der Flinte zu vier Schuß,Gewehr,Wien,,1844,08.03.1844
"",,,,,,,,Beschreibung des ... neu entdeckten weiß Färben vermittelst einer eigenen Vorrichtung u.,,,,,
4060,Schicker,Joseph,,,,,,"Verfahrens, daß es nicht allein dem Lyoner Weiß gleichkomme, sondern die Seide in dieser Farbe","Seide, Färben/Seide, Weiß",Wien,,1844,11.05.1844
"",,,,,,,,an Reinheit u. Schönheit die französische übertrifft,,,,,
"",,,,,,,,"Beschreibung der ... Massa zur Bestreichung der inneren Räume der Rauchfänge an jenen Stellen,",,,,,
4061,Borowetz,August,,,,,,,"Rauchfang, Feuerschutz, Ausbrennen",Tschechen,,1845,06.01.1845
"",,,,,,,,"wo sich der Ruß ansetzt, wodurch jeder Feuerausbruch aus dem Rauchfange vermieden wird",,,,,
4062,Mella,Karl,,,,,,Beschreibung eines neuen verbesserten Verfahrens in der Fabrikation elastischer Möbel,Stahlrohrmöbel,Wien,,1845,23.09.1845
"",,,,,,,,"Beschreibung der Construction der Hufbeschläge ohne Näge, Schrauben und Hacken, genannt",,,,,
4063,Pauli,Coelestin,,,,,,,Hufeisen,Wien,,1840,19.09.1840
"",,,,,,,,Hipposandale,,,,,
4064,Weinlich,Franz,,,,,,Beschreibung einer Halsbinde,Schal,Wien,,1845,01.09.1845
"",,,,,,,,"Beschreibung und Zeichnung einer neu erfundenen rotierenden Maschine, welche sich als Moteur",,,,,
4065,Busse,Thomas,Specker,David,Kunz,J.,,,"Dampfmaschine, Pumpe, Drehkolben",Wien,,1844,14.12.1844
"",,,,,,,,"für Wasser und Dampfkraft, so wie auch als Pumpe und Transmissionsmaschine benützen läßt",,,,,
4066,Busse,Thomas,Specker,David,Kunz,J.,,Beschreibung der selbstwirkenden Auskehr- oder Wechselschiene für Eisenbahnen,"Weiche/Automatische, Geleise",Wien,,1844,25.11.1844
"",,,,,,Friedrich,,"Beschreibung und Zeichnung einer neuen Erfindung von Räder aus Holz und Eisen für Locomotive,","Lokomotive, Tender, Eisenbahnwagen,",,,,
4067,Busse,Thomas,Chillingworth,Joseph Palfrey,Fischl,,,,,Wien,,1844,02.11.1844
"",,,,,,Wilhelm,,Tender und Wagons auf Eisenbahnen,Wagenrad,,,,
"",,,,,,,,,"Hut, Wasserdichter,",,,,
4068,Boldrini,Pietro,,,,,,"Beschreibung der ... Verbesserung ... der Holz-, Bast- und Stroh-Hutmanufactur",,Wien,,1838,14.05.1838
"",,,,,,,,,Imprägnierung/Hut,,,,
4069,Ganahl,Joseph v.,Rhomberg,,,,,Beschreibung einer Spuhlmaschine für Schützenspühlchen,"Spulmaschine, Schützenspüle",Innsbruck,,1841,05.04.1841
4070,Ganahl,Joseph v.,Rhomberg,,,,,Beschreibung der ... Drahtstiftmaschine ...,Nagel,Innsbruck,,1841,05.04.1841
"",,,,,,,,Beschreibung der Erfindung verschiedener Verbesserungen in der Zusammensetzung metallener,,,,,
4071,Fairbairn,William,,,,,,,"Metallplatte, Niethammer",Wien,,1840,17.09.1840
"",,,,,,,,Platten zur Herstellung von Dampfkesseln und zu andern Zwecken,,,,,
"",,,,,,,,Beschreibung der von Herrn Thomas Wickham gemachten Erfindung einer mechanischen,,,,,
4072,Rifault,Prosper Joseph,Wickham,Thomas,,,,"Dampfvorrichtung zur Aufführung von Erdwällen und Erdarbeiten, auf welche Prosper Joseph","Erdbau, Damm, Bagger",Wien,,1841,24.03.1841
"",,,,,,,,"Rifault, ein Privilegium ansucht",,,,,
"",,,,,,,,"Beschreibung der v.H. August Boutan zu Paris erfundenen Maschine zum Aufhacken der Erde,",,,,,
4073,Boutan,August,Rifault,Joseph,,,,"Graben der Kanäle und zu Erdarbeiten, auf welche Prosper Joseph Rifault ... ein Privilegium ...","Erdbau, Bagger",Wien,,1841,24.03.1841
"",,,,,,,,ansucht,,,,,
