PrivRegNr,,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Privilegium auf die Erfindung einer Vorrichtung an der hydraulischen Presse, vermittelst welcher",,,,,
"",,,,,,,,"Heu und auch andere Gegenstände auf ein sehr kleines Volumen zusammengepreßt werden, u.",,,,,
3909,Dub,,Ignaz,,,,,,"Heupresse, Strohpresse",Wien,,1842,07.09.1842
"",,,,,,,,"zwar so, daß selbe im fest zusammengebundenen Zustande die Presse verlassen, worauf der",,,,,
"",,,,,,,,wohlfeile Transport solcher Gegenstände auch auf größere Distanzen möglich wird,,,,,
"",,,,,,,,"Beschreibung der Erfindung, daß durch eine einfache Konstruktion des Kraft-Tuchwebstuhls",,,,,
3910,Bracegirdle,,Thomas,Schoeller,Gebrueder,,,/:Powerloom:/ eine leichtere Handhabung der Maschine und zugleich ein schöneres Produkt,Webstuhl,Brünn,,1843,18.10.1843
"",,,,,,,,erzielt wird,,,,,
3911,Meill,,Franz,Schreiber,Johann,,,"Beschreibung der Erfindung der so benannten Etui-Chanier-Rasiermesser, ...",Rasiermesser,Wien,,1844,29.10.1844
"",,,,,,,,"Beschreibung der Erfindung durch Zusammengebung mehrer Kräuter eine Art Wolle, unter dem",,,,,
"",,,,,,,,,"Nadel (Baum), Quendel, Wermuth,",,,,
3912,Schwadisch,,Joseph jun.,,,,,"Namen ""Böhmische Kräuterwolle"", um durch diese wieder mit Beimischung von Baumwolle und",,Wien,,1842,20.06.1842
"",,,,,,,,,"Mühle, Kräuterwolle, Watte",,,,
"",,,,,,,,"durch Abfall, eine neue Art Wattierung, unter der Benennung ""Gesundheitswatta"" zu erzeugen",,,,,
"",,,,,,,,Beschreibung und sechs Zeichnungen einer neuen Erfindung und Verbesserung eines ganz neuen,,,,,
