PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,,,,Polnisch,,
5450,Mandl,Michael,,,,,"Beschreibung neuer Wein sparender und verbessernder Spunde oder Balle, ...",Faßspund,,Nettkow in,1847,01.05.1847
"",,,,,,,,,,Preuß.Schlesien,,
"",,,,,,,Beschreibung der ... Verbesserung in der Construction der Spinnmaschine und des Spinnprocesses,,,,,
5451,Tschoffer,Moritz,Reitze,Alois,,,,"Baumwolle, Flachs, Spinnmaschine",,Wien,1843,30.03.1843
"",,,,,,,"selbst für Baumwoll- & Flachs Spinnereien, ...",,,,,
5452,Kraeckwitz,Karl,Themor,Johann Friedrich,,,Beschreibung des dargestellten Eisenbahnwagen-Gestelles mit beweglichen Axen,"Eisenbahnwagen, Drehgestell",,Wien,1845,06.03.1845
"",,,,,,,,"Dampfkessel, Feuerung,",,,,
5453,Loosey,Karl F.,,,,,Verbesserungen in der Erzeugung und Anwendung von Hitze für alle Arten von Feuerungen,,,Wien,1849,24.02.1849
"",,,,,,,,Rauchverzehrung,,,,
"",,,,,,,Verbesserungen an Oefen oder Herden zur Erzeugung oder Darstellung von Speisen oder,,,,,
5454,Loosey,Karl F.,,,,,,"Kochherd, Pyrometer",,Wien,1849,24.02.1849
"",,,,,,,Esswaaren,,,,,
"",,,,,,,Beschreibung der dem Unterzeichneten gelungenen Verbesserung der Galvano-electrischen,"Halskette, Elektrotherapeutsiche,",,,,
5455,Bitterlich,Karl Heinrich,,,,,,,,Königgratz,1849,04.04.1849
"",,,,,,,Rhematismus-Kette,Elektrotherapie,,,,
5456,Heindoerffer,Friedrich,,,,,Beschreibung eines Feuerrostes für Dampfmaschinen jeder Art ...,Feuerrost,,Wien,1850,01.10.1850
"",,,,,,,"Beschreibung der ... Verbesserung, ...: daß man aus Kaffeemaschinen mit vereinigtem",,,,,
5457,Dorschel,Friedrich,,,,,,Kaffeemaschine,,Wien,1851,26.05.1851
"",,,,,,,"Milchapparat, ..., beliebig Milch und Kaffee fließen lassen kann",,,,,
5458,Mery,Carlo Domenico,,,,,Descrizione: L'acqua viene sollevata mediante una o piu trombe a valvola volante [Pumpe],Pumpe,,Benkovaz,1850,03.03.1850
"",,,,,,,Beschreibung der Erfindung ... wonach das Pigment des Orseille Krautes als violette Farbe für,,,,,
5459,Eder,Karl,,,,,Maschinen- und Handdruck auf aus verschiedenartigen Fäden gemischten Geweben fixirt werden,"Orseille, Violett, Zeugdruck",,Wien,1850,04.10.1850
"",,,,,,,kann,,,,,
"",,,,,,,"Plan und Beschreibung der von Charles George Hopwood aus Capieure, Gemeinde von Boulogne",,,,,
5460,Hopwood,Charles George,,,,,"am Meere im Königreiche Frankreich, gemachten neuen Erfindung beim Bleichen mit Dampf [Text",Bleichen,,Wien,1840,20.04.1840
"",,,,,,,frz.],,,,,
"",,,,,,,Erfindung und Konstruktion eines ganz neuen Webstuhles zur Erzeugung aller Arten von,,,,,
5461,Kohn,Tobias,,,,,,"Posamentierwaren, Bandstuhl",,Prag,1846,19.05.1846
"",,,,,,,Posamentirarbeiten,,,,,
5462,Lampato,Paolo,,,,,Nuova Stereotipia da eseguirsi a mezzo di nuovi Caratteri-Madri ... [Stereotypie],Stereotypie,,Milano,1846,29.04.1846
5463,Lampato,Paolo,,,,,... un nuovo sistema di Stereotipia mobile ... [Stereotypie],Stereotypie,,Milano,1846,29.04.1846
5464,Lampato,Paolo,,,,,Descrizione del modo di fabbricare i nuovi Caratterimadri Stereotypi ... [Stereotypie],Stereotypie,,Milano,1846,29.04.1846
"",Fontaine -,,,,,,Beschreibung und Zeichnung einer neuen Erfindung resp. Verbesserung in der Auspolsterung der,,,,,
5465,,Peter Armand,,,,,,"Sattel, Kummet, Polsterung",,Wien,1846,30.04.1846
"",Moreau,,,,,,Sattel und anderen Geschirre der Last- und Zugthiere,,,,,
"",Muck -,,,,,,,,,,,
5466,,Joseph v.,,,,,Beschreibung der neu erfundenen Czako Verfertigung und Verbesserung,Tschako,,Prag,1848,24.05.1848
"",Muchenthal,,,,,,,,,,,
5467,Orth,Louis v.,,,,,Specification einer neu erfundenen Schnellmethode für Doppelwebstühle ...,Webstuhl,,Wien,1848,09.06.1848
5468,Melicher,Ludwig Joseph,,,,,Beschreibung der Gehörverstärker (Otokraton),Hörapparat,,Wien,1850,16.05.1850
"",,,,,,,,"Spiralfeder, Polstermöbel,",,,,
