PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,Beschreibung der ... Erfindung zum Theil neuerlichen Verbesserung eines erloschenen Privilegiums,,,,,
2246,Hoer,Karl,,,,,,"...: in einer doppelten u. gesohlten Eisenfahrbahn, auf welcher man mit Maschin-Wägen hin u.","Eisenbahn, Hängebahn, Transport",Wien,,1836,10.04.1836
"",,,,,,,,"herfahren kann, ...",,,,,
"",,,,,,,,"... eine Verbesserung auf Erzeugung von Wachsstöcke, Wachs, Wachsplatirte und Spermacetti","Wachsstock, Walrat,",,,,
2247,Hellmer,Ignaz,,,,,,,,Wien,,1836,10.05.1836
"",,,,,,,,"Kerzen, mittelst der von ihm erfundenen ... Maschine ...",Kerzengießapparate,,,,
"",,,,,,,,Neuer Dampf-Apparat mit gespannten Dämpfen Flüssigkeiten bey einem continuirenden Zufluß,,,,,
2248,Schmid,Anton,,,,,,,Verdampfapparat,Wien,,1836,15.04.1836
"",,,,,,,,abzudämpfen,,,,,
"",,,,,,,,"Die Verbesserung besteht darin, Knöpfe aller Arten ... mit jeden edlen oder unedlen Metalle aller",,,,,
2249,Storm,Franz,,,,,,,"Stoff, Knopf, Presse",Wien,,1836,30.05.1836
"",,,,,,,,Manufacturstoffe ... ohne Nähen durch Maschinen ... durch ... Schnellpresse zu überziehen,,,,,
2250,Rigel,Antonius Pius,,,,,,"Beschreibung des neu erfundenen Dampfmaschin, Antivibral-Flugrads genannt",Dampfturbine,Wien,,1836,22.07.1836
2251,Angeli,Johann Karl v.,,,,,,Beschreibung des neuerfundenen Verfahrens in der Fabrication der Wachskerzen und Wachszüge,"Wachsstock, Kerze",Nürnberg,,1836,16.09.1836
"",,,,,,,,"Beschreibung der ... Verbesserung der Kleidungsstücke bestehend darin, daß er an den",,,,,
"",,,,,,,,,"Kleidung, Schneiderei, Knopfloch,",,,,
2252,Odlicek,Johann,,,,,,"Kleidungsstücken für Köpfe und Knopflöcher, dann Sackecken statt der üblichen Unterlagen",,Wien,,1836,03.10.1836
"",,,,,,,,,Gummiband,,,,
"",,,,,,,,"(Steifleinwand) einen festen elastischen Stoff (Gummiband) anwendet, ...",,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ..., daß der von ihnen zu Stande gebrachte Apparat zur Haus- und",,,,,
2253,Hibler,Ignaz,,Meissner,Ignaz,,,,"Lampe, Laterne, Wagenlaterne",Wien,,1836,19.07.1836
"",,,,,,,,"Kutschen-Beleuchtung, überhaupt für jede Art beweglicher Lampen ... anwendbar ist, ...",,,,,
2254,Schopp,August,,,,,,"Beschreibung der Metallhoboe, und ihrer Bestandtheile",Oboe,Wien,,1836,14.10.1836
"",,,,,,,,"Beschreibung der Verbesserung, daß a) die Brandsohle, Afterleder und Ueberstem aus einem",,,,,
2255,Butula,Franz,,Schramek,Johann,,,"Ledertheile, daher ohne Naht bestehe, b) daß auf solche Art die Füsse weniger dem Drucke","Schuh, Stiefel, Zuschneiden",Wien,,1837,04.02.1837
"",,,,,,,,desselben ausgesetzt sind,,,,,
"",,,,,,,,"... zeigt hiermit gehorsamst an, eine neue Erfindung und Entdeckung eines Claviers in der Form",,,,,
2256,Zsitkowsky,Karl,,,,,,"eines Querklaviers, welches, statt mit Drahtsaiten bespant, durch mechanische innere","Stahlfeder, Metallspiel",Wien,,1837,28.05.1837
"",,,,,,,,Vorrichtungen auf Stahlfedern gespielt wird,,,,,
"",,,,,,,,"Gründliche Beschreibung des gesponnenen Viligran, aus welchem verschiedene Arbeiten",,,,,
"",,,,,,,,"verfertiget werden können, als Florschnallen ... Haarnadelröserl, Vater unser zu Rosenkränzen,",,,,,
2257,Reitsamer,Jakob,,,,,,,"Silber, Messing, Filigran, Drahtgewebe",Wien,,1834,15.12.1834
"",,,,,,,,"Kreuze, verschiedene Einfassungen und dergleichen, und dieses mache ich aus Silber und Dompak",,,,,
"",,,,,,,,...,,,,,
"",,,,,,,,Erklärung der verbesserten Streckmaschine und Eindrucksregulierungsmaschine [beim,"Zeugdruck, Streckmaschine,",,,,
2258,Mayer,Vitus,,,,,,,,Wien,,1837,27.02.1837
"",,,,,,,,Kattundruck],Druckregulierung,,,,
2259,Kassel,Johann,,,,,,Beschreibung der Erfindung einer ganz neuen Schnell-Zündmaschine,Feuerzeug,Wien,,1831,15.10.1831
"",,,,,,,,"Beschreibung der ... Erfindung, ..., daß er MilitairDegen u. Säbel oder Staatsdegen verfertiget, an",,,,,
2260,Jurmann,Karl,,,,,,"welchen der Griff ... nicht wie in den gewöhnlichen aus gewundenen Draht oder Leder, sondern","Degengriff, Säbelgriff",Wien,,1833,24.09.1833
"",,,,,,,,"aus gepreßtem Messing oder Stahl besteht, ...",,,,,
"",,,,,,,,Beschreibung der ... Verfahrungsart bei Anfertigung von plastisch architektonischen,,,,,
"",,,,,,,,"Tafelaufsätzen und resp. Modelle, als Kirchen, Tempel, Paläste und sonstige Monumente,","Papiermachè, Gips, Alabaster,",,,,
2261,Richard,Karl,,,,,,"wodurch der Gefertigte auf leichte Weise alle so Namen führende Paparbeiten, plastischer","Plastische Masse, Modellieren,",Wien,,1837,21.09.1837
"",,,,,,,,"Darstellung, ... anfertiget, ... und überdieß die Mauern mit einer von ihm erfundenen Stoffe, mit",Anstrich,,,,
"",,,,,,,,"Zusatz von Farbe ... überzieht, ...",,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung, ...: Unschlittkerzen mittelst eigends hierzu von ihm verfertigten",,,,,
