PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,Beschreibung und Zeichnung eines Speisungs-Apparates für Dampfkessel mit beständigem,,,,,
3203,Biedermann,H,,Canson,C. de,Lamajorie,J.F. de,,"Dampfkessel, Speisepumpe",Wien,,1841,10.07.1841
"",,,,,,,,"Niveau, und ohne menschliche Hilfe auf das Genaueste funktionirend",,,,,
3204,Zeillinger,Johann Alois,,,,,,Beschreibung des Verfahrens in der von mir erfundenen neuen Methode die Sensen zu härten,"Sense, Härten/Stahl",Eppenstein,,1838,30.06.1838
"",,,,,,,,... Manipulazion bestehend in der neuen Verbesserung aus Rüböhl durch besondere Distilazion,,,,,
3205,Baumgarten,Joachim,,Schwarz,Ignaz,,,,"Rüböl, Raffinade/Rüböl",Wien,,1840,13.07.1840
"",,,,,,,,"reines Brennöhl ... zu verfertigen, ...",,,,,
"",,,,,,,,Beschreibung der neuen Erfindung im Abdrucke des Bildnisses Allerhöchst Sr. Magesteet Kaisers,,,,,
3206,Fuchs,Alexander,,,,,,,"Golddruck, Silberdruck, Zeugdruck",Smichow,,1835,24.08.1835
"",,,,,,,,Ferdinand I,,,,,
3207,Tomazolli,Joseph M.v.,,,,,,Beschreibung meines neuerfundenen zwei- oder vierräderigen Fuhrwerks,"Wagen, Getriebe",Triest,,1841,12.07.1841
3208,Manker,Anton,,,,,,Beschreibung der ... verbesserten Hosen-Strupfen-Schließen,"Hosenstrupfe, Schließe",Wien,,1842,07.07.1842
"",,,,,,,,Beschreibung über die von der Wien-Triester-Schnell-Frachtfuhr-Gesellschaft zu Wien ... gemachte,,,,,
3209,Dreyfus,Ludwig Eduard,,,,,,"neue Entdeckung und Verbesserung an den Frachtfuhrwägen, welche in der Wesenheit in einem",Wagen,Wien,,1842,06.06.1842
"",,,,,,,,"Güter-Doppelt-Braman-Wagen ... bestehet, ...",,,,,
3210,Halbedel,David,,,,,,Beschreibung der ... Erfindung von selbst beweglichen Lichtschirmen,Leuchter,Wien,,1842,18.06.1842
"",,,,,,,,Beschreibung der ... Erfindung sogenannter Anzeigetafeln ... für alle Arten öffentlicher,,,,,
3211,Sammer,Joachim,,,,,,,Plakatierungstafel,Wien,,1840,14.07.1840
"",,,,,,,,Ankündigungen und Anzeigen ...,,,,,
3212,Dallinger,Joseph,,,,,,Beschreibung der Verfertigung der ... matten Uhrblätter,"Silber, Mattieren, Zifferblatt",Wien,,1839,01.02.1839
3213,Hellmer,Ignaz,,Pallfy,Ferdinand Graf,Marquardt,Friedrich,Dampfboote aus Eisen- oder einem anderen Metallblech,"Schiffbau, Dampfkessel",Wien,,1838,
"",,,,,,,,Beschreibung eines Apparates um fertiges Leder im unverarbeiteten so wie im verarbeiteten,,,,,
3214,Wedelis,Anton Salomon,,,,,,Zustande zu Riemenzeug ... durch Reiben mit diesem Apparate eine Appretur und Glanz in,"Leder, Appretur, Färben/Leder",Wien,,1842,04.07.1842
"",,,,,,,,"verschiedenen gewöhnlichen Farben zu ertheilen, ohne Bürsten zu gebrauchen",,,,,
3215,Traversi,Giovanni Battista,,,,,,Descrizione indirata nell'Istanza [Stempel],Stempel,Wien,,1841,15.07.1841
"",,,,,,,,"Zeichnung und Beschreibung der Erfindung ... in Vorrichtungen bestehend, mit welchen in",,,,,
3216,Busse,Friedrich,,Kirchweger,Heinrich,,,Lokomotiven auch gering schlackehaltige Coke mit großem Effekt u. sehr vorteilhaft gebrannt,"Feuerung, Lokomotive, Koks",Leipzig,,1840,01.11.1840
"",,,,,,,,werden können,,,,,
"",,,,,,,,... die Vorrichtung bestehe im Wesentlichen darin: daß in Lokomotiven auch geringe,,,,,
"",,,,,,,,schlackenhaltige Coackes ... gebrannt werden können. [Die Verbesserung] bestehe ... darin: daß in,"Feuerung, Lokomotive, Dampfkessel,",,,,
3217,Busse,Friedrich,,Kirchweger,Heinrich,,,,,Wien,,1841,31.03.1841
"",,,,,,,,"Locomotiven, Dampfschiff-Dampfkessel und überhaupt bey Feuerungen aller Art auch geringe",Koks,,,,
"",,,,,,,,"schlackenhaltige Coaks ... gebrannt werden können, ...",,,,,
"",,,,,,,,"Erklärung der beiliegenden Zeichnung, welche zugleich die mögliche Beschreibung des",,,,,
3218,Haumann,Christian,,,,,,,"Polstermöbel, Sessel",Wien,,1840,08.08.1840
"",,,,,,,,"Gegenstandes der Erfindung, nehmlich der elastischen Meublen enthält, ...",,,,,
"",,,,,,,,"Descrizione della nuova invenzione, che ... consiste in una Coppa, o Cattino ovale di vetro ...",,,,,
3219,Gobatto,Vincenzo,,,,,,,Waagschale,Padova,,1835,02.04.1835
"",,,,,,,,[Gläserne Waagschale],,,,,
"",,,,,Michael,,,,,,,,
3220,Teller,Joseph,,Teller,,,,Beschreibung der Verbesserungen in der Rübs- und Leinöhlfabrikation,"Rüböl, Leinöl",Prag,,1837,15.06.1837
"",,,,,Bermann,,,,,,,,
"",,Jakob Franz,,,,,,Beschreibung der Erfindung und Verbesserung eines neuen Systems der Aufführung feuersicherer,"Decke, Gewölbe, Schließe (Bauwesen),",,,,
3221,Hemberger,,,,,,,,,Wien,,1838,26.05.1838
"",,Heinrich,,,,,,Gebäude und Häuser,Träger,,,,
"",,,,,,,,Descrizione della nuova invenzione che ... consiste nell'applicazione di un nuovo meccanismo alla,,,,,
3222,Zerbi,Alessandro,,,,,,,"Teigwaren, Knetmaschine",Milano,,1838,26.04.1838
"",,,,,,,,fabbricazione delli pasti commessibili ... [Teigwarenmaschine],,,,,
"",,,,,,,,.... zeigt ... an eine neuen Erfindung und Verbesserung ...: Ein Wichslack mittelst welchen man,,,,,
3223,Heidner,Felix,,,,,,,Lederlack,Wien,,1839,14.06.1839
"",,,,,,,,Schuhe und Stiefel ohne Beihilfe der Bürsten ... lackiren kann ...,,,,,
"",,,,,,,,Beschreibung und Erklärung der ... Verbesserung des Schlusses bey elastischen und steifen,"Armband, Schließe, Goldwaren,",,,,
3224,Holzer,Franz,,,,,,,,Wien,,1840,13.06.1840
"",,,,,,,,"Armbändern, dann Perlenschließen von Gold, Silber mit und ohne Juwelen, und aus Brons &&, ...","Silberwaren, Bronzewaren",,,,
"",,,,,,,,"Beschreibung eines neuen Verfahrens zur Uebertragung von Zeichnungen, Natur- und",,,,,
3225,Urling,Roo W.,,,,,,,Photographie,Wien,,1841,18.03.1841
"",,,,,,,,"Kunstgegenständen, auf hierzu besonders zubereitete Metallplatten",,,,,
"",,,,,,,,"Der Corpimeter oder Körpermesser. Eine neue Erfindung, vermöge welcher der Kleidermacher im",,,,,
"",,,,,,,,"Stande ist, durch ein elastische Netz von Stahlfedern den menschlichen Körper in allen seinen","Schneiderei, Maßnehmen,",,,,
3226,Chevard,Peter,,,,,,,,Wien,,1842,20.04.1842
"",,,,,,,,"Verhältnissen zu umspannen, und darnach dann das bestellte Kleigunsstück auf das Genaueste",Zuschneiden,,,,
"",,,,,,,,zuschneiden zu können [Text frz. u .dt.],,,,,
3227,Eisenbeis,Heinrich,,,,,,"Beschreibung der ... Verbesserung der Dekatirmaschine, ...",Dekatiermaschine,Wien,,1842,09.02.1842
3228,Rzebitschek,Franz,,Willenbacher,Alois,,,Genaue Beschreibung der Verbesserung an dem Räderwerke musikalischer Spielmaschinen,"Spielwerk, Getriebe",Prag,,1841,16.06.1841
"",,,,,,,,"Beschreibung der Erfindung: Auf Porzellan Kupfer Abdrucke mit vollster Reinheit herzustellen, und","Porzellan, Kupferstich, Abdruck,",,,,
3229,Martini,Georg,,Schweitzer,Ludwig,,,,,Wien,,1836,20.08.1836
"",,,,,,,,mit allen Farben zu colleriren,Abziehbild,,,,
"",,,,,,,,"Beschreibung der ... Erfindung und Verbesserung eines Wagenbaues, genannt Rokoko, wodurch",,,,,
3230,Schluck,Wendelin,,,,,,"ein und derselbe Wagen auf fünferley Arten verfertigt werden kann: Und zwar 1. das Landoulet, 2.",Wagen,Wien,,1842,08.01.1842
"",,,,,,,,"Coupè, 3. Calesche, 4. Droschke, 5. Faethon",,,,,
