PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,Beschreibung der ... Erfindung und Verbesserung ...: Pumpen mit gußeisernen emaillirten Röhren,,,,,
5179,Reich,Karl,,,,,,,"Pumpe, Brunnen",Wien,,1843,04.09.1843
"",,,,,,,,"zu machen, ...",,,,,
"",,,,,,,,Beschreibung ... auf eine Erfindung ... der zur Herstellung der Pariser künstlichen Blumen,,,,,
5180,Poncelet,F.J.,,,,,,,Kunstblume,Wien,,1841,07.12.1841
"",,,,,,,,vorkommenden Staub- und andern Brillant- und Transparent-Knospen ...,,,,,
"",,,,,,,,Beschreibung der ... zu Jagdrequisiten gemachten Verbesserung an den französischen und,,,,,
5181,Beetz,Friedrich,,,,,,,"Jagdgewehr, Schrotbeutel",Wien,,1842,01.09.1842
"",,,,,,,,"englischen durchsichtigen Schrottladungen, und der eigens hierzu construirten Flaschen",,,,,
5182,Letofsky,Anton,,,,,,"... Zeichnung und Beschreibung des ... neu verbesserten Verwandlungs Ofen, ...",Ofen,Wien,,1844,01.03.1844
"",,,,,,,,,"Leder/Wasserdichtes,",,,,
5183,Riedmann,Franz,,,,,,Beschreibung der Erfindung das Schuhleder durch aufgelösten Gummielastik zu vervollkommnen,,Wien,,1845,06.03.1845
"",,,,,,,,,Imprägnierung/Leder,,,,
"",,,,,,,,Beschreibung der verbesserten Pump Lampen sammt den neu erfundenen Universal Gläsern mit,"Lampe, Vergaser, Lampenzylinder,",,,,
5184,Walk,Mathias,,,,,,,,Wien,,1847,08.02.1847
"",,,,,,,,den Feuersicherheits Deckeln,Laterne,,,,
"",,,,,,,,"Beschreibung und Zeichnung der ... Erfindung, bestehend: In Rauchfang-, Ofen- u. Sparherde-",,,,,
5185,Nicoladoni,Joseph,,,,,,,Rauchfangkehrapparat,Wien,,1847,04.01.1847
"",,,,,,,,"Kehrvorrichtungen, ...",,,,,
5186,Loeser,Heinrich,,Schmid,Franz Edl.v.,,,Beschreibung der neuen Erfindung einer Schriftgießmaschine,Schriftgießmaschine,Wien,,1848,23.03.1848
"",,,,,,,,,,St.Peter bei,,,
5187,Freudenthaler,Franz,,,,,,Beschreibung wie der Hopfen Jahre lang in bester Qualität aufbewahrt werden könne,"Hopfen, Konservierung",Freistadt/Ob.Oe,,1848,07.02.1848
"",,,,,,,,,,st.,,,
5188,Roediger,Friedrich,,,,,,Beschreibung eines neuen Verfahrens beim Färben von Stoffen jeder Art,"Stoff, Färben/Stoff",Wien,,1849,01.03.1849
5189,Kyritz,Friedrich Wilhelm,,Syrrenberg,Heinrich August,,,"Beschreibung der ... Erfindung einer Waschseife, ...",Seife,Wien,,1849,26.02.1849
"",,,,,,,,"Versiegelte Beschreibung der Erfindung, daß sie an jeder Cilinder oder Spindeluhr einen sehr",,,,,
5190,Dreyfus,Moritz,,Dreyfus,Theodor,,,,"Uhr, Datumanzeiger",Wien,,1847,27.10.1847
"",,,,,,,,schönen immerwährenden Datumzeiger anbringen,,,,,
"",,,,,,,,"Descrizione ...: Il Cartone C serve per tener netto il cristallo appanato, e per difendere le dita",,,,,
5191,Berenzi,Bortolo,,,,,,,"Mattglas, Schreibtafel",Wien,,1845,26.03.1845
"",,,,,,,,scrivendo ... [Mattglas als Schreibtafel],,,,,
"",,,,,,,,"Beschreibung der ... Entdeckung und Verbesserung, welche ... in einem neuen System von Stoff-",,,,,
5192,Arnal,Peter Aime,,,,,,,"Zeugdruck, Drucktisch, Siebrahmen",Wien,,1845,27.01.1845
"",,,,,,,,"Drukker-Tischen und Sieb-Rahmen ... besteht, ...",,,,,
5193,Bonfil,Ralph,,Samuda,Joseph D.A.,,,Verbesserungen der atmosphärischen Eisenbahnen,"Druckluftbahn, Rohrleitung",London,,1845,01.02.1845
"",,,,,,,,"Descrizione di due nuovi meccanismi ... per isminuzzare, stritolare e ridurre in faldella ogni sorta di",,,,,
5194,Romanoni,Giuseppe,,,,,,,Farbholzmühle,Milano,,1840,22.02.1840
"",,,,,,,,"legno tintorie, ... [Farbholzmühle]",,,,,
"",,,,,,,,Beschreibung des verbesserten Verfahrens: den Sensen durch eine besondere Zusammensetzung,,,,,
5195,Holzinger,Franz,,,,,,"und Verbindung der Rohstoffe, deren Ausschmiedung, so wie eine durch Feuer erzielte broncirte","Sense, Schmieden",Micheldorf,,1845,18.03.1845
"",,,,,,,,"Färbung, bessere Zähigkeit und Schneide zu verschaffen",,,,,
"",,,,,,,,,,"Neudeck, Kreis",,,
5196,Kleist,Heinrich Baron v.,,,,,,Beschreibung der Verbesserung in der inneren Einrichtung eiserner Heitzöfen,Ofen,,,1845,12.02.1845
"",,,,,,,,,,Elbogen,,,
"",,,,,,,,"Descrizione della nuova invenzione, che ... in sostanza consiste nel migliorare essenzialmente il",,,,,
5197,Sansfermo,Marc' Antonio,,,,,,,"Wasserhebemaschine, Entwässerung",Padova,,1847,17.02.1847
"",,,,,,,,sistema di estrazione delle acque dai fondi bassi ... [Entwässerung],,,,,
"",,,,,,,,"Beschreibung der Erfindung ... bestehend in neuen Verfahrungsarbeiten, welche geeignet sind, die",,,,,
"",,,,,,,,aus der Distillirung der Knochen und anderer animalischer Stoffe herkommend ammoniakalischer,"Ammoniaksalz, Destillierapparat,",,,,
5198,Mallet,A.,,,,,,,,Paris,,1846,13.02.1846
"",,,,,,,,Erzeugnisse aus den ammoniakalischen Flüssigkeiten der Steinkohle und anderer Ammoniaksalze,"Fällung, Ammoniak",,,,
"",,,,,,,,erzeugenden Substanzen zu sammeln und herauszuziehen,,,,,
"",,,,,,,,"Beschreibung der Erfindung der Herren Vachon père fils & Co zu Lyon in Frankreich, bestehend in",,,,,
5199,Vachon,,,,,,,,"Getreide, Samen, Putzmaschine",Wien,,1846,26.03.1846
"",,,,,,,,"neuen Maschinen zum Reinigen aller Arten Getreide und Samenkörnern, ... [Text dt.u.frz.]",,,,,
"",,,,,,,,"Beschreibung der von Herrn Henri Desplas, zu Elbeuf in Frankreich, gemachten Vervollkommnung",,,,,
5200,Desplas,Henry,,,,,,"der Maschine zum Walken des Tuchs und anderer Schafwoll-Stoffe, mit Federdruck oder","Tuch,Schafwollstoff, Walken",Wien,,1846,27.05.1846
"",,,,,,,,elastischem Druck,,,,,
"",,,,,,,,"Beschreibung einer von Georges Panilhac, zu Montauban in Frankreich, erfundenen neuen",,,,,
5201,Panilhac,Georges,,,,,,,Tuchschere,Wien,,1846,09.07.1846
"",,,,,,,,"Tuchschermaschine (genannt ""Tondeuse Panilhac""), ... [Text dt.u.frz.]",,,,,
5202,Bachmann,Wenzel,,Palkh,Joseph,,,"Beschreibung der Erfindung, daß das Cigarre-Rauchen der Gesundheit nicht nachtheilig ist",Zigarrenspitze,Wien,,1850,30.04.1850
5203,Holzknecht,Ignaz,,,,,,Beschreibung eines verbesserten eisernen Maschinenbackofens ...,Backofen,Nikolsburg,,1846,17.02.1846
5204,Petrowitsch,Markus,,,,,,Beschreibung der Erfindung der Wind-Schutzbänder für Männerhüte,"Hut, Sturmband",Wien,,1849,11.07.1849
"",,,,,,,,"Beschreibung der Maschine, mit welcher aus jedem beliebigen rohen Materiale, auf eine bisher",,,,,
5205,Zbierzowsky,Joseph Apolinar,,,,,,"unbekannte schnelle Art, im ununterbrochenem Zuge der Behandlung in beliebig großer Menge","Pottasche, Verdampfapparat",Lemberg,,1845,19.02.1845
"",,,,,,,,Pottasche erzeigt wird,,,,,
"",,,,,,,,Privilegiums-Beschreibung ... betreffend ... Verbesserungen an Eisenbahnwägen und Locomotiven,"Lokomotive, Eisenbahnwagen,",,,,
5206,Loosey,Karl F.,,,,,,,,Wien,,1848,24.05.1848
"",,,,,,,,...,"Kupplung, Bremse, Puffer",,,,
