PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Kohlenmeiler, Verkohlen, Holzkohle,",,,,
"",,,,,,,"Beschreibung eines neuen Systems der Verkohlung auf die Behandlung der Eisenerzgruben, das","Hochofen, Verhüttung, Treibofen,",,,,
2861,Didier,Felix,Droinet,Felix,,,,,Wien,,1835,29.07.1835
"",,,,,,,"Abtreiben, affinage, und das Gießen der Metalle angewendet [Text frz.u.dt.]","Abreiben, Raffinade/Eisen,",,,,
"",,,,,,,,Schmelzofen,,,,
"",,,,,,,Descrizione della nuova scoperta che ... consiste nel segreto di rendere impenetrabili all'acqua e,"Luftdichter Stoff, Wasserdichter Stoff,",,,,
2862,Leschak,Francesco,Perelli,Davide,,,,,Milano,,1836,09.09.1836
"",,,,,,,"non all'aria ogni sorta di stoffe di lana, Cotone e filo ... [Wasser- und luftdichter Stoff]",Imprägnierung/Stoff,,,,
"",,,,,,,Allgemeine Bemerkungen über die Bereitung des reinen kohlensauren Bleioxyduls mittelst der,,,,,
"",,,,,,,,"Bleiweiß, Blei, Lösungsmittel,",St. Johann,,,
2863,Diez,Ernst,Diez,Aug. Hermann,,,"hydraulischen Schraube, ... und Beschreibung eines ganz neuen gefahrlosen Verfahrens",,,,1836,04.07.1836
"",,,,,,,,Förderschnecke,nächst Villach,,,
"",,,,,,,metallisches Blei zu obigem Zwecke auf kaltem Wege aufzulösen,,,,,
2864,Waehner,Johann Alois,,,,,"Beschreibung eines neu erfundenen Haaröhls /:Haarbalsam:/ genannt, ...",Haaröl,Wien,,1837,18.07.1837
"",,,,,,,,"Kohlenmeiler, Verkohlen, Holzkohle,",,,,
"",,,,,,,"Beschreibung einer neuen Verbesserung, u. Vervollkommnung jenes Verkohlungs-Systems, auf",,,,,
"",,,,,,,,"Hochofen, Verhüttung, Treibofen,",,,,
2865,Didier,Felix,Droinet,Felix,,,welches die H. Didier u. Droinet am 28.10.1835 ein ausschließendes Privilegium für den ganzen,,Wien,,1838,17.09.1838
"",,,,,,,,"Abtreiben, Raffinade/Eisen,",,,,
"",,,,,,,Umfange der oesterr. Monarie auf die Dauer von 5 Jahren erhielten [Text frz.u.dt.],,,,,
"",,,,,,,,Schmelzofen,,,,
2866,Wappenstein,Ascher,,,,,"Beschreibung der ... erfundenen Feilenhau-Maschine, ...",Feilenhaumaschine,Wien,,1840,12.09.1840
"",,,,,,,"Beschreibung der Bestandtheile, und Anwendung der ... Neu erfundenen ""Wasserreingigungs- und","Wasserreinigung, Konservierung,",,,,
2867,Raithel,Gustav Wilhelm,,,,,,,Wien,,1840,12.08.1840
"",,,,,,,"Aufbewahrungs-Pulver Nr.1 und 2.""",Antiseptikum,,,,
"",,,,,,,"Bescheibung der von Joseph Lesire aus Yssel bei Brüssel, Rentirer, angeblich gemachten wichtigen",,,,,
2868,Lesire,Joseph,,,,,,Ziegelmaschine,Breslau,,1840,02.06.1840
"",,,,,,,"Verbesserungen seiner am 01. März 1840 privilegirten Ziegelerzeugungsmaschine, ...",,,,,
"",,,,,,,"... Beschreibung der Erfindung ..., daß ... sowohl Neue als alte Eiserne Geldkassen mit einer",,,,,
2869,Reckowsky,Johann David,,,,,"Vorrichtung versehen, wodurch dieselben so gesichter sind, daß jeder Versuch zur Erbrechung","Kasse, Schloß, Alarmanlage",Wien,,1840,23.05.1840
"",,,,,,,"oder aufsperrung augenblicklich entdekt wird, ...",,,,,
"",,,,,,,"Beschreibung ... auf das von Salomon Landau, Eigenthümer rheinischer Mühlsteingruben in",,,,,
"",,,,,,,"Coblenz für 5 Jahre angesuchte Privilegium, der von Johann Michael Reinhardt, Mechanikus in",,,,,
2870,Landau,Salomon,Reinhardt,Johann Michael,,,,Mühle,Wien,,1836,29.08.1836
"",,,,,,,Straßburg erfundenen und von dem Privilegiumswerber verbesserte und vereinfachte Art neuer,,,,,
"",,,,,,,"Mahlmühlen, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung ...: eine neue Art Dampf Apretir Maschine, Kunst",,,,,
2871,Wuest,Alois,,,,,,Appreturmaschine,Wien,,1838,07.11.1838
"",,,,,,,"Apretur genannt, ...",,,,,
2872,Lee,Joseph,,,,,"Beschreibung der ... erfundenen Glas-Gewebe, ...","Glasspinnerei, Dessin",Wien,,1839,10.12.1839
"",,,,,,,"Beschreibung der ... Verbesserung der Zigarren Röhren, unter dem Nahmen Wiener Mode",,,,,
2873,Demuth,Karl,,,,,,Zigarrenspitze,Wien,,1840,03.12.1840
"",,,,,,,"Zigarren, ...",,,,,
