PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung der neuen Erfindung einer Vorrichtung zur Verfertigung der Damen-Mieder ohne,,,,,
3652,Bauch,Franz,,,,,,"Mieder, Webstuhl",Wien,,1842,14.09.1842
"",,,,,,,Nadelstiche auf einem gewöhnlichen Taffetstuhle,,,,,
"",,,,,,,,"Wagen, Blechbearbeitung,",,,,
3653,Heindoerffer,Daniel,Heindoerffer,Friedrich,Spiering,Johann,"Beschreibung zu dem Privilegium ...: Mit Blechtafeln alle Gattungen Wägen zu erzeugen, ...",,Wien,,1844,27.02.1844
"",,,,,,,,Schalldämpfung,,,,
"",,,,Johann,,,Beschreibung der Verbesserung in der Vorrichtung zur Verwebung des Nakten und bekleideten,,,,,
3654,Spitzbart,Gottlieb,Witasek,,Scheurich,Karl,,"Gummiband, Webstuhl",Wien,,1840,17.03.1840
"",,,,Hieronymus,,,Kautschucs Gumi,,,,,
3655,Kahl,Karl,Krenn,Franz jun.,,,Beschreibung von der Erfindung feuerfester Ziegel zu erzeugen,Schamottestein,Leoben,,1839,13.12.1839
"",,,,,,,Beschreibung der neuen Erfindung und Verbesserung an Bandmühlstühlen durch Säge-,"Bandstuhl, Spindellade,",,,,
3656,Seuffert,Heinrich,Seuffert,Johann,,,,,Wien,,1839,12.06.1839
"",,,,,,,"Spindelladen mit hözernem Biegl von Buchs, nebst neuer Art Jaquart Maschinen",Jacquardmaschine,,,,
"",,,,,,,Beschreibung der ... Verbesserung ...: durch Construction einer neuen Art Brennöfen ... nicht nur,,,,,
"",,,,,,,,"Ziegelofen, Töpferofen, Kalkofen,",,,,
3657,Mueller,Karl Ludwig,,,,,"alle Gattungen Ziegel und alle aus Porcelain oder Thonerde geformten Produkte, so wie auch",,Wien,,1840,08.01.1840
"",,,,,,,,Feuerung,,,,
"",,,,,,,"Kalch ... gebrannt werden können, ...",,,,,
"",,,,,,,,"Kartonagen, Pressen, Modellieren,",,,,
3658,Kronik,Karl,,,,,"Beschreibung der japanischen Gegenstände, deren Anfertigung und des schwarzen Lakes",,Wien,,1843,26.01.1843
"",,,,,,,,"Galanterie, Lack",,,,
3659,Hagemann,Karl,,,,,Beschreibung samt Zeichnung ... wegen Privilegium im Wagenbau,"Wagen, Schmierbüchse",Wien,,1843,22.02.1843
"",,,,,,,"Beschreibung und Zeichnung einer Maschine, mittelst welcher große Gemälde, z.B. Altarblätter,",,,,,
3660,Radler,Joseph,,,,,"von jeder vorkommenden Höhe u. Breite, in jedem gewöhnlichen Zimmer, ganz bequem, wie an","Gemälde, Altarblatt, Rollstaffelei",Wien,,1844,04.01.1844
"",,,,,,,"der Staffelei, angefertigt werden können",,,,,
3661,Dreger,Gottfried v.,,,,,Beschreibung des neu erfundenen Zimmer Dunstlichtapparates. Beschreibung des Dunstfluidums,"Lampe, Leuchtstoff",Wien,,1843,20.11.1843
"",,,,,,,"Zigarren Taschenmesser ..., daß die Cigarrenspitzen ohne Auf und Zuschließen der Klinge schnell",,,,,
3662,Seyfried,Franz,,,,,,Zigarrenspitzenmesser,Wien,,1844,29.02.1844
"",,,,,,,abgeschnitten werden können,,,,,
3663,Lafontaine,Leopold,,,,,Bereitungsart eines verbesserten Zinnobergrün,Zinnobergrün,Wien,,1844,16.01.1844
3664,Bourelly,Lorenzo,,,,,Macchina Idrofora [Verwendung des De-La-Hire'schen Wasserrades zum Mühlbetrieb],"Wasserrad, Mühle, Getriebe",Padova,,1839,11.07.1839
3665,Wahlen,Peter,,,,,Beschreibung der Hauptsicherheits Bracleten,Armband,Wien,,1842,04.07.1842
"",,,,,,,"Beschreibung meines neuerfundenen Verfahrens bei Erzeugung der Ringe, Busennadeln, Colliers,","Siegelring, Brosche, Halsband,",,,,
3666,Mueller,Ferdinand,,,,,,,Wien,,1844,26.10.1844
"",,,,,,,"Braceletten, Toilettenstökeln, Biuterie, und sonstigen Schmuck","Armband, Schmuck, Stanze",,,,
3667,Czoeppan,Franz,,,,,Ansicht der Dampfmaschine mit der aufgestellten Kaffe-Koch-Maschine,Kaffeemaschine,Wien,,1840,05.12.1840
"",,,,,,,"Beschreibung der ... Erfindung aus Erzeugung von: Damen-Gürtel und Armbänder ... von Gold,","Gürtel, Armband, Goldwaren,",,,,
3668,Martin,Peter,,,,,,,Wien,,1842,20.03.1842
"",,,,,,,"Silber, Bronze ... mit oder ohne Edelstein, Perlen, ...","Silberwaren, Bronzewaren, Galanterie",,,,
"",,,,,,,"Beschreibung meiner selbst neu erfundenen Kunst einer Luftmaschine, welche zum Gebrauch das",,,,,
3669,Weichmann,Leonhard,,,,,,"Gebläse, Appreturmaschine",Wien,,1844,28.01.1844
"",,,,,,,"Tuch zu Appretiren, ...",,,,,
"",,,,,,,"... Erfindung einer neuen, verbesserten Methode zur Verfertigung von Tüchern und anderen",,,,,
"",,,,,,,,"Schlagmaschine, Filztuch, Verfilzen,",,,,
3670,Bonfil,Ralph,,,,,"Stoffen von beliebiger Länge, sowohl aus Wolle, als auch aus anderen ... Materialien, ohne die",,Wien,,1839,09.12.1839
"",,,,,,,,Hutstumpe,,,,
"",,,,,,,Operation des Webens; ferner zur Verfertigung von rohen Filzhüten ...,,,,,
3671,Trentsensky,Matthias,,,,,Beschreibung der Double Rastrier-Maschine,"Liniermaschine, Papier/Rubriziertes",Wien,,1839,18.12.1839
"",,,,,,,"Maschinen zum Druken zwei- oder mehrfärbiger Papiere, sowohl in ihren einzelnen","Buntpapier, Farbendruck,",,,,
3672,Czerny,Joseph,,,,,,,Wien,,1839,21.12.1839
"",,,,,,,"Bestandtheilen, als auch im Ganzen",Druckmaschine,,,,
"",,,,,,,Descrizione del miglioramento che ... consiste nell'aggiunta alla detta macchina di varj pozzi di,,,,,
3673,Neville,Alfredo Enrico,,,,,massima utilitá nell'intendo di agevolare l'andata della seta dai fusia triplice operazione sull'aspa,"Seide, Spinnmaschine, Seidenhaspel",Milano,,1839,26.11.1839
"",,,,,,,... [Seidenspinnmaschine],,,,,
"",,,,,,,Beschreibung der neuen Verbesserung des Siegellacks durch Anwendung vom gebleichten,,,,,
3674,Bunzl,Jakob L.,,,,,,"Siegellack, Schnellack, Bleichen",Prag,,1841,01.12.1841
"",,,,,,,Schellaks,,,,,
"",,,,,,,Beschreibung der Erfindung ...: Alle Stoffe aus Linnen u. Baumwollgarn mittelst Anwendung,,,,,
"",,,,,,,,"Leinwand, Baumwollstoff,",,,,
3675,Loewy,Lazar,,,,,chemischer Substanzen von den erdigen und harzigen Theilen-besonders aber von der schädlichen,,Prag,,1842,01.12.1842
"",,,,,,,,"Imprägnierung/Stoff, Appretur",,,,
"",,,,,,,"Schlichte ... zu befreien, ...",,,,,
"",,,,,,,"Beschreibung der Erfindung, wodurch man Schiffe theils zur See, theils auf den Flüßen, vom",,,,,
3676,Popovits,Lazar,,,,,"Auffahren zu schützen, oder im Fall es aufgefahren ist, selbes leicht u. ohne Beschädigung des","Schiff, Stranden, Flottmachen",Wien,,1843,28.10.1843
"",,,,,,,Schiffes flott zu machen,,,,,
"",,,,,,,"Beschreibung einer von mir neu erfundenen Methode, eine besondere Gattung Dessin-Parquets",,,,,
3677,Buschmann,Eduard,,,,,,"Parkettboden, Holzmosaik, Dessin",Wien,,1843,30.10.1843
"",,,,,,,zu erzeugen,,,,,
3678,Koechle,C.,,,,,Erklärung und Vortheile der Handwaage ...,Schnellwaage,Jungbunzlau,,1843,01.12.1843
3679,Schill,Heinrich,,,,,Beschreibung uiber eine Erfindung von Sicherheits-Laternen,Grubenlampe,Wien,,1843,16.01.1843
3680,Roth,Felix,,,,,Beschreibung der Börsenstrick-Maschine,"Geldbörse, Handtasche, Wirkmaschine",Wien,,1842,08.03.1842
