PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
447,Mondellino,Giovanni,,,,,"Descrizione di una Macchina per trebbiare i grani, e segnalamente il riso, ...","Dreschmaschine, Dreschmaschine/Reis",Gittarezza,1823,16.06.1823
"",,,,,,,"Descrizione dell'invenzione, che ... consiste in un meccanismo per turare bottiglie con fexero, ...",,,,
448,Decristofori,Luigi,,,,,,Flaschenkorkmaschine,Milano,1823,24.10.1823
"",,,,,,,[Flaschenkorkmaschine],,,,
"",,,,,,,"Descrizione per cui lo Schioppo e garantito dall'acqua, e perche si confumo minor quantita di",,,,
449,Castiglione,Luigi,Grasset,Giovanni,,,,Gewehrschloß,Brescia,1823,26.07.1823
"",,,,,,,polvere nella carica,,,,
450,Strasser,Lazar D.,,,,,"Die Verbesserung der Rübsamen Oehl fülterirung, ...","Rüböl, Filtrieren, Oel/Filtrierung",Canischa,1829,30.03.1829
"",,,,,,,"Daß Leder welches ich Wasserdicht machen will, Thue ich zuvor vollkommen Durchgärben, und",,,,
451,Degen,Christian,,,,,Reinige es nachher von aller Unreinigkeit /: der Loh-Sumach- oder Knoppernsäure:/ und lasse es,"Leder, wasserdichtes",Wien,1829,22.05.1829
"",,,,,,,nachher gut troken werden,,,,
"",,,,,,,"Beschreibung des Verfahrens, Gußeisen und daraus verfertigte Geschirre und Geräthe mit einer","Gußeisen, Kochgeschirr, Email,",,,
452,Keil,,Tlach,,,,,,Troppau,1825,11.03.1825
"",,,,,,,"Bleyfreyen, der Gesundheit unschädlichen Emaille oder Glaßur zu versehen",Muffelofen,,,
453,Pohl,Friedrich Wilhelm,,,,,Beschreibung Eines Verbesserung der Elastischen Seidenhuete,Hut,Wien,1828,03.03.1828
"",,,,,,,Beschreibung der Bestandtheile und mechanischen Wirkungskraft der in 5 Ansichten,,,,
454,Ugazy,Vitus,,,,,"dargestellten, von dem k.k.n.ö.Strassenbau Kommissär Vitus Ugazy zu Theresienfeld nächst Wr.",Wäscherolle,Theresienfeld,1827,10.03.1827
"",,,,,,,"Neustadt wohnhaft, erfundenen Wascherolle oder Monge, ...",,,,
455,Kastner,Michael,,,,,Beschreibung der ... verbesserten Nägelerzeugungsmaschine,Nagel,Wien,1824,26.08.1824
"",,,,,,,"Beschreibung der neu erfundenen Kunst- und Appretirungs-Maschine, welche zum sogenannten",,,,
"",,,,,,,,"Appreturmaschine, Dekatiermaschine,",,,
456,Fuerler,Franz,,,,,"Eingehen und Glanznehmen der Tücher Casemire, Moldon etc. für Tuchscheerer mit Ersparung",,Wien,1828,03.11.1828
"",,,,,,,,Tuch,,,
"",,,,,,,von Brennholz und Zeit zweckmässig ist,,,,
"",,,,,,,"Beschreibung der Maschinen und Werkzeuge, dann des Verfahrens bei der neu erfundenen",,,,
457,Bollmann,Eduard,,,,,,"Dekatiermaschine, Tuch",Wien,1828,10.01.1828
"",,,,,,,verbesserten Dekatirung,,,,
"",,,,,,,"Beschreibung der ... verbesserten Lufdichten Pippen, von feinen Zinn, Messing, Silber und auch",,,,
458,Redl,Joseph,Zimm,Franz Louis,,,,Pipe,Wien,1829,03.06.1829
"",,,,,,,anderen Metallen,,,,
"",,,,,,,"Beschreibung: Die Saug- oder Druckwerke jeder Art, werden durchaus von Gußeisen verfertigt,",,,,
459,Reich,Ferdinand,Reich,Karl,,,"nur die Ventille von Messing, und die Kolben von Holz, oder Messing, und es wird nur bey","Pumpe, Brunnen",Wien,1827,26.10.1827
"",,,,,,,"besonders vorkommenden Fällen, zu Biegungen und Krümmungen, Bley verwendet",,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, daß aus Colophonium, Pech oder was",,,,
460,Weilamann,David,,,,,"immer für einem Harz Beleuchtungs-Gas bereitet werde, ohne, wie bisher geschehen, die Harze","Leuchtgas, Harz, Pech",Wien,1829,06.07.1829
"",,,,,,,"durch Destillation früher in Oel zu verwandeln, ...",,,,
"",,,,,,,"Die ... Erfindung besteht, in einen ganz geruchlosen Retrait, welche einen modernen Schlafsessel",,,,
461,Ottacher,Georg,,,,,,Zimmerklosett,Wien,1825,09.04.1825
"",,,,,,,"vorstellt, und in jedem Zimmer aufgestellt werden kann",,,,
"",,,,,,,"Beschreibung der neu erfundenen Rühr- und Tabulier-Maschine, und des Schneidmessers zur",,,,
462,Flach,Christian,,,,,,"Zuckerbäcker, Rührmaschine, Zuckerl",Wien,1829,26.06.1829
"",,,,,,,Verfertigung der Zuckerzeltchen,,,,
"",,,,,,,"Beschreibung des Apparates, welcher ... darin besteht: 1. daß dieser neue Brenn-Apparat aus der",,,,
"",,,,,,,"Maische ohne extra Destillation ohne extra Zeit verlust und umständen, ... also gleich den",,,,
463,Remolt,Franz,,,,,,"Branntwein, Likör, Destillierapparat",Pest,1822,13.09.1822
"",,,,,,,"angenehmsten ganz fuselfreien Reinen Geist, ... den besten Liquer erzeuget: oder bei",,,,
"",,,,,,,gewöhnlicher Destillation auch aquavita oder Probe Brandwein daraus machen kann,,,,
"",,,,,,,Entdeckung der ... erfundenen dem Cararer Marmor-florentiner Alabaster-Chalcedon-Chrisopas-,,,,
464,Rohlik,Laurenz,,,,,"Lapis Lazuli, Agtsteinrothen und grünen roth gesprengten Jaspisrosenrothen Stein und schwarzen",Kunststein,Wien,1820,20.11.1820
"",,,,,,,Marmore ähnlichen Massa,,,,
465,Hoedl,Engelbert,Kaiser,Alois,,,Unterzeichneten Ihre Verbesserung der gewöhnlichen Filzhüte,Hut,Wien,1827,20.03.1827
466,Rocchi,Giovanni Rocco,,,,,Modo di fare la Tela impermeabile a foggia di Panno [Wasserdichte Leinwand],Wachstuch,Venezia,1822,13.04.1822
"",,,,,,,"Descrizione della Scoperta, che consiste in sostanza nel redurre ad un Estratto Solido e durro la",,,,
467,Moline,William,,,,,"concia nella corteccia di Rovere, Quircia, Cervato o qualunque altra materia o sostanza vegetabile",Gerberlohe,Fiume,1822,14.10.1822
"",,,,,,,che si adopera nel metodo usuale di conciare li pelli,,,,
"",,,,,,,Descrizione dell'invenzione che ... consiste nel fabbricare la Carta con un vegetabile volgarmente,,,,
468,Origone,Giorgio,,,,,,Papier,Milano,1822,25.10.1822
"",,,,,,,detto Palmazz lisea etiscone ... [Schilfpalmen-Papier],,,,
469,Touaillon,Joseph F.,,,,,Beschreibung der Goldwasch Maschine,Goldwäsche,Wien,1822,18.07.1822
"",,,,,,,"Beschreibung der ... Entdeckung welche ... darin besteht, daß er mittelst einer bisher ganz","Tuch/Aufrauhen,",,,
