PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,Beschreibung der von ... gemachten neuen Veränderung in der Verfertigung der,,,,,,
94,La Vigne,Claire,,,,,,Hut,,Wien,,1824,24.04.1842
"",,,,,,,Männerfischbeinhüte verflochten mit Holz ...,,,,,,
"",,,,,,,Beschreibung ... der ... neuen Erfindung von Stahlenen Schreibstiften mit welchen man mehrere,,,,,,
95,Isak,Mathias,,,,,,Schreibfeder,,Wien,,1825,25.05.1825
"",,,,,,,Jahre schreiben wird wie mit der besten Feder ohne an Reparatur zu denken ...,,,,,,
96,Thuemmel,Mathias Joseph,,,,,"Beschreibung der ... neu erfundenen Wasserhebmaschine, ...","Pumpe, Wasserhebemaschine",,Wien,,1817,18.06.1817
"",,,,,,,"Neu erfundene Maschine, wodurch die Sägespäne ganz rein zum Verkaufen hergestellt, von allen",,,,,,
97,Breit,Joseph,,,,,,Sägespäne,,Wien,,1825,24.09.1825
"",,,,,,,"groben Splittern oder sogenannten Schadten, Sand, und Staub ganz gereiniget, ... werden",,,,,,
98,Bajohr,Leopold,,,,,"Beschreibung der ... neu verbesserten Lampen, Tabakdosen und Pippen","Lampe, Tabakdose, Pippe",,Wien,,1823,19.02.1823
99,Cavalleri,Luigi,,,,,Descrizione della Scoperta che ... consiste nel lavorare il Corallo in natura ...,Koralle,,Milano,,1821,15.09.1821
100,Sendner,Georg,,,,,"Beschreibung der ... Erfindung einer Getreide-Abschälungs-Maschine, ...",Getreideschälmaschine,,Wien,,1824,27.05.1824
"",,,,,,,Descrizione dell'invenzione ... che ... consiste in una macchina detta Messimetro atta a battere la,,,,,,
101,Finazzi,Giovanni,,,,,,Metronom,,Milano,,1823,29.06.1823
"",,,,,,,musica ...,,,,,,
"",,,,,,,"Beschreibung der Verbesserung, welche ... darin besteht, daß das Distilliren von Branntwein,",,,,,,
"",,,,,,,"Rosoglio, Liqueur und Spiritus durch zweckmäßigere Veränderung des gewöhnlichen",,,,,,
102,Bloch,Jakob,,,,,,"Branntwein, Destilierapparat",,Wien,,1825,03.02.1825
"",,,,,,,"Kühlapparates ... befördert, ... welche Verbesserung auf jeden gemeinen Kessel ... anwendbar ist,",,,,,,
"",,,,,,,wo kein fortlaufendes Kühlwasser ... auf das Kühlfaß gebracht werden kann,,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, daß aus einer großen Mischung von",,,,,,
"",,,,,,,,"Aquavit, Branntwein, Weinlager,",,,,,
103,Dahm,Matthaeus Jakob,,,,,"Rosoglio-Satz, Weinlager und reinem Korn Aquavit der besten Qualitäten Branntwein ... erzeugt",,,Wien,,1824,24.04.1824
"",,,,,,,,Rosoglio,,,,,
"",,,,,,,werden kann,,,,,,
"",,,,,,,"Beschreibung der Erfindung, welche ... darin besteht, die rohe Seide fein Ponson, Incarnat, dunkel",,,,,,
104,Battisti,Johann,,,,,,"Färben/Seide, Seide/Färben",,Wien,,1824,15.03.1824
"",,,,,,,"rosa und mittelrosa, ohne Saflor und Citronensaft ... zu färben ...",,,,,,
105,Schmidt,Anton,,,,,Beschreibung einer neu entdeckten vollkommenen Caffee und Obers-Maschine,"Kaffeemaschine, Obersmaschine",,Wien,,1824,24.08.1824
"",,,,,,,"Beschreibung einer neu entdeckten Lampe, welche jede offene noch so hohe Stiege allein hell",,,,,,
105,Schmidt,Anton,,,,,,"Lampe, Stiegenbeleuchtung",,Wien,,1824,03.09.1824
"",,,,,,,beleuchtet,,,,,,
"",,,,,,,"Zeigen ... an, eine neue sehr nützliche, Verbesserung Ihrer Dessains Zugmaschinen erfunden zu",,,,,,
106,Ziegler,Georg,Ziegler,Stephan,Ziegler,Johann,,Webstuhl,,Wien,,1824,13.01.1824
"",,,,,,,"haben, ...",,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß Feuerspritzen, sowohl auf Wägen sich",,,,,,
