PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,Descrizione dell Scoperta che ... consiste in un nuovo metode economico ridotto alla maggiore,,,,
1769,Loreti,Innocenzo,,,,,"perfezione ottenere col mezzo di preparazioni chimiche, e di una forza fisica qual è il torchio","Unschlitt, Presse",Milano,1829,15.07.1829
"",,,,,,,idraulico la divisione del Sego in due Sostanze essenziali ... [Unschlittscheidung],,,,
"",,,,,,,"Descrizione della Scoperta, che ... consiste in un nuovo metodo di separare la Melassa dallo",,,,
1770,Gnocchi,Luigi,,,,,,"Zucker, Raffinade/Zucker",Milano,1829,14.05.1829
"",,,,,,,"zucchero greggio in otto giorni, ... [Zuckerraffinade]",,,,
"",,,,,,,"Beschreibung der ... Verbesserung der Dampfdekartirmaschine, welche ... darin besteht, daß man",,,,
"",,,,,,,mittelst derselben durch eine besondere Vorrichtung zu gleicher Zeit durch die Heizung eines,,,,
1771,Hinteregger,Thomas,,,,,,"Dekatiermaschine, Appreturmaschine",Wien,1829,09.09.1829
"",,,,,,,"einzigen Kessels Decartiren und Glanz abziehen könne, ... als auch Casimir, Satinclots und Shawl",,,,
"",,,,,,,"Tücher etz. appretirt ... werden können, ...",,,,
"",,,,,,,Beschreibung der ... Verbesserung der Ring-Kastenbeschläge und ungarischen Pelz- und Dolman-,,,,
1772,Wilda,Gottfried,,,,,,"Beschlag, Knopf, Dessin",Wien,1829,29.10.1829
"",,,,,,,"Knöpfe aller Gattungen mit allen möglichen Desins, ...",,,,
"",,,,,,,Beschreibung einer neuen Verbesserung in der Vorrichtung auf der Drehbank zur Verfertigung der,"Goldwaren, Silberwaren, Drehbank,",,,
1773,Gindorff,Franz,,,,,,,Wien,1829,16.11.1829
"",,,,,,,"runden Arbeiten in Gold, Silber, und übrigen dehnbaren Metallen",Metallwaren,,,
"",,,,,,,Beschreibung einer Maschine zum Vorspinnen aller Gattungen gekämter Schafwolle wobey die,,,,
"",,,,,,,Erfindung darin bestehet daß die Vorbereitung der gekämten Wolle auf der eigentlichen Spinn-,"Vorbereitungsmaschine,",,,
1774,Falkbeer,Anton,,,,,,,Wien,1829,16.11.1829
"",,,,,,,"Maschine selbst ... geschiehet, und daß hiedurch alle Sorten von Kammgarn auf wohlfeilere und","Spinnmaschine, Kammgarn",,,
"",,,,,,,"auf eine weit vollkommenere Weise als bisher, erzeugt werden könne",,,,
"",,,,,,,Beschreibung über die Entdeckung und Verbesserung ... der mechanischen Backtröge zum,,,,
1775,Albert,Karl,,,,,,"Backtrog, Knetmaschine",Wien,1829,24.10.1829
"",,,,,,,Knetten des Brodteiges,,,,
"",,,,,,,"Beschreibung der ... Verbesserung im Drahtzuge, welche ... darin besteht, daß a) die Gleichheit des",,,,
"",,,,,,,"Drahtes viele eher und sicherer erzielt wird, b) daß man mittelst dieser Verbesserung mit Hilfe",,,,
1776,Friedrich,Franz,,,,,"eines einzigen Tagarbeiters den Draht schon fertig geschliffen, und gewalzt, gewiß richtiger, als",Drahtziehen,Wien,1829,28.11.1829
"",,,,,,,"von freyer Hand erhält, wodurch c) die Messingblättchen für die Weber billiger geliefert werden",,,,
"",,,,,,,können,,,,
"",,,,,,,Beschreibung ... 1. Durch einen neu verbesserten Grundlack alle Fladern u. lackirten Papiere so zu,,,,
"",,,,,,,"erzeugen, ... 2. vermittelst einer neu ... erfundenen Maschiene alle satin, gracirten und","Buntpapier, Papierborte,",,,
1777,Knepper,Wilhelm,,,,,,,Wien,1829,20.11.1829
"",,,,,,,"grunddirten Papiere ... Glanz u. Appretur zu geben. 3. Durch ein neu verbessertes Poliment, ... 4.",Sprenkelmaschine,,,
"",,,,,,,"Durch eine neu erfundene Vorrichtung, alle gesprengten u. marmorirten Papiere ... zu spritzen ...",,,,
"",,,,,,,... Neue aragandische hohle Kerzen ohne Docht mit den dazu nöthigen neuen argandischen,,,,
"",,,,,,,"Leichtern, die den Docht einschließen und zugleich für jede Gattung Kerzen anwendbar sind, mit","Kerze, Leuchter, Docht, Lampe,",,,
1778,Schlesinger,Emanuel,,,,,,,Wien,1829,09.12.1829
"",,,,,,,"oder ohne Schirm, samt den dazu erforderlichen hohlen unverbrennbaren Dochte, die auf der",Bandstuhl,,,
"",,,,,,,"neuen Docht-Spinnmaschine gesponnen werden, ...",,,,
"",,,,,,,,"Guillochiermaschine, Dessin,",,,
1779,Heberger,August,Wille,Heinrich Julian,,,"Beschreibung der ... neuen Verbesserung in der ... Guillochir-Maschine, ...",,Wien,1829,18.12.1829
"",,,,,,,,"Uhrgehäuse, Zifferblatt",,,
1780,Schmidt,Martin,,,,,Beschreibung und Zeichnung der neu erfundenen Verbesserung des Lampen-Cylinders,Lampenzylinder,Wien,1830,06.03.1830
"",,,,,,,"Beschreibung der ... Entdeckung, ...: Die Seide vom Schmutze und Wachse besser zu reinigen, und",,,,
"",,,,,,,"derselben in allen Farben einen solchen Glanz zu verschaffen, daß die daraus verfertigten",,,,
1781,Kargl,Anton,Kargl,Franz,Kuttin,Anton,,"Seide, Strecken",Wien,1830,09.09.1830
"",,,,,,,"Seidenstoffe nicht nur die ausländischen ... übertreffen, sondern daß die Seide ... nicht spießig",,,,
"",,,,,,,"wird, ...",,,,
1782,Neuffer,Moritz,,,,,Erklärung zu der Zeichnung einer Verbesserten Maschine zur Water Garn Spinnerey,"Garn, Spinnmaschine",Sollenau,1830,30.10.1830
"",,,,,,,Beschreibung der Neu Erfundenen Verbesserungen und Vortheile der sogenannten Mechanischen,,,,
1783,Herzog,Martin,,,,,,Brückenwaage,Wien,1831,18.01.1831
"",,,,,,,Brücken-Waagen,,,,
