PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,,"Seidekokon, Seidenhaspel, Pasta",,,
3465,Fontana,Lorenzo,Zambruni,Maria,Zambruni,Giuseppe,Descrizione delle sostanze chimiche e del metodo di filatura a freddo de Bozzoli da seta,,Milano,1843,06.02.1843
"",,,,,,,,Caustica,,,
"",,,,,,,Beschreibung der hier beiliegenden Zeichnungen eines Locomotivs mit beweglichen Cilindern,,,,
3466,Eichen,Anton,,,,,,"Lokomotive, Dampfkessel",Brünn,1840,06.06.1840
"",,,,,,,[Zeichnungen fehlen!],,,,
"",,,,,,,,"Wasserreinigung, Filtrierapparat,",,,
3467,Froussard,Baptiste,,,,,Beschreibung der ... Verbesserung der Filtrir-Apparate ... [Text frz.u.dt.],,Paris,1837,28.01.1837
"",,,,,,,,Trinkwasser,,,
"",,,,,,,,"Straßenbeleuchtung,",,,
"",,,,,,,"Beschreibung der ... Verbesserung ... 1.) Eine ganz neue Art von Lampen und Laternen, welche ...",,,,
"",,,,,,,,"Stiegenbeleuchtung,",,,
3468,Thielemann,August,,,,,"für Zimmer ... Straßen, Höfe, Stiegen und Gänge bestimmt ... sind, ... 2.) Eine Füllungsmaschine ...",,Wien,1839,21.03.1839
"",,,,,,,,"Gangbeleuchtung, Lampe, Laterne,",,,
"",,,,,,,"mittelst welcher oben angegebene Lampen ... gefüllt werden, ...",,,,
"",,,,,,,,Abfüllapparat/Oel,,,
"",,,,,,,"Beschreibung der ... Entdeckung, allen gewirkten, /:Strumpfwirker:/ Waaren einen auffallend",,,,
3469,Schmidt,C.G.,& Co.,,,,,"Wirkwaren, Appretur",Wien,1839,13.04.1839
"",,,,,,,"schönen und bleibenden Glanz ... zu geben, ...",,,,
"",,,,,,,Beschreibung der Darstellung des sogenannten Wasserglases auf eine im Großen anwendbare Art,,,,
3470,Wurmbrand,Wilhelm,,,,,,Wasserglas,Weisgrün,1838,07.09.1838
"",,,,,,,fehlerfrei herzustellen,,,,
"",,,,,,,"Beschreibung des Privilegiums auf die Verbesserung, die gewöhnlichen Thonpfeifenköpfe an ihrer",,,,
3471,Frenkel,Peter,Kohn,Hermann,,,,"Tabakspfeife, Glasur",Wien,1840,11.02.1840
"",,,,,,,inneren Fläche mit einem ganz unschädlichen glasichten Ueberzuge zu versehen,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß das Holz durch die Ausziehung der farbigen und farblosen",,,,
"",,,,,,,"dem frischen Holze eigenen Säfte und durch das Hineinbringen verschiedener mineralischer,",,,,
