PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht: In einer Verbesserung des Branntwein",,,,,
291,Vogl,Johann Michael,,,,,,"Destillierapparat, Branntwein",Wien,,1825,14.07.1825
"",,,,,,,"Destilir Helmes, ...",,,,,
"",,,,,,,"Nachträgliche Beschreibung und Recepte aus der bereits beschriebenen Hefe, Branttwein, Liquers,",,,,,
292,Heusser,Theodor,,,,,,"Hefe, Branntwein, Likör, Essig",Wien,,1824,24.12.1824
"",,,,,,,wohlrichende Waßer und Essig zu erzeugen,,,,,
293,Galvani,Andrea,,,,,Descrizione della macchina per isgranellare il frumentone,Handmühle,Pordenone,,1822,12.02.1822
"",,,,,,,"Beschreibung der ... gemachten Verbesserung, auf dem Posamentierstuhle elastische Männer-",,,,,
294,Kienesperger,Franz,,,,,,"Krawatte, Posamentierstuhl",Wien,,1827,15.02.1827
"",,,,,,,"Halskravaten oder Binden von Baumwolle oder Seide, ganz oder halb, zu verfertigen, ...",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, daß er den Branntwein aus Früchten ...",,,,,
295,Lunger,Emanuel,,,,,,"Branntwein, Rosoglio, Likör, Essig",Wien,,1826,15.09.1826
"",,,,,,,erzeuget und mit demselben ... ganz feinen Rosoglio und Liqueurs wie auch Essig bereitet,,,,,
"",,,,,,,"Descrizione della scoperta, che ... consiste nella fabbricazione di Cartae Cartoni ... della Gluma o",,,,,
296,Baroggi,Quintino,,,,,,"Papier, Maiskolben/Papier",Milano,,1823,25.02.1823
"",,,,,,,"Spata vale a dire l'involucro della pannochia del grano turco, ...",,,,,
"",,,,,,,"Beschreibung der Verfahrungsart, ... das Nachfolgende aus Erdäpfel oder Waizen zu erzeugen:","Kraftmehl, Sirup, Zucker, Bier, Wein,",,,,
"",,,,,,,"Kraftmehl, Sirup, roher Zucker, raffinierter Zucker, Biere, Weine, Branntwein, Rum oder Liqueur,","Branntwein, Rum, Likör, Rosoglio,",,,,
297,Bickes,Franz Heinrich,,,,,,,Wien,,1825,18.04.1825
"",,,,,,,"Rosoli und Essig, Beschreibung der Maschinen: Reibmaschine zu Erdäpfeln, Branntweinapparat,","Essig, Reibmaschine/Kartoffel,",,,,
"",,,,,,,"Sirupapparat, Gaehrungszilinder für Essig, Bierkühlapparat, ...","Kartoffel,  Destilierapparat",,,,
"",,,,,,,"Beschreibung des Verfahrens der Klärung und Reinigung von rohen Zuckern mit Ochsenblut, und",,,,,
298,Reyer,,Schlick,,,,,Zucker,Wien,,1821,17.10.1821
"",,,,,,,animalischer Kohle,,,,,
"",,,,,,,1. Eine Verbesserung der Achsen und Büchsen ... 2. Eine Verbesserung des Gestelles ... 3. Eine,,,,,
"",,,,,,,"Erfindung, durch welche jede Achse ... von selbst durch eine andere ersetzt ... wird. 4. Eine",,,,,
"",,,,,,,"Erfindung, wodurch das Wagengestell ... ganz in Federn erhalten ... 5. Eine Erfindung, welche die",,,,,
299,Colonius,Ernst Edl.v.,,,,,,"Wagen, Achse",Iglau,,1825,30.04.1825
"",,,,,,,"Gefahr des Umwerfens ... vermindert ... 6. Eine Erfindung, durch welche Wagen mit Langwieden",,,,,
"",,,,,,,im Umkehren nicht gehindert werden. 7. ... wodurch der Hemmschuh vom Kutschbock ...,,,,,
"",,,,,,,"eingelegt und ... aufgelöst werden kann, ...",,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, daß man vermittelst derselben den",,,,,
"",,,,,,,"eben so lästigen, als nicht selten mit Lebensgefahr verbundenen Ausheben der äußeren Fenster",,,,,
301,Kopp,Joseph,,,,,,Fenster,Wien,,1826,19.08.1826
"",,,,,,,"/:Unterfenster:/ vorbeugen, und es bei der Reinigung, so wie beim Anstreichen derselben",,,,,
"",,,,,,,entbehrlich machen kann,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß er zwey Klassen mechanischer Figuren",,,,,
"",,,,,,,"erfunden, die 3.Klasse dahin verbessert, welche zum allgemeinen Wohl für Mahler, Bildhauer,",,,,,
302,Habicher,Sebastian,,,,,,Gliederpuppe,Wien,,1826,25.08.1826
"",,,,,,,"Kupferstecher und Graveur anwendbar, besonders zur Fortsetzung des Studiums dieser Künstler",,,,,
"",,,,,,,"nöthig sind, worin jedes Glied im Körper sich bewegt, und sogar in Lebensgrösse gestaltet seyen",,,,,
303,Laud,Alexander,,,,,"Beschreibung der verbesserten Handschuhe, ...",Handschuh,Wien,,1825,09.07.1825
"",,,,,,,"Descrizione della scoperta ... circa l'altitudine, e l'impiego di una sostanza setosa ricavabile dalle",,,,,
304,Pelizzari,Stefano,,,,,,"Asclepias, Hut",Brescia,,1825,17.07.1825
"",,,,,,,Asclepiadi alle fabbricazione dei Cappelli,,,,,
"",,,,,,,"Beschreibung der Erfindung, welche darin besteht, daß sie 1. aus Roßkastanien und Eicheln aller",,,,,
"",,,,,,,"Gattungen, sowohl für sich allein, als auch aus beiden zusammen, und auch mit Getreide und",,,,,
"",,,,,,,,"Branntwein, Rum, Likör, Essig,",,,,
305,Ruziczka,Joseph,Schoen,Karl,,,Knollengewächsen einen Brandwein und Weingeist erzeugen; 2. den Weingeist auch zu den,,Wien,,1823,30.01.1823
"",,,,,,,,"Kastanie, Eichel",,,,
"",,,,,,,"besten Gattungen von Liqueuren, Rum und Arak verwenden; und 3. einen Theil des Spülichs zur",,,,,
"",,,,,,,Erzeugung eines guten Essigs verwenden,,,,,
"",,,,,,,,"Branntwein, Likör, Essig,",,,,
306,Jaeckel,Bernard,Jaeckel,Mathias,,,Beschreibung des ... Destillir-Apparates ...,,Wien,,1823,25.06.1823
"",,,,,,,,Destillierapparat,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, daß er mittelst derselben Brandwein",,,,,
"",,,,,,,"erzeugt, schlecht gekaufte veredelt, Kohobationen in einer Distilation bereitet, ... welche","Branntwein, Essig, Destillierapparat,",,,,
307,Felix,Gregor,,,,,,,Wien,,1823,22.09.1823
"",,,,,,,"Anwendung auch für Apotheker sehr vortheilhaftig sey, ... auch der Feuergefahr vorgebeugt ist,",Apotheker,,,,
"",,,,,,,und er von Nachlauf ... genüßbaren Essig allein oder mit anderen Zuthaten bereitet,,,,,
"",,Franz Sigmund,,,,,,,,,,
308,Emperger,,,,,,"Beschreibung der ... neuen Verbesserungen auf Brantwein- und Essig Erzeugung, ...","Branntwein, Essig",Wien,,1824,15.10.1824
"",,Edl.v.,,,,,,,,,,
"",,,,,,,,"Spiritus, Branntwein, Rosoglio,",,,,
309,Braun,Karl Jakob,Waegner,Franz,,,Spiritus und Brandwein Bereitungsmethode,,Wien,,1827,25.01.1827
"",,,,,,,,"Destillierapparat, Kartoffel, Likör",,,,
310,Waegner,Franz,,,,,Beschreibung des Apparats zur Anfertigung auf hundert wiener Eymer Eßig,"Essig, Kartoffel, Gärapparat",Wien,,1825,21.02.1825
"",,,,,,,Beschreibung der verbesserten Palmer'schen Eisenschienenbahn und der dazu erforderlichen,,,,,
311,Bodmer,Johann Caspar,Bollinger,,,,,Hängebahn,Wien,,1826,04.11.1826
"",,,,,,,Wagen,,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... in der Branntwein, Rosoglio, Liqueur und Essigerzeugung","Branntwein, Likör, Rosoglio, Essig,",,,,
312,Fuerst,Peter,,,,,,,Wien,,1827,06.04.1827
"",,,,,,,gemachten Erfindung und Verbesserungen,Destillierapparat,,,,
