PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",Anreiter-,,,,,,Beschreibung einer neu erfundenen Vorrichtung mittelst welcher man auf Eisenbahnen mit,,,,,
2199,,Alois v.,,,,,Zahnradbahn,,Wien,,1837,03.02.1837
"",Zierenfeld,,,,,,Lokomotiven alle arten von Steigungen selbst bis in eins in zehn überwinden kann,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß durch Anbringung von Verzierung die Adjustierung des",,,,,
"",,,,,,,"Innern der Hüte sowohl rund herum, als auch als Hutschilder der Hut eine gefälligere und",,,,,
2200,Stuchly,Wenzel Wilhelm,,,,,"geschmackvollere Ausstattung erhält. Diese besteht a) in der ... Anbringung des lithographirten Hut, Kalender, Landkarte",,Prag,,1834,16.12.1834
"",,,,,,,oder gedruckten mit Stempeln versehenen Kalenders ... b) in beliebigen Darstellung,,,,,
"",,,,,,,"verschiedenartiger Landkarten, General-Postkarten",,,,,
"",,,,,,,Beschreibung der Erfindung einer Seihe Vorrichtung an den Maische u. Seihe-Bottichen,,,,,
2201,Balling,Augustin,Balling,Michael jun.,,,"insbesondere bei der Kartoffelstärke-Bierbrauerei, aber auch mit Vortheil bei der Malzbierbrauerei Siebwerk, Bier, Brauapparat",,Prag,,1835,21.07.1835
"",,,,,,,anwendbar,,,,,
"",,,,,,,"Genaue Beschreibung der Erfindung bezüglich Verbesserung in der Verpackung der Stecknadeln,",,,,,
2202,Huppmann,Johann Baptist,,,,,"Stecknadel, Nadelpapier",,Karlsbad,,1835,06.12.1835
"",,,,,,,...,,,,,
"",,,,,,,Anwendung und Nutzen der neu erfundenen k.k.patentisirten Maschine zum Anfeuchten der,,,,,
2203,Klein,Ignaz,,,,,"Anfeuchtschwamm, Siegelapparat",,Innsbruck,,1835,31.12.1835
"",,,,,,,Siegeloblaten,,,,,
2204,Schuster,Joseph R.v.,,,,,Bereitung der weichen feinen Zeichenstiften Bleistift,,Wien,,1838,10.02.1838
"",,,,,,,Beschreibung der Methode die Zinthölzchen ohne Schwefel nach neuer Erfindung zu verfertigen.,,,,,
2205,Siegl,Joseph,,,,,Zündholz,,Wien,,1832,28.08.1832
"",,,,,,,Bereitung der Frictions Zindhölzel ohne Phosphor,,,,,
2206,Naumann,Friedrich August,,,,,Beschreibung des Ersten oesterreichischen Douche Bade Apparats Bad,,Wien,,1834,19.12.1834
"",,,,,,,Bearbeitung des Saitlings bis zu dessen Brauchbarkeit zur Saite. Beschreibung der Abstreich,,,,,
2207,Schuetz,Leopold,,,,,"Saitling, Abstreichmaschine, Darmsaite",,Wien,,1828,16.12.1828
"",,,,,,,Maschine,,,,,
"",,,,,,,Beschreibung ... zur Erzeugung der Zündhölzer. Beschreibung der Maschine zum Einlegen der,,,,,
2208,Eggerth,Joseph,,,,,"Zündholz, Einlegemaschine",,Wien,,1836,14.10.1836
"",,,,,,,Zündhölzchen,,,,,
"",,,,,,,"Lampenschirm, Transparentglas,",,,,,
2209,Notherb,Karl,,,,,Beschreibung der neuerfundenen Lichtschirme von Glas mit transparenter Griffelzeichnung,,Bonyhad,,1836,24.10.1836
"",,,,,,,Glasätzung,,,,,
"",,,,,,,"Kleidung, Uniform, Schneiderei,",,,,,
2210,Banyai,Demeter,,,,,Beschreibung der ... erfundenen Kunst in der Verfertigung der ungarischen Kleider und Uniformen,,Wien,,1834,05.06.1834
"",,,,,,,Zuschneiden,,,,,
"",,,,,,,Beschreibung der von dem Unterzeichneten gemachten neuen Erfindung: Alle Gattungen,,,,,
2211,Niederreither,Leopold,,,,,"Kutschen und Sterzerwägen mit einer ganz neuen Art Hengung mittelst hebelartigen Zugpratzen Wagen, Federung/Wagen",,Wien,,1836,31.03.1836
"",,,,,,,zu bauen,,,,,
"",,,,,,,Verbesserte Methode den Salzpfannenkern und das Kochsalz zur Glas- und Soda-Erzeugung,,,,,
2212,Zich,Joseph,,,,,"Pfannenstein, Kochsalz, Glas, Soda",,Schwarzau,,1823,06.06.1823
"",,,,,,,anzuwenden,,,,,
"",,,,,,,"Manipulation zur Erzeigung dieser Wagen Radbüchsen, welche aus 2 Halbtheilen",,,,,
2213,Winter,Anton,Winter,Joseph,,,Schmierbüchse,,Wien,,1823,30.06.1823
"",,,,,,,zusammengeschweißt werden,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ...: Aus allen Gattungen Papierstoffe mittelst Anwendung",,,,,
2214,Heimann,Moses,Pergamenter,Friedrich,,,Preßspan,,Wien,,1832,08.07.1832
"",,,,,,,"neuer technischer Apparate, ..., alle Gattungen Preßspäne zu erzeugen",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: daß alle Gattungen Zeichnungen zu Druck - als auch",,,,,
2215,Ledl,Martin,,,,,"Stickmustern, und zu jeden beliebigen Dessins und Farbenwechslung anstatt des bisherigen Zeugdruck, Stickmuster, Dessin",,Wien,,1833,10.07.1833
"",,,,,,,"Gebrauchs der Möbel mit fünf Figuren hergestellt werden können, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung eines sich aus eigener Kraft bewegenden Maschienen, die ... darin",,,,,
2216,Fichtner,Wenzel,,,,,"bestehet, daß eine aus wenigen Bestandtheilen zusammengesetzte Maschien sich aus eigener Perpetuum mobile",,Olmütz,,1833,27.02.1833
"",,,,,,,"Kraft fortwährend beweget, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung eines Bindemittels, welche ... darin besteht, daß",,,,,
"",,,,,,,mittelst desselben sich alle Gattungen Papiersiegel auf die möglichst unauflösbare Art bilden,,,,,
2217,Theyer,Franz,,,,,"Siegelmarke, Kleister",,Wien,,1836,08.07.1836
"",,,,,,,"lassen, so zwar, daß diese Papiersiegel selbst mit Wasserdämpfen nicht geöffnet werden können",,,,,
"",,,,,,,...,,,,,
"",,,,,,,Beschreibung einer neu erfundenen Verbesserung die Mundharmonika in Form eines niedlichen,,,,,
2218,Saenger,Joseph,,,,,Blumen- oder Früchte-Körbchens oder in einer solchen mit verschiedenen andern niedlichen Mundharmonika,,Wien,,1837,28.06.1837
"",,,,,,,"Gegenstände belegt, zu verfertigen ...",,,,,
"",,,,,,,"Beschreibung der beiden Erfindungen: I. Einer beständig rottirenden Dampfmaschine ohne Kurbel Dampfmaschine, Ruderschaufel,",,,,,
2219,Morell,Bernhard v.,,,,,,,Triest,,1837,29.05.1837
"",,,,,,,"noch Balancier. II. der Ruderschaufeln als Ersatzmittel der Ruderräder Schiffsantrieb, Getriebe",,,,,
"",,,,,,,"Descrizione del miglioramento che ... consiste in una fabbricazione di parabolici di Rame, od",,,,,
"",,,,,,,"Parabolspiegel, Scheinwerfer, Lampe,",,,,,
2220,Ferrini,Giovanni Battista,,,,,"ottone ... ad uso delle Lampade per l'illuminazione notturna, ... [Parabolspiegel für die nächtliche",,Brescia,,1826,07.03.1826
"",,,,,,,Straßenbeleuchtung,,,,,
"",,,,,,,Beleuchtung],,,,,
"",,,,,,,Descrizione del miglioramento applicato al Pettine per la cardatura de Cascami di Seta [Kämme,,,,,
2221,Borella,Pietro,,,,,"Seidenabfälle, Florettseide, Krempeln",,Milano,,1832,19.11.1832
"",,,,,,,zum Kämmen der Seidenabfälle],,,,,
"",,,,,,,Descrizione della nuova invenzione che ... consiste nel lavare epurgare gli stracci ad uso della,,,,,
2222,Andreoli,Giovanni,,,,,"Hadern, Waschmaschine",,Bresia,,1833,26.03.1833
"",,,,,,,fabbricazione della Carta ... [Hadernwäsche und -reinigung zur Papierfabrikation],,,,,
"",,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza: In due naspi per uso degli incannatoj,,,,,
2223,Zappa,Camillo,,,,,"Seidenhaspel, Spulmaschine",,Como,,1836,27.01.1836
"",,,,,,,da Seta ... [Zwei Haspeln zum Aufspulen der Seide],,,,,
