PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung der ... Erfindung: Die Gegenstände aus Horn mit Hilfe einer flüssigen Beitze so zu,,,,,
"",,,,,,,"verfertigen, daß selbe nicht nur an Elastizität und Feinheit sondern auch hinsichtlich des",,,,,
2345,Gabler,Anton,,,,,,"Hornbearbeitung, Beize",Prag,,1836,24.12.1836
"",,,,,,,"feurigglänzenden, durchsichtigen und dauerhaften Farbenspiels, dem Schildkrot /: Schildplatt:/",,,,,
"",,,,,,,vollkommen gleich sind,,,,,
2346,Rademacher,Christian,,,,,Beschreibung der ... verbesserten Männer Sonnenschirme in Spazierstöcken,"Sonnenschirm, Stock",Wien,,1837,21.01.1837
"",,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, den Strohsesseln eine schönere,",,,,,
2347,Lamarche,Michael,,,,,,"Stroh, Färben/Stroh, Sessel",Wien,,1838,21.06.1838
"",,,,,,,"glänzendere, das Stroh nicht zerstörende Farbe zu geben [Text frz.]",,,,,
2348,Kappes,Jakob,,,,,Beschreibung und Nutzen der verbesserten bleiernen Retirade-Schläuche,Abort,Wien,,1837,22.03.1837
"",,,,,,,"Beschreibung des Sicherheitswagens, dessen Kasten beim Umstürzen des Gestelles ohne",,,,,
2349,Tschulik,Franz,,,,,Erschütterung wagrecht auf seiner Unterseite auffält und sich zugleich von den Hängeriemen,"Wagen, Federung/Wagen",Wien,,1838,10.02.1838
"",,,,,,,"loszieht, so daß sich dabei niemals eine Beschädigung der Fahrenden ereignen kann",,,,,
"",,,,,,,"Beschreibung der von mir Erfundenen Mahl-Schneid-Stampf- und anderen Mühlen, zur Erzeugung","Mühle, Sägemühle, Oehlmühle,",,,,
2350,Scheller,Johann Andreas,,,,,,,Wien,,1838,05.02.1838
"",,,,,,,von Mehl-Gries-Fornier-Bretter-Oehl usw. ...,"Wasserrad, Getriebe",,,,
"",,,,,,,"Beschreibung der Erfindung: allen möglichen Herrn und Damenschmuck, in englischem Gold",,,,,
2351,Boehr,Albert,Funcke,Ferdinand,,,,"Dublee, Schmuck",Wien,,1838,27.03.1838
"",,,,,,,"Plaquè (Douplè) sowohl mit Steine, Perlen, Emaillien, als anderen Verzierungen erzeugen",,,,,
2352,Lang,Joseph,Ruehm,Wilhelm,,,Beschreibung der neu erfundenen Kaffeemaschine,Kaffeemaschine,Wien,,1838,22.01.1838
"",Scheidtenberge,,,,,,,,,,,
