PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatu
"",,,,,,,,,,Mitterbach b.,,
658,Weickmann,Franz,,,,,Genaue Beschreibung der Verfahrungsart zu der ... neu erfundenen Schwarzfarbe,Schwarz,,,1821,26.03.1821
"",,,,,,,,,,Maria-Zell,,
"",,,,,,,Genaue Beschreibung der Verbesserung an der Anbringung und Zusammensetzung der,,,,,
659,Tuermer,Joseph,,,,,,"Wagen, Federung/Wagen",,Wien,1821,02.10.1821
"",,,,,,,Wagenfedern nach zwey Arten,,,,,
660,Nowotny,Karl,,,,,Beschreibung einer neu erfundenen vom Wasser getriebenen Drechselbank,Drechselbank,,Wien,1821,08.11.1821
"",,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, daß nämlich durch den Wind aus",,,,,
"",,,,,,,"Messing und stählernen Federn, welche in messingernen Körpern befestigt sind,",,,,,
"",,,,,,,"verschiedenartige Töne erzeuget ..., aus Ursache der durch den Wind erzeugten Töne ist dieses ...",,,,,
661,Haekl,Anton,,,,,,Physharmonika,,Wien,1821,21.03.1821
"",,,,,,,"Instrument Physharmonika genannt worden: diese Vorrichtung erfordere einen so kleinen Raum,",,,,,
"",,,,,,,"daß diese Physharmonika mit jedem Blasinstrumente in Verbindung gesetzt werden kann, ohne",,,,,
"",,,,,,,den Korpus im geringsten zu vergrößern,,,,,
"",,,,,,,Beschreibung der Maschine für die Zerkleinerung der Lohrinde. Beschreibung des,,,,,
662,Jauernig,Jakob,,,,,,"Gerberei, Lohrinde",,Wien,1821,20.08.1821
"",,,,,,,Dampfapparates zur Zubereitung der Gerberlohe,,,,,
663,Baussemer,Johann,,,,,Beschreibung der Verbesserungen an der sogenannten Jaquart-Maschine,"Jacquardmaschine, Webstuhl",,Wien,1821,10.04.1821
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: neue general Volatilisations- und Fixations",,,,,
"",,,,,,,"Oefen zu erbauen, in denselben mit Steinkohlen am zweckmässigsten Kalk zu brennen, zu",,,Kaltenleutgebe,,
664,Kroegner,Johann Adam,,,,,,"Kalkofen, Hochofen",,,1821,21.07.1821
"",,,,,,,"verkohlen, Erze abzuschwefeln oder zu rösten, ... hieraus Porax zu erzeugen, ... Endlich mit diesen",,,n,,
"",,,,,,,... Ofen auch ein natürliches immer gleiches Gebläße zu verbinden ...,,,,,
665,Sockl,Gottlieb,,,,,"Beschreibung der ... Erfindung und Verbesserung einer Fournir-Messer-Maschine, ...",Furnierschneidemaschine,,Wien,1821,14.08.1821
666,Stibolt,Kaspar Heinrich v.,,,,,Beschreibung der ... Erfindung Schiffe zu bauen ...,Schiffbau,,Esseg,1821,23.06.1821
667,Kraeuterer,Karl,,,,,Mechanische Beschreibung der Wäsche Rolle,Wäscherolle,,Wien,1821,30.10.1821
"",,,,,,,"Beschreibung der Entdeckung, welche darin besteht: daß sie ökonomische kupferne und eiserne",,,,,
668,Hennig,Georg,Spoerlin,Michael,Rahn,Heinrich,,"Kochgeschirr, Papin'scher Topf",,Wien,1821,20.06.1821
"",,,,,,,"verzinnte Dampf Kochgefässe, mit verbesserten Schluß verfertigen",,,,,
"",,,,,,,Descrizione della nuova Scoperta che ... consiste nell'aver nuovamente scoperto il modo di,,,,,
669,Rebeschini,Cristiano,,,,,"formare delle formagielle di qualità generalmente accolta, attesa la privazione di quelle estere,","Käse, Senigalliakäschen, Quargel",,Venezia,1825,11.03.1825
"",,,,,,,"che si formano nelli Stati Pontificj comunemente dette di Sinigaglia, ova proibite come segue",,,,,
670,Accault,Carlo Giovanni,,,,,"Descrizione dell'ultimo metodo scoperto, e messo in pratico, per raffinare lo Zucchero","Zucker, Raffinade/Zucker",,Milano,1824,09.06.1824
671,Cernuschi,Claudio,,,,,Metodo per l'uso della nuova Terra da imbiancare lo Zucchero,"Zucker, Raffinade/Zucker",,Milano,1825,24.03.1825
"",,,,,,,Descrizione dell'invenzione che ... consiste nella fabbricazione di un nuovo riverbero parabolico ...,,,,,
672,Brenta,Luigi,,,,,,"Scheinwerfer, Parabolspiegel",,Milano,1828,22.02.1828
"",,,,,,,[parabolischer Rückstrahler],,,,,
"",,,,,,,Erklährung der Bestandtheile über die ... ney erfundene Art Bücksen mit geschlossenen schmier,,,,,
673,Liebelt,Gottfried,,,,,,"Schmierbüchse, Kutschbock, Wagen",,Wien,1820,17.03.1820
"",,,,,,,"gefässen, dann der Mechanischen Kutscher Böcke, ...",,,,,
674,Knezaurek,Joseph,,,,,Beschreibung einer neuen Art Schiffe zu betreiben durch elastische Flossen,"Schiffsantrieb, Flossen/Schiffsantrieb",,Wien,1821,07.06.1821
675,Kuehle,Karl,,,,,Beschreibung der ... an seinen Pedal Harfen nach neuer Bauart gemachten Verbeserungen,Harfe,,Wien,1821,16.05.1821
"",,,,,,,"Beschreibung der drey Maschinen, welche auf nebenliegendem Blatt gezeichnet sind, u. zum",,,,,
676,Abeking,Louis,,,,,,Zeugdruck,,Wien,1821,10.05.1821
"",,,,,,,Schnell-Graviren der Metallwalzen zum Cotton Druck angewendet werden.,,,,,
677,Czuliffay,Gebriel Edl.v.,,,,,Beschreibung meiner Spar-Oefen,Ofen,,Wien,1821,25.04.1821
"",,,,,,,"Beschreibung der ... Erfindung, eine Art Rettungs-Methode, ... daß sie den Reisenden folgende",,,,,
