PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,"Papiermaschine, Trockenapparat,",,,,,
2563,Rahn,Heinrich,Spoerlin,Michael,,,"Vorzüge der neuen Maschinen zum Erzeugen, Trocknen u. Appretiren des Papieres Appreturmaschine, Schneidemaschine,",,Wien,,1830,10.09.1830
"",,,,,,,Papierhobel,,,,,
"",,,,,,,"Progetto di un nuovo miglioramento per filare con Machine lo Struzzo di Seta ossia Seiden Abfälle Seidenabfälle, Spinnmaschine,",,,,,
2564,Morpurgo,Abraham,,,,,,,Trieste,,1829,27.11.1829
"",,,,,,,... [Seideanabfälle-Spinnmaschine] Florettseide,,,,,
2565,Hallmann,Ferdinand,,,,,Beschreibung einer nach beiliegenden Plane neue Erfindung von Feuerspritzen Feuerspritze,,Wien,,1839,01.03.1839
"",,,,,,,Beschreibung der verbesserten soliden Construction der gewöhnlichen Schatullen-Bänder und,,,,,
2566,Ley,Anton,,,,,"Schatulle, Schloß",,Wien,,1838,09.10.1838
"",,,,,,,Schlösser,,,,,
"",,,,,,,"... zeiget ... an, eine neue Erfindung an seinem schon frühern Meßing Blasinstrument gemacht zu",,,,,
2567,Stehle,Johann,,,,,Blasinstrument,,Wien,,1838,04.07.1838
"",,,,,,,"haben, ...",,,,,
"",,,,,,,,,Eisenhüttenwer,,,
"",,,,,,,Beschreibung des Apparates zur Erhitzung der Gebläse-Luft zur Anwendung derselben bei dem,,,,,
2568,Zwierzina,Joseph,,,,,"Hochofen, Gebläse, Luftvorwärmer",,k Marienthal bei,,1838,20.05.1838
"",,,,,,,"Betrieb der Schmelz- vorzüglich bei den Eisen-Hoch- und Kupelöfen, ...",,,,,
"",,,,,,,,,Olmütz,,,
"",,,,,,Alessandro,Descrizione di due recipienti che servono per trasportare le materie che dietro nuovo proposto,,,,,
2569,Casparini,Nicolao,Sinigaglia,Felice,Papafava,,"Kanal, Senkgrube, Exkremente",,Padova,,1830,14.01.1830
"",,,,,,Conte,sistema si estraggono dalle Latrine,,,,,
2570,Rochleder,Friedrich,Waidele,Erwin,Tauer,Lorenz,"Beschreibung der ... Erfindung eines Beleuchtungsmittels, ... Leuchtgas, Gasbeleuchtung",,Wien,,1838,21.11.1838
"",,,,,,,"Beschreibung des ... neuen Verfahrens, ..., den zur Färberey unentbehrlichen Persio oder",,,,,
2571,Robertt,Ludwig,,,,,"Orseille, Färben",,Wien,,1825,16.06.1825
"",,,,,,,"Coudbeau, sowie die Kräuter und gereinigten Erd-Orseille ... zu erzeugen",,,,,
"",,,,,,,"Sicherheitspapier, Sicherheitstinte,",,,,,
2572,Moreau,Julius,,,,,"Beschreibung eines Sicherheits Papiers, einer Sicherheits-Dinte und eines Cylinders zum Drucken",,Wien,,1838,13.03.1838
"",,,,,,,Druckwalze,,,,,
2573,Wilda,Gottfried,,,,,"... zeigt ... an, eine neue Verbesserung der sogenannten Ringkastenbeschlag gemacht zu haben, ... Möbel, Beschlag",,Wien,,1832,20.04.1832
"",,,,,,,Descrizione del nuovo miglioramento che ... consiste in sostanza nel far garne l'aspa sopo due,,,,,
2574,Neville,Alfredo Enrico,,,,,"Seide, Spulmaschine",,Milano,,1835,06.04.1835
"",,,,,,,sostegni di pelle ... [Seiden-Spulmaschine],,,,,
"",,,,,,,Erfindung und Verbesserung in der Erbauung und inneren Einrichtung von,,,,,
2575,Pantz,Vitus Ignaz von,Baumgärtel,Lorenz,,,"Nagel, Schmiede, Esse, Luftvorwärmer",,Hof/Illyrien,,1835,15.02.1835
"",,,,,,,"Nagelschmiedwerkstätten mit ambulanten Feuerherden und ihre Betreibung mit erhitzter Luft,...",,,,,
"",,,,,,,Beschreibung der...Abbildung eines neu erfundenen und verbesserten Mechanismus für,,,,,
2576,Pantz,Vitus Ignaz von,Baumgärtel,Lorenz,,,"Schrauben-Pressen, welche Preßen nicht nur vorzüglich als Oehlpressen, sondern sehr Schraube, Presse",,Hof/Illyrien,,1835,15.02.1835
"",,,,,,,empfehlend als Papier- und Tuchpreßen anzuwenden sind,,,,,
"",,,,,,,"... zeigt ... an, eine Erfindung und Verbesserung gemacht zu haben, ..., daß: 1. derselbe sämtliche",,,,,
2577,Wessely,Anton,,,,,"tamborirte Friseurarbeiten ohne ... Tressen erzeugt, ... 2. die Stoffe zu denselben zu apretiren, Perücke, Appretur",,Wien,,1838,23.04.1838
"",,,,,,,"wodurch dieselben der Haut ganz gleich werden, ...",,,,,
2578,Winkelmann,Nikolaus sen.,,,,,"Beschreibung einer Verbesserung in der Sonn- und Regenschirmfabrikation Sonnenschirm, Regenschirm",,Wien,,1838,07.06.1838
"",,,,,,,"Erklärung des ... Plan [einer Windmühle], wobey die wesentlichen Verbesserungen unterstrichen",,,,,
2579,Eckell,Johann,,,,,Windmühle,,Pancsowa,,1835,27.01.1835
"",,,,,,,sind [Plan fehlt!],,,,,
2580,Kasperkowitz,Karl,,,,,"Beschreibung der ... Erfindung von Woll-Teppichstoffen, ... Vollstoff, Teppich",,Wien,,1839,16.04.1839
2581,Polacco,Benetto,,,,,"Descrizione del modo di conseguire il Fillo di Vetro ... [Gewebe aus Glasfäden] Glasfaser, Webstuhl, Stoff",,Venezia,,1835,21.05.1835
2582,Posch,Franz Xaver,,,,,"Beschreibung der Feuermaschine, welche durch den Wecker ausgelöst wird, ... Wecker, Feuerzeug",,Wien,,1840,10.01.1840
"",,,,,,,"Beschreibung der ... Methode aller Gattungen Holzarbeiten als: Bildhauer, Drechßler und Tischler-",,,,,
"",,,,,,,"Legierung, Plastische Masse, Rahmen,",,,,,
2583,Oberhoffer,Leopold Christian,,,,,Arbeiten etc. mit glattem u. dessainirten Metall /:unter dem Nahmen Pistollet Gold Ueberzug:/ zu,,Wien,,1836,15.02.1836
"",,,,,,,Folienbelegung,,,,,
"",,,,,,,überziehen und zu belegen,,,,,
"",Romer - Kis-,,,,,,,,,,,
2584,,Stephan Edl. v.,,,,,"Das neue Reibfeuerzeug ist eine in der Tasche tragbare, runde Dose,... Schnellzündmaschine (Gasophor)",,Wien,,1834,08.11.1834
"",Enyitzke,,,,,,,,,,,
"",,,,,,,"Mein gegenwärtiges Privilegium gezieht sich auf zwey Gegenstände, nämlich 1.) auf eine",,,,,
"",,,,,,,"Metallwaren, Geschirr, Presse,",,,,,
2585,Hanke,Heinrich,,,,,Verbesserung in der Erzeugung der zu verschiedenen Zwecken dienenden Metallgeschirre oder,,Lanzendorf,,1834,28.07.1834
"",,,,,,,Bügeleisen,,,,,
"",,,,,,,"Metallgeräthe, und 2.) auf eine Verbesserung der Platt- oder Biegeleisen",,,,,
"",,,,,,,"Beschreibung des Destillir- und Brau Apparates. Uiber die Bereitung des Biers. Vom Hopfen. Uiber Hopfen, Bier, Branntwein, Likör,",,,,,
2586,Werner,Blasius,,,,,"die Essig Bereitung. Von der Erzeugung des Branntweins. Uiber die Bereitung der Liquere. Uiber Punsch, Essig, Destillierapparat,",,Wien,,1823,02.09.1823
"",,,,,,,die Bereitung des Punsches aus Früchten. Beschreibung der Filtrir-Maschinen Brauapparat,,,,,
2587,Ries,Joseph,,,,,Modell Beschreibung der ... verbesserung auf Klavierkapseln Klavier,,Wien,,1838,30.06.1838
"",,,,,,,"Wagen, Schmierbüchse,",,,,,
2588,Bozek,Johann Romuald,,,,,Beschreibung der Erfindungen bey einem Stadt- oder Reisewagen,,Prag,,1837,28.02.1837
"",,,,,,,Federung/Wagen,,,,,
"",,,,,,,"Beschreibung der ... Erfindung der Verwendeung gekrämpelter reiner Schaafwolle zum Füttern der Schafwolle/Gekrempelte, Wattieren,",,,,,
2589,Lederer,Joseph,,,,,,,Prag,,1839,04.03.1839
"",,,,,,,"Schlafröcke und Bettdecken Schlafrock, Steppdecke, Schneiderei",,,,,
"",,,,,,,"Beschreibung der Feuergewehre mit verschiebbaren Laufe, welche von rückwärts ohne Ladstock",,,,,
2590,Kimmel,Thomas,,,,,"Gewehr, Hinterlader, Patrone",,Wien,,1837,14.10.1837
"",,,,,,,geladen werden können,,,,,
