PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Bisonhorn, Schafhorn, Ziegenhor,",,,,
"",,,,,,,Beschreibung der ... Erfindung und Verbesserung in Erzeugung aller Gattungen Kämm und,,,,,
3354,Matthey,Joseph,,,,,,"Ochsenklaue, Huf, Hornbearbeitung,",Wien,,1842,08.08.1842
"",,,,,,,"Messerhefte, aus Bissen, Schaf-, Ziegen-Horn, Ochsenklaue und Pferdehufen",,,,,
"",,,,,,,,"Kamm, Messerheft",,,,
"",,,,,,,"[Descrizione del] orologio autoatmosferico ..., il quale mediante le variazioni di peso deli atmosfera",,,,,
3355,Andervalt,Pasquale,,,,,,"Pendeluhr, Barometer, Barometer-Uhr",Trieste,,1843,06.02.1843
"",,,,,,,si rimonta perpetuamente ... [selbstaufziehende Pendeluhr],,,,,
"",,,,,,,Bitte um ein Einführungspatent ... für eine neue Maschine zur Fabrication der kalt geschlagenen,,,,,
3356,Lemaitre,Louis,,,,,,"Nagel, Schneidemaschine, Presse",Paris,,1838,31.07.1838
"",,,,,,,Nägel [Text frz.u.dt.],,,,,
"",,,,,,,Descrizione della invenzione che ... consiste in sostanza in un composto di vari ingredienti tutti,,,,,
"",,,,,,,,"Holz, Imprägnierung/Holz, Schiff,",,,,
3357,Martini,Bortolo,,,,,"innomi per preservare barche, bastimenti, pali, segnalamente, ed ogni, ei qualunque altro effetto",,Venezia,,1840,19.11.1840
"",,,,,,,,Dichtungsmasse,,,,
"",,,,,,,di legname ... [Imprägnierungsmittel für Holzschiffe],,,,,
"",,,,,,,"Beschreibung des Geheimnis auf Seidenhüte, wodurch das Durchdringen jeder Fette verhindert",,,,,
3358,Reitter,Michael,,,,,,"Hut, Imprägnierung/Hut, Fettschweiß",Wien,,1841,08.11.1841
"",,,,,,,wird,,,,,
"",,,,,,,"Neue Methode der Gärbung des Pfundleder, der Terzen oder Frauen-Sohlen, Kuhhäute und",,,,,
"",,,,,,,,"Leder, Gerberei, Oberleder, Kitzleder,",,,,
3359,Golnhofer,Georg,,,,,"Kalbfelle zu Oberleder, des gelbtürkischen Corduans, und der Kitzfelle, /:beyde letzteren ohne",,Wien,,1841,30.12.1841
"",,,,,,,,"Corduan, Schuhsohle",,,,
"",,,,,,,Zusammennähen:/,,,,,
3360,Neumann,Anton,,,,,Anleitung zu dem Gebrauche des Verwandlungs und Berechnungs-Apparates,Rechenmaschine,Wien,,1842,04.01.1842
3361,Haase,Gottlieb,& Söhne,,,,Erklärung zu den Zeichnungen der Scandinavia-Presse und Beschreibung des Druckverfahrens,Schnelldruckpresse,Wien,,1842,13.12.1842
3362,Wesemann,Karl,,,,,Beschreibung der neuerfundenen Locken unter den Namen Flora,Haar/Falsches,Wien,,1842,15.12.1842
3363,Mauss,Johann Baptist,Meill,Franz Xaver,,,Beschreibung der ... Erfindung eines geruchlosen Urin-Ableitungs-Apparat,Urinierapparat,Wien,,1842,31.12.1842
"",,,,,,,,"Hirnholz, Holzsäge, Holzmosaik,",,,,
3364,Buschmann,,Podany,Franz,,,"Beschreibung der Verbesserung von Mosaik-Fußböden, und Möbeln",,Wien,,1841,09.12.1841
"",,,,,,,,"Parkettboden, Möbel, Kunstmarmor",,,,
"",,,,,,,,"Torfteer, Straßenpflasterung,",,,,
3365,Koester,Vinzenz Wilhelm,,,,,Beschreibung der Bereitung des Torfharzes,,Wien,,1842,15.01.1842
"",,,,,,,,"Asphaltersatz, Torfgas",,,,
"",,,,,,,,"Leder, Imprägnierung/Leder, Schuh,",,,,
3366,Jaegersberger,Jakob,,,,,"Beschreibung einer neu verbesserten Methode, auf alle Gattungen Schumacher Arbeit anwentbar",,Steyr,,1841,22.03.1841
"",,,,,,,,Stiefel,,,,
"",,,,,,,Beschreibung der Erfindung eines Verfahrens welches in der Wesenheit in einem,,,,,
"",,Jakob Franz,,,,,,"Bauholz, Schiffbau,",,,,
