PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,Darstellung 1.) der Verbesserung ... an den Vorrichtungen zur Erzeugung des Filztuches ... 2.) der,,,,
3519,Busse,Thomas,,,,,,"Filztuch, Walken",Hamburg,1842,14.04.1842
"",,,,,,,Entdekkung eines neue Walksystems ...,,,,
3520,Opelt,Johann,,,,,Wollkämm Maschinen-System,"Schafwolle, Krempeln",Leipzig,1842,01.05.1842
"",,,,,,,Beschreibung der ... Verbesserungen bey der Fabrication der unterm 26.1.1838 priv. waßer und,"Tonwaren/Wasserdichte,",,,
3521,Soherr,Konrad,,,,,"feuerfesten Thonproducte, vorzüglich der Deckplatten in Schieferform, daher Kunstschiefer","Tonwaren/Feuerfeste,",Wien,1843,06.04.1843
"",,,,,,,"genannt, deren Verglasung und deren Aufdekung auf die Dächer","Dachziegel/Galsierter, Glasur",,,
"",Romer - Kiss -,,,,,,"Darstellung der flammenden brennbaren, in freyen, selbst bey einem Windzuge und gelinden",,,,
3522,,Stephan v.,,,,,,Zündholz,Wien,1842,23.06.1842
"",Enyitzke,,,,,,Regen unauslöschbaren Zigarren Zünder; ...,,,,
3523,Bergamenter,Friedrich,,,,,Beschreibung meiner neuerfundenen Linier- und Rastrir-Maschine ...,"Liniermaschine, Papier, rubriziertes",Wien,1842,26.08.1842
"",,,,,,,Die rollende Kugel. Ein Bewegungs-System als Versuch zu einer theilweisen Ersparung der,,,,
3524,Stahel,Franz,,,,,,"Getriebe, Perpetuum mobile",Brünn,1843,
"",,,,,,,Dampfkraft. Dt.u.frz.v.d.k.k.Major Stahel,,,,
"",,,,,,,"Neue Erfindung betitelt Dampf-Lithozinkographik oder die Kunst, aller Arten Zeichnungen von",,,,
"",,,,,,,,"Lithographie, Zinkographie, Zeugdruck,",,,
3525,Kellenberger,Samuel,,,,,"Stein und Zink auf Papier, Seiden-, Baumwoll- und andere Stoffe durch Dampf, Wasser oder jede",,Chur,1838,01.09.1838
"",,,,,,,,Druckmaschine,,,
"",,,,,,,"andere bekannte Kraft abzudruken, ...",,,,
3526,Moravia,Abram,,,,,Descrizione del processo pel metodo di miglioramento acconcia pelli ... [Fellgerberei],"Leder, Gerberei",Venezia,1843,30.06.1843
"",,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza in una maggior celerità di destillare,,,,
3527,Jelussig,Francesco Saverio,,,,,,"Branntwein, Destillierapparat",Trieste,1839,20.08.1839
"",,,,,,,spiriti ... [Branntweinbrennerei],,,,
"",,,,,,,,"Papier/abwaschbares, Schreibtafel,",,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: chemische Schreib- und Rechnungsblätter aus Papier zu",,,,
3528,Seyfried,Franz,,,,,,"Imprägnierung/Papier,",Wien,1844,05.08.1844
"",,,,,,,"erzeugen, ...",,,,
"",,,,,,,,Schiefertafelersatz,,,
"",,,,,,,"Beschreibung einer von die Herren de Milly und Parisel in Paris gemachten Entdeckung, durch eine",,,,
3529,Milly,... de,Parisel,,,,"vereinfachte Manipulation ..., das Elain von ... Fett und Unschlitt ... zu trennen, und die hiedurch zu","Stearin, Unschlitt, Oelsäure, Oel, Seife",Wien,1842,07.07.1842
"",,,,,,,gewinnenden öhlichten Bestandtheile als treffliches Beleuchtungsmittel zu benützen,,,,
3530,Marin,Adolf,,,,,Construction eines Spiralofens,"Ofen, Heizkörper",Czernowitz,1839,14.03.1839
"",,,,,,,Privilegiums Beschreibung der Phaenomen Kerzen Erzeugung aus Unschlitt und die Verbesserung,,,,
3531,Onderka,Eduard,,,,,,"Unschlitt, Raffinade/Unschlitt, Kerze",Wien,1842,30.08.1842
"",,,,,,,"der Stearin, Wachs, Halbwachs, Wachs und Stearin platirten und aller anderen Kerzensorten",,,,
3532,Matthey,Jakob,,,,,Beschreibung der ... Verbesserung in Erzeugung von Staubkämm-Reiniger,Kammreiniger,Wien,1843,19.12.1843
3533,Kittner,Alexander,,,,,Beschreibung der ... neuen Erfindung bey Anfertigung von Bracelets /Armbänder/,Armband,Wien,1842,21.12.1842
"",,,,,,,Genaue Beschreibung der neuen Zeigerwerkarten bey Uhren durch bewegliche und umgehende,,,,
3534,Kratochwille,Johann Baptist,,,,,"Zahlen und Worte oder Worte u. Zahlen vorstellende Zeichen ... auf das Zeigen des Datums ..., so","Datumanzeiger, Kontrolluhr",Wien,1842,14.11.1842
"",,,,,,,wie auch der Verbesserung der sogenannten Wächteruhren,,,,
"",,,,,,,"Beschreibung meiner Erfindung eines waßerdichten Tuches, zu Bedekkung von Dächern,","Wasserdicht(er) Stoff,",,,
