PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
"",,Fortunato,,,,,,,,,,
"",,Giacomo Antonio,,,,,,,,,,
"",,,,,,,"Description des procédés d'amélioration ... al'invention des Pierres factices nommées ""Grès",,,,,
5424,Esquille,Ruggiero Burand,,,,,,Kunststein,,Venise,1845,24.01.1845
"",,,,,,,"factices"" ... [Kunststein]",,,,,
"",,de Monestrol,,,,,,,,,,
"",,Marquis de,,,,,,,,,,
"",,,,,,,"Beschreibung einer neu erfundenen Steifung bei der Erzeugung der Filz- und Seidenhüte, so wie",,,,,
5425,Taubeles,Isaak,,,,,,"Hut, Steifung",,Prag,1846,10.03.1846
"",,,,,,,des Klebers zur Befestigung des Seidenfelbers auf dem Gerippe oder Unterlage des Hutes,,,,,
5426,Amman,Joseph,,,,,Beschreibung der Verbesserung an den sogenannten Schnellwaagen ...,Fleischerwaage,,Wien,1846,07.02.1846
"",,,,,,,"Beschreibung der ... Erfindung in der Erzeugung einer, mittelst Dampfkraft hervorgebrachten",,,,,
5427,Striech,Joseph,,,,,,Seife,,Baden bei Wien,1846,04.02.1846
"",,,,,,,Reinigungs-Seife ...,,,,,
"",,,,,,,Beschreibung einer neuen Erfindung mittelst Anwendung des Miniums oder jedes andern Bley,,,,,
"",Fontaine -,,,,,,"Oxides ... matt auf dem Glase oder Kristall zu graviren, und jede Composition zu machen, welche",,,,,
5428,,Peter Armand,,,,,,"Glas, Kristallglas, Mattieren, Glasätzen",,Wien,1846,25.02.1846
"",Moreau,,,,,,"man vermittelst Aetzungen erhält, in welche Minium in was immer für eine Proportion vermischt",,,,,
"",,,,,,,ist,,,,,
5429,Schumann,Eduard,,,,,Beschreibung der Verbesserung des künstlichen Mineral-Zahnfleisches,Gebiß/künstliches,,Wien,1846,25.08.1846
5430,Roesch,Eduard,,,,,Erklärung des ... erfundenen Propulsions Prinzipes für Schiffsfahrzeuge ...,"Schiffsantrieb, Getriebe",,Wien,1847,04.11.1847
5431,Hofmann,C.L.,,,,,Beschreibung: Uiber Erzeugung der Compressions-Seife auf Talg und anderen Fettstoffen ...,"Unschlitt, Seife",,Wien,1849,23.01.1849
"",,,,,,,"Beschreibung einer Verbesserung an Heitzöfen, Kochherden, überhaupt an allen Feuerherden,",,,,,
5432,Frey,August Ferdinand,,,,,"welche besonders schlecht brennende Materiale consumiren, welche die Verbrennung","Ofen, Kochherd, Zugregulator",,Wien,1849,13.01.1849
"",,,,,,,vervollständigt und sich selbst regulirt,,,,,
"",,,,,,,"Beschreibung der Neuheit der hier noch nie bekannten Zuthaten, der Bindungsmittel und des",,,,,
5433,Heindoerffer,Daniel,,,,,,"Bimsstein, Künstlicher",,Wien,1850,21.03.1850
"",,,,,,,monnellen Verfahrens bey der Erzeugung künstlicher Bimssteine,,,,,
5434,Haussenbichler,Heinrich,,,,,Beschreibung der von mir erfundenen Kalkhochofen-Construction und Betriebsart,Kalkofen,,Wien,1850,13.02.1850
"",Managetta -,,,,,,"Beschreibung und Zeichnung zur Erfindung der Gefertigten, auf eine Maschine, wodurch die jetzt",,,,,
5435,,Albert R.v.,Quidde,August,,,,"Anlassen (Maschinen), Kurbelersatz",,Wien,1850,16.02.1850
"",Lerchenau,,,,,,statt findende Kraftverschwendung bei der Kurbel-Bewegung auf das Geringste vermieden wird,,,,,
"",,,,,,,... Erzeugung von unterschiedlichen Filzwaaren mittelst Anwendung einer neu erfundenen,,,,,
5437,Zelzer,Jakob,,,,,,"Filz, Walken, Filzglanz, Vogelbeersaft",,Wien,1844,21.09.1844
"",,,,,,,Substanz beym Walchem des Filzes ...,,,,,
"",,,,,,,"Beschreibung der beiliegenden Plane uiber die vom Gefertigten erfundenen Heitzapparate, Malz",,,,,
5438,Kliczka,Franz,,,,,,"Malzdörre, Dörrofen, Luftheizung",,Mallenowitz,1843,01.03.1843
"",,,,,,,mit erwärmter Luft zu dörren ...,,,,,
5439,Schindler,Friedrich,,,,,Beschreibung der neuen Verbesserung der Peruquen und Platten,Perücke,,Prag,1844,03.04.1844
