PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung eines Pumpwerks zum Gebrauch für Wirthe und jene Gattungen Menschen, die sich",,,,,
1656,Sandhaas,Johann,,,,,,"Weinpumpe, Bierpumpe, Gastwirt",Wien,,1827,30.06.1827
"",,,,,,,"mit Ausschenken von Getränken aller Art beschäftigen, und auch zur Bequemlichkeit",,,,,
"",Romer - Kiss -,,,,,,"Chloralkalien, Chlorzünder Fabrikation und Brennöhlläuterung ... Massa ... zum Schutze ... wieder","Zündhölzer, Bleichmittel, Masse gegen",,,,
1657,,Stephan Edl.v.,,,,,,,Wien,,1827,01.05.1827
"",Enyitzke,,,,,,Feuer und Nässe ...,Feuer und Nässe,,,,
1658,Gullmann,C.R.,,,,,Mechanischer Webstuhl. ... Beschreibung desselben ...,Webstuhl,Wien,,1827,12.06.1827
"",,,,,,,"Beschreibung und Erklährung ... des ... neuerfundenen Linier-Instruments, mit dem man einen",,,,,
1659,Pergamenter,Salomon,,,,,,Liniermaschine,Wien,,1827,23.05.1827
"",,,,,,,"ganzen Bogen auf einmahl mit Dinte oder Bleystifte, enge oder weit liniren kann",,,,,
"",,,,,,,"Beschreibung der ... Erfindung: daß Gedörrte Oedenburger Obst in Schachteln, mit einer Gewissen",,,,,
1660,Kalmar,Georg,,,,,,"Dörrobst, Schachtel, Konfitüre",Oedenburg,,1826,10.12.1826
"",,,,,,,"Gattung hirzu ferfertigten, in Rahmen, und unter Glaß wohl verschlossenen Bildern, zu verzieren",,,,,
"",,,,,,,"Beschreibung einer neuen Erfindung, um das Aufziehen der Papier Tapeten auf eine viel schnellere",,,,,
1661,Rahn,Heinrich,Spoerlin,Michael,,,,"Papier, Tapete, Kleister",Wien,,1827,18.06.1827
"",,,,,,,"und wohlfeilere Art zu bewerkstelligen, als bisher",,,,,
"",,,,,,,"Beschreibung der von mir befolgten Methode, dem Baumholze überhaupt, dann Brüken und",,,,,
1662,Hecker,Joseph,,,,,,"Bauholz, Imprägnierung/Holz",Wien,,1827,18.08.1827
"",,,,,,,Taggebäuden eine größere Dauer zu verschaffen,,,,,
"",,,,,,,Descrizione dell'Apparecchio per la preparazione delle Acque Gasose Medicinali ... [Medizinische,"Mineralwasser, Künstliches,",,,,
1664,Cassoni,Pietro Antonio,,,,,,,Valle di Ledro,,1827,30.04.1827
"",,,,,,,Mineralwassererzeugung],"Kohlensäureapparat, Sodawasser",,,,
1665,Albert,Karl,,,,,"Beschreibung über die ... Entdeckung, welche große Verbesserung im Salz-Sieden beträgt, ...","Kochsalz, Verdampfapparat",Wien,,1827,07.05.1827
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß: Alle Gattungen Tabakpfeifen und Röhre auf eine ganz",,,,,
1666,Selka,Franz,Selka,Joseph,,,,Tabakspfeife,Wien,,1827,22.08.1827
