PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,Genaue Beschreibung der ... neuen Verbesserung aller Arten auch mit Wachs überzogener,,,,,
"",,,,,,,"Unschlittkerzen, durch Bestreichung der Dochte/es mögen garnene, baumwollene oder hohle",,,,,
364,Frenkel,Ignaz,,,,,,"Kerze, Seife, Unschlitt, Docht",Wien,,1826,30.05.1826
"",,,,,,,"seyn/ mit untern beschriebener Compositions Masse, ... und aus den Abfällen und Uiberbleibseln",,,,,
"",,,,,,,aller Art Hals-Wäsch-Fleck Hand- und Galanterie Seife zu erzeugen,,,,,
"",,,,,,,Beschreibung der Erzeugung mit Wachsdochten versehener ökonomischer ausnehmend hell,,,,,
365,Perl,Jakob,,,,,,"Kerze, Unschlitt",Wien,,1825,10.02.1825
"",,,,,,,brennender und wohlrichender Unschlitt-Tafelkerzen,,,,,
366,Schlesinger,Anton,,,,,Erzeugungsmethode der argantischen Kerzendochte,"Docht, Kerze",Wien,,1826,21.06.1826
"",,,,,,,"... zeigt ... an, eine neue Entdeckung gemacht zu haben, welche ... darin besteht, daß er 1) aus",,,,,
367,Sturm,Johann,,,,,"einem Talg Wachsähnliche Kerzen, ... zu erzeugen imstande ist ... 2) daß die von diesem Fettwachs","Kerze, Unschlitt",Wien,,1825,23.02.1825
"",,,,,,,verfärtigten ... Kerzen viel länger brennen ...,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß derselbe eine Laterne mit",,,,,
368,Routschek,Franz,,,,,,Laterne,Karolinenthal,,1823,08.04.1823
"",,,,,,,"barambolischen Rewapeursschein verfertigt, ...",,,,,
"",,,,,,,,"Feldmeßtisch, Geodätische",,,,
369,Kraft,Eduard K.,,,,,Beschreibung des verbesserten Feldmeßtisches,,Wien,,1828,10.02.1828
"",,,,,,,,Instrumente,,,,
370,Hansch,Anton Georg,,,,,Beschreibung des 3 und 4 färbigen Siegllackes,"Siegellack, Färben/Siegellack",Wien,,1827,11.02.1827
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, Siegellack in den verschiedensten ...",,,,,
371,Zegelaar,Jakob,,,,,"Farben, theils einfärbig, theils marmoriert, so wie auch einen ... Stöpselsiegellack ... mittels der",Siegellack,Wien,,1827,01.05.1827
"",,,,,,,Maschine ... zu verfertigen ...,,,,,
372,Bozzoni,Faustino,,,,,"Descrizione del miglioramento, che ... consiste in un Tubo di ferro, con spira ...","Heu, Heubohrer",San Zeno,,1826,16.06.1826
373,Schnell,Johann Konrad,,,,,Beschreibung der ... erfundenen Schiffs-Maschinen,"Wasserrad, Schiffsantrieb",Lindau,,1826,10.02.1826
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: Ein Köllnerwasser aus Balsamen und",,,,,
374,Reimelt,Florian,,,,,"Oehlen, dem ächten gleich, nach beliebigen Graden der Stärke des Spiritus und mehrere","Parfüm, Likör, Spiritus",Wien,,1828,30.08.1828
"",,,,,,,"Gattungen Liqueure zu verfertigen, ...",,,,,
"",,,,,,,"Beschreibung und Zeichnung 1. Ein Wagen mit zwey Räder mit Ein und Doppelstangen, der Kasten",,,,,
375,Reischl,Johann,,,,,,"Wagen, Wetterdach",Wien,,1825,05.12.1825
"",,,,,,,"hat die Aehnlichkeit eines Schwimmers, ... 2. Ein Kalesch mit beweglicher lederner Bedachung, ...",,,,,
376,Jetter,Ludwig,,,,,Genaue Beschreibung ... der ... gemachten neuen Verbesserung an Braupfannen,"Bier, Braupfanne",Wien,,1827,22.10.1827
"",,,,,,,Beschreibung der ... neu erfundenen Apparate und Methoden thierische Gallerte zu bereiten und,,,,,
377,Krause,Ludwig August,,,,,,Gallerte,Wien,,1824,22.02.1824
"",,,,,,,die daraus bestehenden Präparate zu verfertigen,,,,,
378,Du Bois,Joseph,,,,,Beschreibung der Fabrikation des Gesundheits-Bieres,"Bier, Spiritus",Wien,,1822,30.04.1822
"",,,,,,,"Descrizione dell'invenzione che ... consiste in un pestatojo ossia Tollo, ed un torchio ossia",,,,,
379,Dalmaso,Giovanni,,,,,,"Papier, Stampfwerk, Hadern",Innsbruck,,1823,21.05.1823
"",,,,,,,"soppressa, ...",,,,,
