PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung unserer gemachten Entdekung und Erfindung eines Leimes, welcher cristallen rein,",,,,,
2936,Brisker,Markus,Pollak,Aron,,,"geruchslos im Gebrauche ist und die hiemit verfertigten Gegenstände vom eindringen der Leim, Holzschutz",,Wien,,1841,30.08.1841
"",,,,,,,Würmer u. jeder Insecten verhittet,,,,,
"",,,,,,,"Descrizione della nuova macchina per trebbiare il frumento, e Separarlo dalle Spiche ...",,,,,
2937,Giulitti,Giuseppe,,,,,Dreschmaschine,,Montechiara,,1835,13.07.1835
"",,,,,,,[Dreschmaschine],,,,,
2938,Ratti,Giuseppe,Ratti,Ignazio,,,"Descrizione di un nuovo naspo specialmente per uso d'incannatojo da Seta Seidenhaspel, Spulmaschine",,Como,,1835,04.03.1835
"",,,,,,,"Beschreibung meiner wesentlichen Verbesserung in der Fabrikation der Federkiele, sowohl in",,,,,
2939,Bamberger,Joachim,,,,,Schreibfeder,,Prag,,1837,16.06.1837
"",,,,,,,Bezug auf die Beitze als auch auf die dabei erforderliche Zugmaschine ...,,,,,
"",,,,,,,Beschreibung des ... Privilegiums auf die Erfindung den Hafer mittelst Maschinen so zuzubereiten,,,,,
2940,Staudinger,Heinrich,,,,,"daß: 1. Die Zähne der Pferde geschont werden, 2. Der Verdauungsprozeß leichter vor sich gehen Haferquetsche",,Wien,,1840,20.10.1840
"",,,,,,,kann ... 3. das 1/3 Theil ... erübrigt werden kann ...,,,,,
"",,,,,,,"Darstellung und Beschreibung eines neu erfundenen Lakkes für feine Gemählde, Kupferstiche,",,,,,
2941,Berger,Karl Wilhelm,,,,,"Lack, Lederlack",,Wien,,1837,25.02.1837
"",,,,,,,"Papiere, Holz, coulirte Leder, und die daraus verfertigte Arbeiten, Bronce- und Metallwaaren",,,,,
"",,,,,,,Beschreibung meiner neuen Erfindung eines Filzstoffes zur Uiberziehung der Hammköpfe bei den,,,,,
2942,Frenzel,Karl,,,,,"Filz, Hammerkopf, Klavier",,Wien,,1840,11.02.1840
"",,,,,,,Klavier-Instrumenten,,,,,
2943,Lesire,Joseph,,,,,Beschreibung des Planes der ... erfundenen Maschine zur Ziegel-Erzeugung [Text frz.u.dt.] Ziegelmaschine,,Wien,,1840,21.01.1840
"",,,,,,,"Beschreibung der Dampf-Apparate zum Appretiren der Seidenstoffe und Bänder, sowie auch aller Seidenstoff, Band, Wollwaren,",,,,,
2944,Hafen,Joseph,,,,,,,Wien,,1840,30.03.1840
"",,,,,,,Gattungen Schafwollwaaren Appreturmaschine,,,,,
"",,,,,,,"Plastische Masse, Spiegelrahmen,",,,,,
2945,Ulrich,Christian,,,,,Beschreibung der Massa. Verbesserung bei Verbakung der Ausgeschweiften Rahmen,,Wien,,1840,04.08.1840
"",,,,,,,Pressen,,,,,
"",,,,,,,"Beschreibung über das ... Privileg einer neuen Verfahrungs-Art, allen Gattungen Nägl, durch",,,,,
2946,Mayer,Blasius,,,,,"Nagel, Schneidemaschine",,Wien,,1826,01.01.1826
"",,,,,,,"Maschinen, größtentheils ohne, theils mit Beyhilfe des Feuers zu erzeugen ...",,,,,
2947,Ries,Joseph F.,,,,,Beschreibung der ... Verbesserung auf tafelform Pianoforte ... Klavier,,Wien,,1840,07.04.1840
"",,,,,,,"Beschreibung ... auf die Erzeugung der bei ihm bisher schon bekannten, doppelten, drei, viert,",,,,,
2948,Contriner,Franz,,,,,Pistole,,Wien,,1840,20.12.1840
"",,,,,,,"fünft, sechs, acht und mehrfache Drehpistoll, ...",,,,,
"",,,,,,,Beschreibung der ... Verbesserung an den stehenden runden Porzellan der Steingut-Brennöfen mit,,,,,
