PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung ... Erfindung, welche ... darin bestehet: Eine neue Erfindung Seidenhütte zu",,,,,,
1608,Huberth,Johann,,,,,,Hut,,Wien,,1826,30.03.1826
"",,,,,,,"erzeugen, ...",,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ...: 1.) das Abscheiden des Silber und Goldes von Kupfer,",,,,,,
"",,,,,,,"Messing, Holz und anderen Körpern ... 2. Eine bey der Manipulation selbst sich erzeugende","Goldscheidung, Silberscheidung,",,,,,
1609,Nackh,Joseph,,,,,,,,Wien,,1826,05.04.1826
"",,,,,,,"Materie ... zu verwenden 3.) Die beim Scheiden ... sich darbiethende Säure, welche ich zum",Scheidwasser,,,,,
"",,,,,,,"Scheidewasser verwende, ... 4.) Viele Mühe, Zeit und Kosten einspart ...",,,,,,
"",,,,,,,,,,Hof/Kreis,,,
"",,,,,,,"Beschreibung eines neu erfundenen hydrostatischen Doppelbläsers, und Verbesserung der",,,,,,
1610,Baumgaertel,Lorenz,Pantz,Ignaz v.,,,,Gebläse,,Neustadtl/Schle,,1825,
"",,,,,,,bekannten jetzt üblichen hydrostatisch-hydraulisch- oder Baaderschen Gebläses,,,,,,
"",,,,,,,,,,sien,,,
"",,,,,,,Beschreibung der ... Erfindung welche ... in einer Handzimmerputzmaschine in zwey Formen,,,,,,
1611,Hoffinger,Vinzenz,,,,,,"Fußbodenbürste, Parkettbürste",,Wien,,1826,01.04.1826
"",,,,,,,"besteht, wovon eine zum sitzenden und die andere zum stehenden Gebrauche geeignet ist, ...",,,,,,
"",,,,,,,"... zeigt ... an, eine neue Verbesserung gemacht zu haben, ..., daß er alle Gattungen Männerkleider",,,,,,
1612,Feldmueller,Anton,,,,,,"Kleidung, Schneiderei",,Wien,,1826,20.02.1826
"",,,,,,,"in einem hohen Grade verbessere, ...",,,,,,
1613,Fuchs,Carl (Karl),,,,,Beschreibung der ... an der von Anton Häckl erfundenen Physharmonika gemachten Verbesserung,"Physharmonika, Musikinstrument",,Wien,,1826,09.05.1826
"",,,,,,,Beschreibung der Erfindung: auf einer Droßelmaschine mit einer ganz neuen und besonderen,,,,,,
1614,Caspar,Johann Jakob,Conradi,Georg,,,,"Spinnmaschine, Garn",,Wien,,1826,15.06.1826
"",,,,,,,Gattung Spul-Spindeln Mule- und Medio Twist zu erzeugen,,,,,,
"",,,,,,,Genaue und Verlaessliche Beschreibung ... über ein ... verbeßertes Spodium oder Chemisch reine,,,,,,
1615,Kloiber,Wilhelm,,,,,,"Knochenkohle, Oel",,Wien,,1826,16.06.1826
"",,,,,,,"Thierische Kohle, nebst der in Verbindung mit diesem zu erzeugende Brennfette, ...",,,,,,
1616,Weber,Anton,,,,,"Beschreibung der neu entdeckten Verbesserung der arcantischen Cilinder Lampe, ...",Lampe,,Wien,,1826,15.07.1826
"",,,,,,,"Beschreibung der ... Erfindung, ...: Bei allen Gattungen von Schlössern eine solche Vorrichtung zu",,,,,,
1617,Tosi,Giovanni Battista,,,,,"treffen, daß sie, weder mit einfachen, noch mit zusammengesetzten Dietrichen aufgesperrt ...","Schloß, Schlüssel",,Wien,,1826,17.07.1826
"",,,,,,,werden können ... [Text ital.],,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...A) TaschenUhren ... zu verfertigen, daß dergleichen Uhren nicht",,,,,,
"",,,,,,,"mit Uhrschlüsseln, sondern durch eine ... im Obertheil des Uhrgehäuses angebrachte Vorrichtung","Uhr, Aufziehmechanismus,",,,,,
1618,Dorer,Franz Joseph,,,,,,,,Wien,,1826,19.08.1826
"",,,,,,,aufgezogen werden können. 2. Durch eine zweite Vorrichtung die Gezeiger von außen ... zu,Stellmechanismus,,,,,
"",,,,,,,"drehen sind, ... B) Uhrschlüssel von jedem beliebigen Metall zu verfertigen, ...",,,,,,
"",,,,,,,Beschreibung der ... Verbesserung der vom Herrn Gancel Mechaniker zu Cambraj erfundenen,,,,,,
1619,Feichter,Martin,,,,,,Feuerspritze,,Bruneck,,1826,09.07.1826
"",,,,,,,Feuerspritze,,,,,,
1620,Lafite,Friedrich,,,,,Beschreibung der Kerzen-Erzeugung. Beschreibung der Seifen-Erzeugung,"Unschlitt, Kerze, Seife",,Graz,,1826,10.08.1826
1621,Siebert,Klara,,,,,"Beschreibung der ... Entdekkung: eine neue Art Schnüre /:Iris-Schnüre:/ zu verfertigen, ...",Kordel,,Wien,,1826,07.09.1826
1622,Sterz,Vinzenz,,,,,"Verfahrungsart das Papier gleich in der Massa, oder im Holländer zu leimen","Papier, Leimen/Papier",,Franzensthal,,1826,29.08.1826
1623,Schmidbauer,Joseph,,,,,Neu erfundene weingeistige Kopal-Politur,"Politur, Dampfdruckflasche",,Wien,,1826,12.09.1826
"",,,,,,,"Beschreibung über eine Verbesserung an den von mir verfertigten Fortepiano, es sey in Flügel",,,,,,
1624,Leschen,Wilhelm,,,,,,Klavier,,Wien,,1826,15.09.1826
"",,,,,,,oder Tafelform ...,,,,,,
"",,,,,,,"Beschreibung der neuerfundenen Maschine zur Verfertigung des echten Spitzengrundes,",,,,,,
1625,Scheller,Johann Andreas,& Co,,,,,"Bobinetmaschine, Tüll",,Wien,,1826,20.10.1826
"",,,,,,,"sogenannten Tull anglais, oder auch Bobinet's",,,,,,
"",,,,,,,"Zubereitung des Aromatisch Egipt: Aethers, sodann des wohlrichenden Christall-Wassers, und der",,,,,,
1626,Engel,Franz,,,,,,"Parfüm, Aether, Luftreiniger",,Budapest,,1826,23.04.1826
"",,,,,,,"Engelschen Zimmerluft reinigungs Blätter, ...",,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, Gold-, Silber-, Seiden- und Harras-Czako-Borten in halbrunder",,,,,,
1627,Herzog,Anton,,,,,"Form, welche, ohne in Falten gelegt zu werden, an die Czakos geheftet werden können, ebenso","Tschako, Borte, Bandstuhl",,Wien,,1826,13.10.1826
"",,,,,,,"schnell wie die geraden Borten, und in Stücken von beliebiger Länge zu verfertigen",,,,,,
1628,Kling,Franz,,,,,Art der Verfertigung der auf Seiden- und Weberstühlen bereiteten Halskroaten und Halsbinden,"Krawatte, Schal",,Wien,,1826,12.10.1826
"",,,,,,,"... zeiget ... an, eine neue Verbesserung gemacht zu haben, ..., daß er durch seine Erfindung eine",,,,,,
1629,Luger,Johann,,,,,,Billardstock,,Wien,,1826,17.11.1826
"",,,,,,,vortheilhafte Verbesserung für das Billard-Spiel an dem Keuhs erfunden hat,,,,,,
"",,,,,,,Neue Verbesserung der FortePianos mit Resonanzboden über den Saiten (und einem von Eisen,,,,,,
1630,Goll,Johann Jakob,,,,,,"Klavier, Resonanzboden",,Wien,,1826,24.10.1826
"",,,,,,,gegossenen Resonanzrahmen),,,,,,
"",,,,,,,"Descrizione della Macchina che serve a fare la dentatura alle ruote con soma solecitudine, e",,,,,,
"",,,,,,,,"Zahnrad, Räderschneidemaschine,",,,,,
1631,Torri,Antonio,,,,,"precisione, e taliare li pignoni dacajo secorenti alla fabbricazione degli Orologi",,,Milano,,1826,16.10.1826
"",,,,,,,,"Fräsmaschine/Metall, Pendeluhr",,,,,
"",,,,,,,[Zahnräderschneidemaschine für Pendeluhren],,,,,,
"",,,,,,,"Descrizione dell'invenzione che ... consiste in una fontana di condensazione, ...",,,,,,
1632,Crivelli,Antonio,,,,,,"Brunnen, Kondensatorpumpe, Pumpe",,Milano,,1826,02.11.1826
"",,,,,,,[Verdichtungsbrunnen],,,,,,
