PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"werben auf ein Privilegium exclusivum, die Verbesserung der Holz-Zargen bereitung betreffend,",,,,,
"",,,,,,,"welche darin besteht, daß: 1. Mittelst eines Walzwerks auszeichnend schönere Zargen als bishero",,,,,
1097,Renhofer,Jakob,Zeilinger,Joseph,,,erzeugt werden. 2. Jedes Holz dazu verwendet werden kann. 3. Mittelst dieser Maschine mit 2,"Rahmen, Fräsmaschine/Holz",Wien,,1829,18.09.1829
"",,,,,,,"Menschen in 3 Stunden eben so viele Waare erzeugt werden kann, als die gleiche Anzahl von",,,,,
"",,,,,,,Arbeiter früher in 24 Stunden aufzubringen im Stande war,,,,,
"",,,,,,,Descrizione del miglioramento che ... consiste in un nuovo metodo economico di sua invenzione,,,,,
"",,,,,,,"per fabbricare la carta, ed i cartoni d'ogni qualità colla paglia amalgamata con stracci ..., con rivio,","Strohpapier, Packpapier, Pappe,",,,,
1098,Osio,Angelo,,,,,,,Milano,,1826,04.12.1826
"",,,,,,,"e con cordame usato ... [Strohpapier mit Beimischung von Hadern, Wergabfall und gebrauchtem","Hadern, Wergabfall, Strickereiabfall",,,,
"",,,,,,,Strickzeug],,,,,
1099,Klaber,Jakob,Loewy,Ezechiel,,,Beschreibung unserer Verbesserung der böhmischen Federkiele,Schreibfeder,Prag,,1832,24.09.1832
"",,,,,,,"Descrizione della nuova Scoperta che ... consiste in un fermento economico atto a scomporre, e",,,,,
1100,Schutel,Giovanni Giacomo,,,,,"far subire una fermentazione spiritosa a tutte le materie zuccherine, e Saccarine per ottererre","Ferment, Alkohol, Gärapparat, Likör",Milano,,1825,25.05.1825
"",,,,,,,l'alcooli [Ferment zur Alkoholbereitung],,,,,
"",,,,,,,Beschreibung des ... Privilegiums auf Verfertigung neu verbesserter Männerkleider nach,,,,,
1101,Gopp,Philipp,,,,,,"Kleidung, Schneiderei",Wien,,1832,12.09.1832
"",,,,,,,"englischer Art, ...",,,,,
"",,,,,,,"Beschreibung der Erfindung, nach Verbesserung eines ganz einfachen Maaßes, alle Gattungen",,,,,
"",,,,,,,"Herrenkleider nach den Grundsätzen der Trigometrie sehr schnell und richtig zuzuschneiden, und",,,,,
1102,Fischer,Anton,,,,,,"Kleidung, Maßnehmen, Zuschneiden",Wien,,1832,01.04.1832
"",,,,,,,"darnach zu verfertigen, welche nach jeder Proportion des Körpers, und bei jeder Veränderung der",,,,,
"",,,,,,,Mode ... entsprechend sind,,,,,
"",,,,,,,Beschreibung der ... Erfindung eines Charnier und Hebel Druckwerkes für Baumwoll Vor- und,"Spinnmaschine,",,,,
1103,Schultus,Franz,,,,,,,Wien,,1827,27.08.1827
"",,,,,,,"Feinspinnmaschinen, als auch für Baumwoll Streckwerke im Sistem von 2,3 und 4 Cilindern, ...",Vorbereitungsmaschine,,,,
"",,,,,,,"Descrizione dell'invenzione, che ... consiste nella riproduzione dell'arte antica di perduta e",,,,,
1104,Bertini,Giovanni,Brenta,Luigi,,,dimenticata di colorare a fuoco lastre di vetro di varie dimensioni ... [Glasplatten im Feuer zu,"Glasmalerei, Muffelofen",Milano,,1827,05.07.1827
"",,,,,,,färben],,,,,
"",,,,,,,"Laminoir oder Walzwerk, Walze zum Drahtziehen, Hebel an welchem 3 Messer angebracht sind,","Walzwerk, Drahtziehen,",,,,
1105,Paravicini,Samuel v.,,,,,,,Bergamo,,1826,10.03.1826
"",,,,,,,um das Gewinde von 3 Schrauben zugleich zu schneiden,"Gewindeschneiden, Schraube",,,,
"",,,,,,,"Descrizione della Scoperta, invenzione e dei miglioramenti chi ... consistono ... 1. In vari lieviti",,,,,
"",,,,,,,"artificiali, e naturali ... e servono per ... fermentazione cioè del pane, delle paste dolci, delle",,,,,
1106,Huber,Vincenzo,Schutel,Enrico,,,"sostanze zuccherine, spiritale ed acitose, ... 2. Nel scolorare, e rendere bianco come l'acqua","Hefe, Entfärben, Knochenkohle",Milano,,1825,12.12.1825
