PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung der ... Erfindung, ..., daß: den - mit ächten wie mit künstlicherzeugten Asphalt -",,,,,
"",,,,,,,,,"Asphalt, Straßenpflasterung,",,,,
"",,,,,,,,"belegten Flächen, allerley Farben gegeben werden können; welche Farben sich niemals",,,,,
3806,Macovitz,Karl,,,,,,,"Färben/Asphalt, Farbenglasscherben,",Wien,,1840,09.05.1840
"",,,,,,,,"verändern, ihre erste Frische und Lebhaftigkeit immerwährend behalten, so wie dieselben auch in",,,,,
"",,,,,,,,,Glasmosaik,,,,
"",,,,,,,,"allen Schattierungen ... ausführbar sind, ...",,,,,
"",,,,,,,,Descrizione dell'invenzione che ... consiste in una macchina idraulica da lui chiamata l'Insoziabile ...,,,,,
3807,Panizzini,Carlo Giuseppe,,,,,,,Pumpe,Milano,,1840,30.01.1840
"",,,,,,,,[Pumpe],,,,,
"",,,,,,,,"Genaue Beschreibung des verbesserten Verfahrens ..., Pflanzenzucker vortheilhafter zu bereiten,","Zuckerlösung, Fällung, Klärmittel,",,,,
3808,Wilczek,Franz,,,,,,,,Teschen,,1840,07.04.1840
"",,,,,,,,... mittelst überall vorkommender sehr wohlfeiler Läuterungsstoffe in einem Zuge ...,Verdampfapparat,,,,
"",,,,,,,,Descrizione della nuova invenzione ... che consiste in sostanza nell'addattare dei remi ad ala,,,,,
3809,Manzi,Carlo,,,,,,,"Ruderschaufel, Getriebe, Schiffsantrieb",Milano,,1841,22.05.1841
"",,,,,,,,mobile in costituzione delle ruote ... [Rudermechanismus],,,,,
"",,,,,,,,Beschreibung samt Zeichnung der ... Erfindung in der Verfertigung aller Gattungen Mänlicher,,,,,
3810,Neumann,Vinzenz,,,,,,,"Hut, Tschako",Wien,,1842,13.06.1842
"",,,,,,,,"Kopfbedeckungen, vorzüglich in der Verfertigung Militär Hüte und Czakos, ...",,,,,
"",,,,,,,,Beschreibung der ganz einfachen und in allen Theilen verbesserten Construction der Eisenbahn,"Lokomotive, Umsteuerung,",,,,
3811,Armbruster,Fidelius,,Buehler,Heinrich,,,,,Wien,,1842,10.03.1842
"",,,,,,,,Locomotive,"Speisepumpe, Sandkasten",,,,
"",,,,,,,,,"Waschmaschine, Federnreinigung,",,,,
"",,,,,,,,Beschreibung einer Dampf-Sud-Wasch-Reinigungs-Trocken-Roll- und Bügelanstalt für Leinen und,,,,,
3812,Kurth,Eduard,,,,,,,"Wollwäsche, Trockenapparat,",Wien,,1843,06.05.1843
"",,,,,,,,"Baumwollwäsche, Bettfedern oder rohe Producte",,,,,
"",,,,,,,,,Wäscherolle,,,,
"",,,,,,,,,"Alaunschiefer, Auslaugen, Bleikammer,",,,,
"",,,,,,,,,"Schwefelbrenner, Vitriolofen,",,,,
"",,,,,,,,Beschreibung der Vervollkommnung in der Fabrikation der rauchenden und englischen,,Weisgrün/Böhm,,,
3813,Anthon,Ernst Friedrich,,,,,,,"Destillierapparat, Schwefelsäure,",,,1843,20.04.1843
"",,,,,,,,Schwefelsäure,,en,,,
"",,,,,,,,,"Konzentrierte,",,,,
"",,,,,,,,,Schwefelsäuremonohydrat,,,,
"",,,,,,,,"Beschreibung samt Zeichnung der von Bernard Manière aus Paris ... angezeigten Erfindung,","Kreosotöl, Azeton, Eupion, Picamar,",,,,
"",,,,,,,,"welche in der Wesenheit besteht in der Composition einer neuen Flüßigkeit zur Beleuchtung,","Paraffinöl, Pinolin, Asphaltöl,",,,,
3814,Manière,Bernard,,,,,,,,Wien,,1843,25.04.1843
"",,,,,,,,"gazogène genannt, sowie in einem Gas-Apparat, sogenanntem Schnabel, welcher besondere ...","Leuchtstoff, Lampe, Vergaser,",,,,
"",,,,,,,,"Vortheile darbiethet, ..., die Flamme nach Willkühr zu regulieren u. ... auszulöschen",Schnabel,,,,
3815,Mach,Johann,,,,,,"Beschreibung der ... erfundenen Schattenlose Pumpenlampe, ...",Lampe,Wien,,1844,18.06.1844
"",,,,,,,,"Beschreibung und Zeichnung einer neuen Erfindung /:Verbesserung:/, ..., zu verhindern, daß alle",,,,,
"",,Karl Ludwig,,,,,,"jene Gewehre, welche lange getragen werden müssen, u. dabey dem Schütteln ausgesetzt sind,",,,,,
3816,Heurteloup,,,,,,,,Gewehrschloß,Wien,,1844,20.03.1844
"",,Stanislaus Baron,,,,,,"..., keine solche Quantität von dem im Zünder enthaltenen Knallpulver verlieren, daß der Zünder,",,,,,
"",,,,,,,,"..., versagen könne, sondern die Ladung unfehlbar entzünden müsse",,,,,
"",,,,,,,,,"Plastische Masse, Walze, Presse,",,,,
"",,,,,,,,,"Modellieren, Kunststein,",,,,
"",,,,,,,,"Beschreibung unserer erfundenen Steinmassa, die wir neu deutscher Marmor nennen, und der ihr",,,,,
3817,Hirschfeld,Wilhelm Karl,,Wagner,Johann,,,,"Kunstmarmor, Pflasterstein,",Wien,,1844,18.04.1844
"",,,,,,,,Eigenen Benützung,,,,,
"",,,,,,,,,"Wandverkleidung, Mörtel,",,,,
"",,,,,,,,,Feuchtigkeitsschutz,,,,
"",,,,,,,,"Beschreibung ... auf eine Erfindung einer mechanischen Vorrichtung, wodurch man mit allen",,,,,
3818,Rheydt,Ferdinand,,,,,,Gattungen Schiffen strom auf- und abwärts durch die bloße Kraft des Wasserstromes gefahrlos,Kettenschleppschifffahrt,Wien,,1844,11.01.1844
"",,,,,,,,fahren kann,,,,,
"",,,,,,,,Bevollmächtigter d. Leipzig-Dresdner Eisenbahn Comp.: Beschreibung u. Zeichnung ... für eine,,,,,
"",,,,,,,,,"Eisenbahnwagen, Wagenrad,",,,,
3819,Busse,Friedrich,,,,,,"neuerfundene Art Construction der Achsenbüchsen, Achsen- und Wellen-Lager, Schmier-Apparat",,Leipzig,,1844,28.03.1844
"",,,,,,,,,"Schmierbüchse, Schmiermittel",,,,
"",,,,,,,,und Schmiermittel der Eisenbahn-Räder u. deren Axen,,,,,
3820,Kolarz,Ignaz,,,,,,Beschreibung der von mir erfundenen neuen Cigarrenmesser samt Cigarrenhältern,"Zigarrenhalter, Zigarrenspitzenmesser",Wien,,1844,09.07.1844
3821,Abl,Ferdinand,,Sorolzinski,Joseph,,,Beschreibung des verbesserten sogenannten dampfbiegeleisens,Bügeleisen,Proßnitz,,1840,27.02.1840
3822,Spieler,Leonhard,,,,,,Genaue Beschreibung der Form der neu erfundenen Parquettafel,Parkettboden,Prag,,1843,16.05.1843
"",,,,,,,,"Beschreibung eines neuen mechanischen Webestuhles, um Leinen, Hanf, Baumwolle, Cachemir,","Leinwand, Baumwolle, Kaschmir,",,,,
3823,Busse,Thomas,,,,,,,,Hamburg,,1840,01.01.1840
"",,,,,,,,und Seidenstoffe zu verfertigen,"Seidenstoff, Webstuhl",,,,
"",,,,,,,,Nuovo miglioramento sulla misurazione dei fluidi e dei  recipienti che lo contengono,,,,,
3824,Wanaxel,Luigi,,,,,,,Flüssigkeitsmessung,Trieste,,1840,17.12.1840
"",,,,,,,,[Flüssigkeitenmessung in allen möglichen Gefäßen],,,,,
"",,,,,,,,"Beschreibung der neuen Erfindung, welche darin besteht, in einer neuen verstellbaren Expansions-","Dampfmaschine, Lokomotive,",,,,
3825,Speer,Christian,,Schloss,Moritz Wilhelm,,,,,Wien,,1843,17.02.1843
"",,,,,,,,Vorrichtung für stationäre Dampfmaschinen und für Locomotive,"Schieber, Steuerung",,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ...: Mittelst einer ... Maschine die Goldabfälle ... durch ein",,,,,
"",,,,,,,,"vortheilhaftes Verfahren zur ... abermaligen Verarbeitung ... gewonnen werden könne, und",,,,,
3826,Scharneck,Christoph Heinrich,,,,,,,"Goldkrätze, Fällung, Gold",Wien,,1843,08.05.1843
"",,,,,,,,"worüber die Probe bereits Sr. Durchlaucht dem Herrn Haus-, Hof- u. Staatskanzler Fürst v.",,,,,
"",,,,,,,,Metternich unterbreitet worden ist,,,,,
