PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,Beschreibung der zur Bewirkung des vollkommen gleichförmigen Ganges einer Thurm-Uhr,,,,,,
"",,,,,,,"hergestellten Verbindung derselben mit einer regulierenden Pendeluhr, und der zur Erreichung",,,,,,
119,Geist,Joseph,,,,,,Turmuhr,,Graz,,1823,10.11.1823
"",,,,,,,"eben dieser ganz genauen Gleichförmigkeit für Thurm, und alle anderen Uhren erfundenen",,,,,,
"",,,,,,,vollkommen freyen Hemmung,,,,,,
120,Strobl,Johann Richard,,,,,Beschreibung des ... zu verfertigenden chemischen Tintenpulvers,Tinte,,Matrei,,1821,24.10.1821
"",,,,,,,"Beschreibung einer in dem orgelmäßigen Zungewerk angebrachten Verbesserung, welche darin",,,,,,
121,Rosenberger,Michael,,,,,"besteht: daß durch eine darin befestigte halbzirkelförmige Metalfeder, durch welche eine",Orgelpfeife,,Wien,,1826,06.03.1826
"",,,,,,,"metallene Schraube läuft, das Zungenwerk gestimmt und unverstimmbar gehalten wird",,,,,,
"",,Giuseppe,,,,,,,,,,,
122,Morosi,,,,,,Descrizione dei mezzi ... nella fabricazione della macchina Trebbiatojo da riso ...,Dreschmaschine/Reis,,Milano,,1818,26.09.1818
"",,Cavalliere,,,,,,,,,,,
123,Biffi,Felice,,,,,Maniera con cui si tinge il Cotone colore Nankin resistente al binote,"Baumwollstoff, Farbe",,,,1826,
124,Giudice,Carlo,,,,,Raccolta di diverse Macchine idrauliche ed altre di diversa specie,Wasserkraftmaschine,,Como,,1806,14.06.1806
"",,,,,,,"Beschreibung der ... Entdeckkung, welche ... darin besteht, daß a) mittelst neuer neu erprobt",,,,,,
"",,,,,,,"befundenen Getreidefruchtfolge, b) durch nur neue Bebauungs- und Behandlungsart des Klees,",,,,,,
"",,,,,,,,"Getreide/Fruchtfolge,",,,,,
125,Rossmann,Joseph,,,,,und c) durch Verwendung aller baaren Auslagen für die Anschaffung des hiezu erforderlichen,,,Bezdickau,,1823,17.03.1823
"",,,,,,,,"Fruchtfolge/Getreide, Klee",,,,,
"",,,,,,,Kleesamens ...; wobey noch d) ein merklicher Theil an Zugarbeit erspart und zu anderen,,,,,,
"",,,,,,,Wirtschaftsverbesserungen verwendet werden kann,,,,,,
"",,,,,,,"Arcanum über das ... erfundene Mittel, welches ... darin besteht, den Brandwein aus Gefäßen zu",,,,,,
126,Selka,Vinzenz Jakob,,,,,,Branntwein,,Wien,,1823,24.01.1823
"",,,,,,,"erzeugen, die der Gesundheit unschädlich sind, nämlich der zinnernen Kessel, ...",,,,,,
127,Simon,Johann,,,,,Zeichnung und Beschreibung des ... erfundenen Zirkels,Zirkel,,Wien,,1823,06.09.1823
"",,,,,,,"Beschreibung der Entdeckung, oder Verbesserung, welche darin besteht, daß sie eine Art Filzung",,,,,,
129,Tuscany,Anton Basil,Tuscany,Johann Wenzel,,,,"Filz, Decke, Tuch",,Prag,,1822,13.07.1822
"",,,,,,,von Decken und gemeinen Tüchern erfunden ...,,,,,,
130,Ferst,Peter,,,,,"Beschreibung meines Verfahrens zur Erzeugung des Branntweines und Essigs, ...","Essig, Branntwein",,Wien,,1823,22.10.1823
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß: da bey der gewöhnlich musikalischen",,,,,,
"",,,,,,,"Maschinen - sonst Orchestrion genannt - welche ... bis nun durch die Kälte oder Wärme,",,,,,,
131,Maelzel,Leonhard,,,,,"Trokkenheit oder Feuchtigkeit so sehr leiden, ... durch die einfachste Methode,  nämlich statt der",Orchestrion,,Wien,,1823,22.07.1823
"",,,,,,,"bis nun gebrauchten Züge, Ventile zu appliciren, von der Kälte noch Wärme, weiter Feuchtigkeit",,,,,,
