Name	Place	Description	Pdf
Merlini frères	à Florence	Tableaux en mosaïque	Paris_1878_Italy_18.jpg
Montelatici (J.)	à Florence	Objets en mosaïque	Paris_1878_Italy_18.jpg
Novelli (L.) et Cie	à Florence	Objets en mosaïque de Florence	Paris_1878_Italy_18.jpg
Panieera Besarel (V. et F.) frères	à Venise	Cheminée en marbre de Carrare	Paris_1878_Italy_18.jpg
Pegrassi (F.)	à Verone	Cheminée en marbre, style du XVe siècle	Paris_1878_Italy_18.jpg
Rainaldi (J.)	à Rome	Temple de Saturne, exécuté en marbre rouge et jaune	Paris_1878_Italy_18.jpg
Rampin (L.)	à Padoue	Vases en cartons préparés avec enduit de plâtre, et ornements gravés.	Paris_1878_Italy_18.jpg
		34 bis	Paris_1878_Italy_18.jpg
Roceheggiani (C.)	à Rome	Tableaux en mosaïque de Rome	Paris_1878_Italy_18.jpg
Romanelli (F.)	à Florence	Candélabre, consoles, bas-reliefs, jardinière en noyer sculpté, une vierge en jujubier sculpté	Paris_1878_Italy_18.jpg
Salomoni (S.)	à Fermo (Ascoli-Piceno)	Cadres en bois de sorbier, jujubier sculptés, style du XVe siècle.	Paris_1878_Italy_18.jpg
Seappini (J.)	à Florence	Coffret en ébène avec mosaïque; divers objets en mosaïque.	Paris_1878_Italy_18.jpg
Searsselli (N.)	à Florence	Objets de mosaïque en pierres dures	Paris_1878_Italy_18.jpg
Sighinolfi (C.)	à Florence	Tableau en mosaïque, ouvrage du mosaïste L. Orlandini	Paris_1878_Italy_18.jpg
Torraini (J.)	à Florence	Objets en mosaïque	Paris_1878_Italy_18.jpg
Vielri (F.)	à Florence	Table en mosaïque avec ornements et pied sculpté	Paris_1878_Italy_18.jpg
Bedendo (D.)	à Venise	Table marquetée à émail vénitien, imitation de pierres dures; table en mosaïque; lustre en verre, style vénitien; mosaïque montée en or et en argent; tableau en mosaïque; verre filé, tourné, soufflé; perles.	Paris_1878_Italy_18.jpg
Bussolini (D.)	à Venise	Spécimens et types des ouvrages anciens de verres vénitiens en filigrane, travaillés à dentelle et à mille fleurs; perles en verre.	Paris_1878_Italy_18.jpg
Candaini (Chevalier M.)	à Venise	Objets, partie en verre, imitation de marbres et de pierres; lustre.	Paris_1878_Italy_18.jpg
Ceccoli Sottero	à Ferrare	Verres travaillés.	Paris_1878_Italy_18.jpg
Compagnie de verreries et de mosaïques de Venise et de Murano	à Venise	Mosaïques décoratives, lustres en verre pour bougies et gaz; candélabres torsadés; glaces imitant l'antique, et modernes; verres soufflés, imitation des anciens de Murano; médaillons en mosaïque dans la décoration de la façade de la section italienne de l'Exposition.	Paris_1878_Italy_18.jpg
La Pira Mâyer (F.)	à Palerme	Tableau gravé en feuilles d'or sur cristal.	Paris_1878_Italy_18.jpg
Olivieri (L.)	à Venise	Mosaïques; coquillages, perles; table en mosaïque; glace, façon antique, avec gravures; candébabraes appuyés sur des Maures.	Paris_1878_Italy_18.jpg
Olivotti (D.T.)	à Venise	Ouvrages en verre; émaux; marqueteries; verres filés et soufflés; perles et articles de fantaisie en verre et mosaïque.	Paris_1878_Italy_18.jpg
Podio (H.)	à Venise	Tableau en mosaïque byzantine; tableau en mosaïque poli; table en mosaïque.	Paris_1878_Italy_18.jpg
