text;source;class;location;LAU_ID
ITALIE. GROUPE II. ÉDUCATION ET ENSEIGNEMENT.MATÉRIEL ET PROCÉDÉS DES ARTS LIBÉRAUX.  Amati (Chevalier À.), à Stradella (Pavie). — Tableaux géographiques statistiques. ;Paris_1878_Italy_2.jpg;"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E";Stradella;018153
3Angelini (R.), à Rome. — Exercices gradués d'écriture grecque et cahiers pour lesditsexercices.;Paris_1878_Italy_2.jpg;"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E";Rome;058091
16 Baragioln (E.),à Côme. — Exercices de grammaire et nomenclature pour les écolesprimaires À Barbirolli (Chevalier, J.B.), à Florence. — Cartes pour enseigner la musique auxenfants. A;Paris_1878_Italy_2.jpg;"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E";Côme;013075
0 Bert (A) fils, président du comité de direction de l'École suisse, à Gênes, et Kumz(M), professeur, directeur des études à la même école. — Cartes géographiques plas . tiques exécutées, en partie, par les élèves de l'École supérieure suisse pour les jeunespersonnes,;Paris_1878_Italy_2.jpg;"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E";Gênes;010025
31Benedetti [D'F.), président du comice agricole de Gonegliano, à Trévise, — Le vieilagril , maître du peuple,;Paris_1878_Italy_2.jpg;"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E";Trévise;026086
47 Bistolfi (J.), maître à l'Institut des aveugles, à Gênes. — Carte géographique d'Italie àY des aveugles.;Paris_1878_Italy_2.jpg;"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E";Gênes;010025
27 Brianzi (L.), à Milan. — Grammaire de la langue francaise.;Paris_1878_Italy_2.jpg;"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E";Milan;015146
"18 Cann (T.), professeur, à Florence. — Grammaire théoriquepratique de la langue anglaise;livres de lecture anglaise. k";Paris_1878_Italy_2.jpg;"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E";Florence;048017
19 Cantu (C.), à Milan. — Dixsept livres d'éducation.Carpené (D' À), à Conegliano {Trévise). — Petit traité d'énotechnie.Castelli (J.), à Turin. — Traité de calligraphie, avec divisions. “ÆContäni (C.), professeur, à Rome. — Traité d'hygiène populaire à l'usage des écoles primaires et des maisons d'éducation.;Paris_1878_Italy_2.jpg;"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E";Milan;058091
"45De Castro (V.), professeur, président de la Société d'initiative des jardins d'enfants, àMilan. — Appareil didactique Vittorino da Féeltre, pour l'enseignement simultané et graduëde lecture, écriture, dessin et calcul; livres d'éducation pour les écoles primaires.";Paris_1878_Italy_2.jpg;"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E";Milan;015146
8 Danieli (C.), à Padoue, — Volume Ettore Fieramoscæ, en caractères sténographiques. ;Paris_1878_Italy_2.jpg;"ITALIE, — GROUPE II. — CLASSES 6 À 16. 005
Podesta (E.), professeur, à Arezzo. — Traité elémentaire d'agriculture; premiers éléments
d'agriculture pour les écoles elémentaires. E";Padoue;058091
