Name	Place	Description	Pdf
Pennari	Rutile, à Pesaro	Vin rouge de 1897	Paris_1900_Italy_125.jpg
Pennasilico frères	Barile, Basilicata	Aglianico rouge	Paris_1900_Italy_125.jpg
Peretti Benoit	Bettola, Plaisance	Barbera 1898	Paris_1900_Italy_125.jpg
Pergola F.	Turin, Via del Mille, 42 et 44	Barbera	Paris_1900_Italy_125.jpg
Perris Léopold	Ferruci, Cosenza	Vins	Paris_1900_Italy_125.jpg
Personé Lucien	Nardò, Lecce	Vins rouges	Paris_1900_Italy_125.jpg
Pestellini Hippolyte	Bagno a Ripoli, Florence	Vins rouge et blanc 1893, 1895, 1896 et 1897	Paris_1900_Italy_125.jpg
Petrangeli Urbain & Cie	Orvieto, Florence	Vin	Paris_1900_Italy_125.jpg
Philipson Édouard	Vaioni, Pistoia (Province de Florence)	Vin rouge 1895 et 1897. Vin blanc 1895	Paris_1900_Italy_125.jpg
Pialorsi Frédéric	Vestone, Brescia	Fernet Pialorsi	Paris_1900_Italy_125.jpg
Picone Philippe	Avellino	Vin rouge	Paris_1900_Italy_125.jpg
Pilacci Joseph	Montepulciano (Sienne)	Vin Canne-to	Paris_1900_Italy_125.jpg
Pinelli-Gentile frères	Tagliolo (Alexandrie)	Vins rouges 1891, 1895 et 1897. Vins blancs 1895, 1897 et 1898	Paris_1900_Italy_125.jpg
Piscicelli Guillaume	Naples, Guennaro Serra, 75	Vin rouge	Paris_1900_Italy_125.jpg
Plastino Gérard	Rionero in Vulture, Potenza	Vin rouge	Paris_1900_Italy_125.jpg
Poggio frères	Biella (Navarre)	Vins	Paris_1900_Italy_125.jpg
