Name	Place	Description	Pdf
Belilippi Merzagora et Cie	Turin	Bourre de soie et peignée; fils de plusieurs titres	Paris_1867_Italy_28.jpg
Antouis (César de)	Milan	Bourre de soie cardée	Paris_1867_Italy_28.jpg
Lanzani (Louis)	Milan	Bourre de soie cardée et peignée	Paris_1867_Italy_28.jpg
Pirovano et Cie	Milan	Bourre de soie grége cardée et peignée	Paris_1867_Italy_28.jpg
Chambre de Commerce de Côme (Cigardi-Ange)	Côme	Bourre de soie cardée à la main	Paris_1867_Italy_28.jpg
Chambre de Commerce de Côme (Gaffuri Félix)	Côme	Bourre de soie cardée à la main	Paris_1867_Italy_28.jpg
Cassin (Isaac)	Cuneo	Soie grége	Paris_1867_Italy_28.jpg
Chieco (François)	Cuneo	Soie grége, jaune, verte et blanche. Organsin ouvré, jaune, vert et blanc	Paris_1867_Italy_28.jpg
Filippi (Louis)	Clavesana (Cuneo)	Soie blanche et verte; soie blanche et verte des doubles cocons. Trames venant de cocons simples ou doubles; produits de vers élevés dans le pays et dont la graine est originaire du Japon	Paris_1867_Italy_28.jpg
Lattes et Sinigallia	Busca (Cuneo)	Soie grége et organsins de divers titres et couleurs	Paris_1867_Italy_28.jpg
Siccardi (Laurent et fils)	Cuneo	Soie grége de divers titres et couleurs; organsin de divers apprêts et couleurs	Paris_1867_Italy_28.jpg
Delprino (Michel)	Veime (Alexandrie)	Soie grége	Paris_1867_Italy_28.jpg
Colombo (François)	Turin	Soie grége	Paris_1867_Italy_28.jpg
Gaddum (F.E.)	Pignerollo (Turin)	Soie grége et ouvré en organsins et en trames	Paris_1867_Italy_28.jpg
Gallizia (Maximilien)	Asti (Turin)	Soie grége jaune, provenant de cocons de Cores choisis; soie blanche provenant de la graine du Japon	Paris_1867_Italy_28.jpg
Gaydout (A.)	Turin	Soie grége jaune produite par des vers indigènes, dans la filature de Bertero carmagnola; soie grége jaune, verte ot organsin jaune préparés dans la filature Pelisseri, à Alba; organsin vert à fort et à moyen apprêt	Paris_1867_Italy_28.jpg
Tarditi (Philippe)	Turin	Soie grége blanche obtenue de cocons étrangers; soie grége jaune obtenue de cocons indigènes; cocons	Paris_1867_Italy_28.jpg
Torro (Jacob de)	Alexandrie	Echantillons de soie grége	Paris_1867_Italy_28.jpg
Tenta et Cie	Turin	Soie grége jaune, verte et blanche, provenant de cocons indigènes; organsin jaune, blanc et vert	Paris_1867_Italy_28.jpg
Vagnone (Sylvestre)	Turin	Soie grége filée à la mécanique	Paris_1867_Italy_28.jpg
Bozzotti (César et Cie)	Milan	Soies simples, gréges et ouvrées, provenant de cocons indigène et de cocons d'origine chinoise, japo naise et persane	Paris_1867_Italy_28.jpg
Comonuo (Fortunato)	Milan	Soies italiennes et d'Asie, gréges et ouvrées	Paris_1867_Italy_28.jpg
Conti (Fermo)	Milan	Soie grege de cocons ordinaires et de cocons du Japon reproduits en Italie; organsin surfilé issu du Bengale; organsin; commercial ordinary; trames chinoises; trames de soie japonaises; maiujahs	Paris_1867_Italy_28.jpg
Biancardi (Jean) et Ferrari (de) frères	Lodi	Soie grége	Paris_1867_Italy_28.jpg
Schennini (G.-G.)	Ponte (Côme)	Soie grége et ouvrée	Paris_1867_Italy_28.jpg
Bonati (Ambroise et Cie)	Crémone	Soie ordinaire; japonaise chinoise et indigène	Paris_1867_Italy_28.jpg
Fiechi (Antoine)	Crémone	Soie grége	Paris_1867_Italy_28.jpg
Vercelli (Amilear)	Crémone	Soie grége ouvrée et en couleur	Paris_1867_Italy_28.jpg
Exposition collective de la chambre de commerce de Côme		Soies gréges et ouvrées; Casutti (César); Coduri (Fermo); Gavazzi (Pierre); Mondelli (Joseph de Félix); Perlacca (Jean); Peroni (Paul); Scalini (Gaétan)	Paris_1867_Italy_28.jpg
