Name	Place	Description	Pdf
Chambre de commerce de Sienne		Collection d'ouvrages exécutés avec l'herbe.	Paris_1878_Italy_37.jpg
Lambiase (F.)	Cava dei Tirreni (Salerne)	Échantillons de cordes pour filets de pêche.	Paris_1878_Italy_37.jpg
Paulucci (Marquis M.)	Florence	Collection malacologique extramarine italienne.	Paris_1878_Italy_37.jpg
Premi (B.)	Gênes	Huile de thon.	Paris_1878_Italy_37.jpg
Tomasi (J.-B.)	Vérone	Filets de soie, de lin filé à la main; filets de lin pour prendre les petits oiseaux; filets de lin pour le passage des oiseaux; filets pour le changement du lit des vers à soie.	Paris_1878_Italy_37.jpg
Ziliani (B.)	Brescia	Filets de soie et de fil pour la chasse et la pêche; filets pour couverture de cheval; drap de corde pour fourrage; filets pour la chasse en pleine campagne.	Paris_1878_Italy_37.jpg
Ziliani (E.)	Brescia	Filets de soie et de fil (filets traîneaux) pour les oiseaux; trameil pour la pêche; filet pour la chasse au lièvre; sac en filet pour porter le pain.	Paris_1878_Italy_37.jpg
Albergotti (J. et A.) frères	Arezzo	Miel.	Paris_1878_Italy_37.jpg
Alliata di Pietratagliata (E.) 	Palerme	Miel; cire vierge.	Paris_1878_Italy_37.jpg
Allì Maceraini (Marquis C.)	Florence	Huile de mare d'olive; huile pour le savon.	Paris_1878_Italy_37.jpg
Angeloni (Baron G.-A.)	Roccaraso (Aquila)	Toisons de laine non lavées d'un bélier et d'une brebis; flocons de laine de divers individus du même troupeau.	Paris_1878_Italy_37.jpg
Anselmi et Marassi	Marigliano (Caserte)	Huile extraite du maïs après l'extraction de l'alcool; tourteau de graine de lin, d'où l'on a extrait l'huile, pour l'alimentation des bestiaux; huile de graine de raisin.	Paris_1878_Italy_37.jpg
Antonini (A.)	Venise	Chanvre peigné, grégo, et étoupe de chanvre.	Paris_1878_Italy_37.jpg
Association centrale d'encouragement pour l'éducation des abeilles en Italie	Milan	Miel; cire.	Paris_1878_Italy_37.jpg
Aula (D.) et Cie	Trapani	Sumac en poudre et en feuilles.	Paris_1878_Italy_37.jpg
Bacile di Castiglione (Baron P.)	Spongano (Lecce)	Huile pour machines.	Paris_1878_Italy_37.jpg
Balsamo (J.) et fils		Huile pour machines.	Paris_1878_Italy_37.jpg
Bartolucci Godolini (Marquis P.)	Sant'Elpidio a Mare (Ascoli Piceno)	Miel produit par culture rationnelle dans des ruches à cellules mobiles de divers systèmes.	Paris_1878_Italy_37.jpg
Benueci (G., avocat) et Mercier (E., ingénieur)	Modène	Chanvre teillé.	Paris_1878_Italy_37.jpg
Bettoni (Comte L.)	Brescia	Huile de laurier en trois bouteilles, destinée aux soins à donner au bétail.	Paris_1878_Italy_37.jpg
Bianchedi (C., ingénieur)	Brescia	Huiles industrielles à brûler, pour savons et pour machines.	Paris_1878_Italy_37.jpg
