Name	Place	Description	Pdf
Vyse fils et Cie	Prado (Florence)	Chapeaux de paille et paille préparée.	Paris_1867_Italy_36.jpg
Bocci (Joseph)	Soci (Arezzo)	Chapeaux et tresses de paille.	Paris_1867_Italy_36.jpg
Gori (Cte Auguste de)	Sienne	Chapeaux de paille.	Paris_1867_Italy_36.jpg
Piccardi (Joseph)	Florence	Paille pour chapeaux.	Paris_1867_Italy_36.jpg
Descalzi (Emmanuel)	Chiavari (Gênes)	Chapeaux pour hommes, en bois de saule.	Paris_1867_Italy_36.jpg
Giorni (Joseph)	Orbetello (Grosseto)	Chapeaux de jonc.	Paris_1867_Italy_36.jpg
Calsamona (Madeleine)	Parme	Chapeaux et parures de tête pour femmes.	Paris_1867_Italy_36.jpg
Merlino (Pierre)	Reggio (Calabre)	Coiffures pour femmes.	Paris_1867_Italy_36.jpg
Baioni (Adolphe)	Napoli	Ouvrage en cheveux.	Paris_1867_Italy_36.jpg
Cepaïdi Avïgnone (Thérèse de)	Milan	Fleurs artificielles.	Paris_1867_Italy_36.jpg
Trapino (Gaëtan)	Gènes	Fleurs artificielles.	Paris_1867_Italy_36.jpg
Gnocchi (Josué)	Venise	Fleurs artificielles.	Paris_1867_Italy_36.jpg
Ferranti (Pascal)	Messine	Fleurs de fausses perles.	Paris_1867_Italy_36.jpg
Regis (Jean)	Turin	Chaussure avec lame flexible d'acier.	Paris_1867_Italy_36.jpg
Rolando (Alexis)	Turin	Chaussures pour femmes.	Paris_1867_Italy_36.jpg
Piovano (Dominique)	Verceil (Novare)	Bottes et bottines pour hommes.	Paris_1867_Italy_36.jpg
Penitencier d'Alexandrie		Chaussures pour hommes et pour femmes.	Paris_1867_Italy_36.jpg
Carimaldi (Alexandre)	Alexandrie	Bottines en peau de chèvre.	Paris_1867_Italy_36.jpg
Rodina (Jean)	Crémone	Souliers à semelles clouées avec têtes dans l'intérieur.	Paris_1867_Italy_36.jpg
Piatti (Joseph)	Crémone	Bottes.	Paris_1867_Italy_36.jpg
Meazza (Françoise)	Crémone	Bottines en satin bleu.	Paris_1867_Italy_36.jpg
Grondona (Nicolas)	Gênes	Bottines pour femmes, et bottes pour hommes, contenant une arme à feu.	Paris_1867_Italy_36.jpg
Zangrande (Ignace)	Venise	Articles de cordonnerie.	Paris_1867_Italy_36.jpg
Testoni (Titus)	Ravenne	Chaussures.	Paris_1867_Italy_36.jpg
Gnesi (Gaëtan)	Florence	Bottines de soie blanche et cuir pour hommes et pour femmes.	Paris_1867_Italy_36.jpg
Barrotti (Ange)	Livourne	Bottes pour hommes et bottines pour femmes.	Paris_1867_Italy_36.jpg
Massiali (Émile)	Pise	Bottes pour chasser au marais, bottines pour hommes et pour femmes.	Paris_1867_Italy_36.jpg
Crecini (Ange)	Sienne	Bottines pour hommes et pour femmes.	Paris_1867_Italy_36.jpg
Betgelli (Valère)	Pérouse	Bottes pour hommes.	Paris_1867_Italy_36.jpg
Sorgenti (Gervais)	Fuligno	Bottes et souliers, formes et chaussures.	Paris_1867_Italy_36.jpg
Longo (Augustin)	Naples	Bottines pour femmes.	Paris_1867_Italy_36.jpg
Pioppo (Vincent)	Naples	Bottes et bottines pour hommes.	Paris_1867_Italy_36.jpg
Grittani (Romuald)	Bari	Bottes et bottines.	Paris_1867_Italy_36.jpg
Malta (Pierre)	Palermo	Bottines pour hommes et pour femmes.	Paris_1867_Italy_36.jpg
Localesco (Dominique)	Messine	Travaux de cordonnerie.	Paris_1867_Italy_36.jpg
Pierro (Antoine)		Chaussures militaires.	Paris_1867_Italy_36.jpg
Atelier de la maison de détention de Volterre		Chaussures militaires et de prison, bottines pour hommes.	Paris_1867_Italy_36.jpg
Aldiféri (Charles)	Naples	Chaussures militaires.	Paris_1867_Italy_36.jpg
Baratta (César)	Naples	Chaussures militaires, souliers et bottes.	Paris_1867_Italy_36.jpg
Acsencato (Jacques)	Palermo	Bottines pour hommes.	Paris_1867_Italy_36.jpg
