Number	Name	Place	Description	Pdf
	Podesta (E.)	professeur, à Arezzo	Traité élementaire d'agriculture; premiers éléments d'agriculture pour les écoles élémentaires.	Paris_1878_Italy_2.jpg
37.0	Rosalba (C.)	architecte, à Avellino	Projet d'un édifice scolaire municipal constrait à Santa-Maria, Capua-Vetere.	Paris_1878_Italy_2.jpg
42.0	Santi (A.)	à Murano (Venise)	Relations sur l'instruction et l'éducation dans la commune de Murano.	Paris_1878_Italy_2.jpg
38.0	Scaramuglia (T.)	professeur, à Gualdo-Tadino (Pérouse)	Dessins à l'aquarelle par les élèves de l'école technique de Gualdo-Tadino (album).	Paris_1878_Italy_2.jpg
33.0	Société centrale ouvrière napolitaine	à Naples	Dessins d'ornements, de figures, de géometrie, de machines (1 toile et 4 albums).	Paris_1878_Italy_2.jpg
32.0	Soli (P.)	architecte, à Milan	Projets d'écoles élémentaires.	Paris_1878_Italy_2.jpg
26.0	Sotis (Dr J.)	à Fondi (Caserte)	Conferences sur l'hygiène de l'habitant de la campagne et sur l'agriculture pratique.	Paris_1878_Italy_2.jpg
44.0	Thevenet (J.)	à Milan	Cours complet d'écriture (5 modèles).	Paris_1878_Italy_2.jpg
45.0	Zanetti (Abbé V.)	directeur du Musée verrier et de l'école de dessin appliqué à la verrerie, à Murano (Venise)	Photographies des meilleurs types classiques qui se trouvent dans le musée; gravures du musée de l'industie verrière et de l'école annexe.	Paris_1878_Italy_2.jpg
34.0	Zuchetti (A.)	professeur, à Todi (Pérouse)	Dessins des élèves de l'école technique de Todi (album).	Paris_1878_Italy_2.jpg
	Académie royale de Sainte-Cécile à Rome	-	Conti: deux mélodrames.	Paris_1878_Italy_2.jpg
	Baiardi	-	Morceaux de musique instrumentale.	Paris_1878_Italy_2.jpg
34.0	Barbieri (L., architecte)	à Naples	Projet d'un collège de musique (album); projet d'une école à construire dans la province de Bari (album).	Paris_1878_Italy_2.jpg
46.0	Beccari Gualberta (A.)	à Bologne	La femme, publication périodique.	Paris_1878_Italy_2.jpg
	Bianchi	L'Enlède	Opéra-ballet en quatre actes.	Paris_1878_Italy_2.jpg
3.0	Bossi (L.)	professeur, à Milan	Manuel théorique et pratique de tisage de la soie.	Paris_1878_Italy_2.jpg
	Branzoli	-	Compositions.	Paris_1878_Italy_2.jpg
	Bruni	à Gênes	Méthode de chant.	Paris_1878_Italy_2.jpg
17.0	Caputo (M.-C.)	professeur de chant, à Naples	Manuel de chorodagogie.	Paris_1878_Italy_2.jpg
48.0	Carelli (B.)	professeur de chant, à Naples	Traité de l'art musical.	Paris_1878_Italy_2.jpg
49.0	Collège royal de musique à Palerme	(M. Platania, directeur)	Compositions musicales.	Paris_1878_Italy_2.jpg
	Descoei (J.)	directeur de l'École royale de musique, à Parme	Grammaire musicale; méthode théorique pratique pour la lectures et la division musicales; méthode théorique pratique d'harmonie simple et composee, d'instrumentation, de contre-point de composition; symphonie à grand orchestre.	Paris_1878_Italy_2.jpg
20.0	De Castrone-Marchesi (M^me M.)	à Vienne	L'art du chant.	Paris_1878_Italy_2.jpg
	De Champs (H.)	à Florence	Guide théorique pratique pour l'interprétation et l'application des signes graphiques musicaux.	Paris_1878_Italy_2.jpg
	De Michelis	-	Compositions flûte et piano.	Paris_1878_Italy_2.jpg
